basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	footprintWKT	institutionCode	locality	modified	occurrenceID	scientificName	scientificNameAuthorship	id	dataset_id	node_id	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	subgenus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	subgenusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	references	scientificNameID	specificEpithet	typeStatus	depth	superdomain	superdomainid	sst	sss
Occurrence	Scarabino, F., 2006. Faunistica y taxonomia de invertebrados bentonicos marinos y estuarinos de la costa uruguaya. In Bases para la conservacion y el manejo de la costa uruguaya, (eds. R. Menafra, L. Rodriguez-Gallego, F. Scarabino and D. Conde), pp. 143-156. Montevideo: Vida Silvestre Uruguay.	CNP-MARINEINVER-3462	CNP-MARINEINVER	235454	Uruguay	-34.349998	-55.939999	POLYGON ((-58.400002 -33.75, -53.48 -33.75, -53.48 -34.950001, -58.400002 -34.950001, -58.400002 -33.75))	CENPAT-CONICET	Costa uruguaya	2015-09-01T09:17:00	urn:catalog:CENPAT-CONICET:CNP-MARINEINVER:CNP-MARINEINVER-3462	Pycnogonum (Nulloviger) elephas	Stock, 1966	79d49f62-7e40-4e2d-b8ab-b6625b1c0dfb	b1f8bc4c-5427-40c8-8728-aad4d463b944	['464a96d8-c17e-4bbb-b6b8-778e1fb687c4']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum (Nulloviger)	Pycnogonum (Nulloviger) elephas	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239638	239638	Pycnogonum (Nulloviger) elephas	['NO_DEPTH', 'ON_LAND']	-41	-111366													
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pycnogonum (Nulloviger) elephas</i> Stock, 1966. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239638	sm_id_2222	WoRMS type localities			-28.6	-48.31		WoRMS Editorial Board	Atlantic Ocean	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2222	Pycnogonum (Nulloviger) elephas	Stock, 1966	c99eb1b9-4bef-4320-9070-2faf2e9ebd4f	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum (Nulloviger)	Pycnogonum (Nulloviger) elephas	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239638	239638	Pycnogonum (Nulloviger) elephas	['DEPTH_EXCEEDS_BATH']	98	39580	https://marineinfo.org/id/dataset/5184	740.0	30.0	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=2222	urn:lsid:marinespecies.org:taxname:239638	elephas	holotype	385.0	Biota	1.0	21.69	35.68
