associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	typeStatus
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	195237.150499	Invertebrate Zoology: Crustacea	Japan	18	34.5950012207	138.994995117	observedindividualcount=12;	1969-07-18T12:00:00Z	Nakamura, K., Child, C. Allan	12.0	USNM	;; juvenile	Honshu Island, Sagami Bay	256	256	7	Alcohol (Ethanol)	Nymphon micropedes	Hedgpeth	urn:lsid:marinespecies.org:taxname:239786	male; female;;	Shizuoka	North Pacific Ocean	1969	0eb3c709-e5ca-4354-8bc5-01e9cdf44099	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	256	-14428800000	-14428800000	-14428800000	1969	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon micropedes	2	1065	1274	1302	1358	379601	379609	1566	134591	239786	239786	Nymphon micropedes	[]	256	5121	20.53	34.06	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80591.273462	Invertebrate Zoology: Crustacea	Japan	19	34.1749992371	138.666671753	observedindividualcount=1;	1906-10-19T12:00:00Z	Hedgpeth, J. W.	1.0	USNM		Honshu Island, Off Omi Sake Light, Central Honsu Island	924	924	10	Alcohol (Ethanol)	Nymphon micropedes	Hedgpeth	urn:lsid:marinespecies.org:taxname:239786	male		North Pacific Ocean	1906	ea50fd40-3beb-4fec-aa11-913f17b1a803	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	924	-1994544000000	-1994544000000	-1994544000000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon micropedes	2	1065	1274	1302	1358	379601	379609	1566	134591	239786	239786	Nymphon micropedes	[]	2267	28234	21.12	34.26	Holotype
