basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	day	dynamicProperties	eventDate	identifiedBy	individualCount	month	preparations	scientificNameAuthorship	sex	stateProvince	typeStatus	waterBody	year	date_start	date_mid	date_end	date_year
Occurrence	Stock JH (1997). Musorstom 18(176): 271-335.	43759	NewCaledonia	Vanuatu	https://marineinfo.org/id/dataset/3128	-15.8900003433228	167.5	IRD-MNHN	Musorstom 8, CP1076	1191	1100	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:43759:0x2827900001000300	present	Bathypallenopsis oculotuberculosis	urn:lsid:marinespecies.org:taxname:266411	346e4e26-bae6-4b49-ae8c-4888fa73196e	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1145.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis oculotuberculosis	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239992	239992	Pallenopsis oculotuberculosis	[]	1115	15312	28.05	34.54																		
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	81514.274064	Invertebrate Zoology: Crustacea	United States		54.533000946	178.516998291	USNM	Aleutian Islands, N Of Amchitka Island	155	155				Bathypallenopsis oculotuberculosis	urn:lsid:marinespecies.org:taxname:266411	a79ef961-a92f-4850-abac-52d875812063	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	155.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis oculotuberculosis		2	1065	1274	1302	1358	379601	379609	236317	236477	239992	239992	Pallenopsis oculotuberculosis	[]	1616	273379	5.27	33.03	National Museum of Natural History, Smithsonian Institution	27	observedindividualcount=1;	1900-06-27T12:00:00Z	Hilton, W. A.	1.0	6	Alcohol (Ethanol)	Hilton	female	Alaska	Holotype	North Pacific Ocean	1900	-2193696000000.0	-2193696000000.0	-2193696000000.0	1900.0
