basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	datasetID	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	genus	identifiedBy	institutionCode	kingdom	lifeStage	locality	locationID	modified	month	occurrenceID	occurrenceStatus	order	otherCatalogNumbers	phylum	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	typeStatus	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	individualCount	institutionID	language	license	maximumDepthInMeters	minimumDepthInMeters	rightsHolder	taxonID	taxonRank	type	verbatimIdentification	depth	eventID	eventTime	footprintWKT	samplingProtocol	occurrenceRemarks	recordedBy	associatedReferences	country	countryCode	identificationRemarks	infraspecificEpithet	verbatimLatitude	verbatimLongitude
PreservedSpecimen	INV.69107	Pycnogonida	urn:catalog:RBINS:Pycnogonida	Cara See	1000.0	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1931-01	11	71.3	57.05	1907-08-11	Nymphonidae	8719/st126	Boreonymphon	Giltay L.B. (Dr.)	RBINS-Scientific Heritage	Animalia	unknown	Cara See	http://www.geonames.org/1504324	2015-09-24 11:25:20	8	http://collections.naturalsciences.be/specimen/294909	present	Pantopoda	urn:catalog:RBINS:IG:8719	Arthropoda	container type: slide; preservation method: glycerine	Boreonymphon robustum	(Bell, 1855)	urn:lsid:marinespecies.org:taxname:134679	unknown	robustum	specimen	1907	346935c2-4a51-4d03-bf06-c1b857941fde	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-1968969600000	-1968969600000	-1968969600000	1907	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon robustum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134589	134679	134679	Boreonymphon robustum (Bell, 1855)	['NO_DEPTH']	152	30271	0.61	32.96																									
PreservedSpecimen	INV.69113	Pycnogonida	urn:catalog:RBINS:Pycnogonida	Cara See	1000.0	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1931-01	16	70.633333	58.5	1907-08-16	Nymphonidae	8719/st143	Boreonymphon	Giltay L.B. (Dr.)	RBINS-Scientific Heritage	Animalia	unknown	Cara See	http://www.geonames.org/1504324	2015-09-24 11:30:52	8	http://collections.naturalsciences.be/specimen/545037	present	Pantopoda	urn:catalog:RBINS:IG:8719	Arthropoda	container type: vial; preservation method: alcohol	Boreonymphon robustum	(Bell, 1855)	urn:lsid:marinespecies.org:taxname:134679	unknown	robustum	specimen	1907	378a0c31-409a-4406-a4f6-e32ec8ef1ee9	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-1968537600000	-1968537600000	-1968537600000	1907	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon robustum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134589	134679	134679	Boreonymphon robustum (Bell, 1855)	['NO_DEPTH']	37	19862	1.19	32.99																									
PreservedSpecimen	INV.69104	Pycnogonida	urn:catalog:RBINS:Pycnogonida	Cara See	1000.0	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1931-01	10	71.366667	56.95	1907-08-10	Nymphonidae	8719/st117	Boreonymphon	Giltay L.B. (Dr.)	RBINS-Scientific Heritage	Animalia	unknown	Cara See	http://www.geonames.org/1504324	2015-09-24 11:23:00	8	http://collections.naturalsciences.be/specimen/469623	present	Pantopoda	urn:catalog:RBINS:IG:8719	Arthropoda	container type: vial; preservation method: alcohol	Boreonymphon robustum	(Bell, 1855)	urn:lsid:marinespecies.org:taxname:134679	unknown	robustum	specimen	1907	37e63c5d-d36d-4e9f-9a21-16285b571f1a	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-1969056000000	-1969056000000	-1969056000000	1907	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon robustum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134589	134679	134679	Boreonymphon robustum (Bell, 1855)	['NO_DEPTH']	162	32002	0.56	32.94																									
PreservedSpecimen	INV.69112	Pycnogonida	urn:catalog:RBINS:Pycnogonida	Cara See	1000.0	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1931-01	14	70.966667	58.066667	1907-08-14	Nymphonidae	8719/st138	Boreonymphon	Giltay L.B. (Dr.)	RBINS-Scientific Heritage	Animalia	unknown	Cara See	http://www.geonames.org/1504324	2015-09-24 11:29:44	8	http://collections.naturalsciences.be/specimen/594098	present	Pantopoda	urn:catalog:RBINS:IG:8719	Arthropoda	container type: vial; preservation method: alcohol	Boreonymphon robustum	(Bell, 1855)	urn:lsid:marinespecies.org:taxname:134679	unknown	robustum	specimen	1907	40af427f-fd00-49ee-9927-a698654a7960	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-1968710400000	-1968710400000	-1968710400000	1907	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon robustum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134589	134679	134679	Boreonymphon robustum (Bell, 1855)	['NO_DEPTH']	194	29775	0.9	32.98																									
PreservedSpecimen	6592	Pycnogonida	MuseumCollection			dfo_que_mli_museum	DFO Quebec Region MLI museum collection		5	69.15833333	-105.8783333	1966-08-05	Nymphonidae	SAB 66-1027 59-64	Boreonymphon		IML	Animalia		Starvation Cove			8	DFO_MLI_MuseumCollection_6592		Pantopoda		Arthropoda		Boreonymphon robustum	(Bell, 1855)	urn:lsid:marinespecies.org:taxname:134679		robustum		1966	42190f61-3e8b-42af-9823-3fb57ee2fb1f	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	-107568000000	-107568000000	-107568000000	1966	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon robustum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134589	134679	134679	Boreonymphon robustum	[]	16	1709	-0.29	28.17	20	https://edmo.seadatanet.org/report/4160	en	http://creativecommons.org/licenses/by/4.0/legalcode	53.0	53.0	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	083_01218	phylum	PhysicalObject	Nymphon robustum	53.0													
Occurrence	164910018001007	Pycnogonida	IMRMarbunnBenthos	Barents Sea		https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022		28	74.997	25.9995	2016-09-28T00:41:00+00:00/2016-09-28T00:46:00+00:00	Nymphonidae	catchId: 7	Boreonymphon		IMR	Animalia		MAREANO Reference Station: 1649		2024-05-23 10:35:05	9	164910018001007	present	Pantopoda		Arthropoda		Boreonymphon robustum	(Bell, 1855)	urn:lsid:marinespecies.org:taxname:134679				2016	4495a4ed-cc6b-47a0-82f7-43778b45f4e2	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1475020800000	1475020800000	1475020800000	2016	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon robustum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134589	134679	134679	Boreonymphon robustum	[]	219	163319	3.35	34.68					208.45	207.56						208.005	Cruise: 58GS-2016113 Sample: 18	00:41:00+00:00/00:46:00+00:00	LINESTRING(25.9995 74.997,25.9995 74.994833)	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0									
HumanObservation		Pycnogonida	2006B3						14	46.8499984741	141.867004395	1949-8-14	Nymphonidae		Boreonymphon		ArcOD	Animalia					8	13997	present	Pantopoda		Arthropoda		Boreonymphon robustum	(Bell, 1855)	urn:lsid:marinespecies.org:taxname:134679				1949	49764e17-7657-4d82-94f7-a864fe7c271e	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	-643248000000	-643248000000	-643248000000	1949	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon robustum		2	1065	1274	1302	1358	379601	379609	1566	134589	134679	134679	Boreonymphon robustim	['DEPTH_EXCEEDS_BATH']	73	5563	8.73	32.45						840.0						840.0					;;134679;Toporok	Kobyakova							
HumanObservation		Pycnogonida	2006B3						5	63.3670005798	-9.5	1955-6-5	Nymphonidae		Boreonymphon		ArcOD	Animalia					6	15299	present	Pantopoda		Arthropoda		Boreonymphon robustum	(Bell, 1855)	urn:lsid:marinespecies.org:taxname:134679				1955	5249af6d-7f0e-4048-80a2-436afe30b13c	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	-459993600000	-459993600000	-459993600000	1955	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon robustum		2	1065	1274	1302	1358	379601	379609	1566	134589	134679	134679	Boreonymphon robustim	['DEPTH_EXCEEDS_BATH']	492	165504	8.67	35.19						4850.0						4850.0					;;134679;Sevastopol	Nesis, Popov							
PreservedSpecimen	INV.69111	Pycnogonida	urn:catalog:RBINS:Pycnogonida	Cara See	1000.0	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1931-01	14	71.016667	57.95	1907-08-14	Nymphonidae	8719/st136	Boreonymphon	Giltay L.B. (Dr.)	RBINS-Scientific Heritage	Animalia	unknown	Cara See	http://www.geonames.org/1504324	2015-09-24 11:30:20	8	http://collections.naturalsciences.be/specimen/319029	present	Pantopoda	urn:catalog:RBINS:IG:8719	Arthropoda	container type: vial; preservation method: alcohol	Boreonymphon robustum	(Bell, 1855)	urn:lsid:marinespecies.org:taxname:134679	unknown	robustum	specimen	1907	6002770e-845e-481a-9acf-e3c8905940fb	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-1968710400000	-1968710400000	-1968710400000	1907	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon robustum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134589	134679	134679	Boreonymphon robustum (Bell, 1855)	['NO_DEPTH']	193	30856	0.84	32.96																									
HumanObservation	3_816_Boreonymphon robustum	Pycnogonida				cusson_arcticbenthos	Biodiversity of benthic assemblages on the Arctic continental shelf: historical data from Canada (1955 to 1977)		18	69.76806	-82.11806	1956-08-18	Nymphonidae	Aitkinson & Wacasey 1989 Benthic invertebrates collected from Hudson Strait Foxe Channel and Foxe Bassin Canada 1949-1970_816	Boreonymphon		Université du Québec à Chicoutimi	Animalia				2021-06-08	8	cusson_arcticbenthos_3_816_Boreonymphon robustum	present	Pantopoda		Arthropoda		Boreonymphon robustum	(Bell 1855)	urn:lsid:marinespecies.org:taxname:134679		robustum		1956	639a5f77-6b51-4d01-9a6c-f6e708f10e8f	8dbd0669-92d1-41ef-a5db-527bc6aa1ec9	['7dfb2d90-9317-434d-8d4e-64adf324579a']	-421977600000	-421977600000	-421977600000	1956	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Boreonymphon robustum		2	1065	1274	1302	1358	379601	379609	1566	134589	134679	134679	Boreonymphon robustum	['DEPTH_EXCEEDS_BATH']	27	2544	-0.69	30.26		http://www.seadatanet.org/urnurl/SDN:EDMO::4871	En	http://creativecommons.org/licenses/by/4.0/legalcode	80.0	80.0	Cusson et al			event		80.0						Aitkinson & Wacasey 1989 Benthic invertebrates collected from Hudson Strait Foxe Channel and Foxe Bassin Canada 1949-1970	Cusson M. Archambault P. and Aitken A. 2007. Biodiversity of benthic assemblages on the Arctic continental shelf: historical data from Canada. Marine Ecology Progress Series 331:291-304|Aitkinson & Wacasey 1989 Benthic invertebrates collected from Hu	Canada	CA	NA	NA	"69 46' 5"" N"	"82 07' 5"" W"
