basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	coordinateUncertaintyInMeters	footprintWKT	taxonRank
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus pentamerum</i> Stock, 1968. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239655	sm_id_1766	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	3	-29.22	-177.95	1952-03-03	Austrodecidae	Austrodecus	WoRMS Editorial Board	Animalia	Pacific Ocean	60.0	2007-06-20 15:52:33	3	WoRMS Editorial Board:WoRMS type localities:sm_id_1766	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1766	Austrodecus pentamerum	Stock, 1968	urn:lsid:marinespecies.org:taxname:239655	pentamerum	holotype	1952	a4015725-2816-4fe6-ac58-81b75a730a8e	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	60.0	-562723200000	-562723200000	-562723200000	1952	False	False	True	False	Biota	Chelicerata	Stiripasterida	Austrodecus pentamerum	1.0	2	1065	1274	1302	1358	379600	22616	134579	239655	239655	Austrodecus pentamerum	[]	118	2213	21.27	35.69				
PreservedSpecimen		P.44736	Pycnogonida	co113			-36.41999	150.30833	1994-09-05	Austrodecidae	Austrodecus	AM	Animalia	east of Bermagui		2017-03-02T15:49:53		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44736	present	Pantopoda	Arthropoda		Austrodecus pentamerum		urn:lsid:marinespecies.org:taxname:239655	pentamerum			b7b7d042-1db9-4af6-91cf-bd9c363606f1	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		778723200000	778723200000	778723200000	1994	False	False	True	False		Chelicerata	Stiripasterida	Austrodecus pentamerum		2	1065	1274	1302	1358	379600	22616	134579	239655	239655	Austrodecus pentamerum	['NO_DEPTH']	167	19250	19.13	35.59	0.009	1000	POINT (150.30833 -36.41999)	species
