basisOfRecord	catalogNumber	class	collectionCode	collectionID	continent	coordinateUncertaintyInMeters	country	countryCode	datasetName	day	decimalLatitude	decimalLongitude	eventDate	family	genericName	genus	geodeticDatum	higherClassification	identifiedBy	individualCount	institutionCode	institutionID	kingdom	locality	locationID	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameID	specificEpithet	taxonRank	verbatimIdentification	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	dynamicProperties	scientificNameAuthorship	sex	stateProvince	typeStatus	datasetID	modified	references	locationRemarks
MaterialSample	LACM:DISCO:16664	Pycnogonida	MBC	urn:uuid:3f7f32da-cb96-4064-919e-8118eac80047	NORTH_AMERICA	10	United States of America	US	LAUOE	20	33.701683333333335	-118.29158333333334	2019-08-20	Ammotheidae	Tanystylum	Tanystylum	WGS84	Animalia | Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Ammotheidae | Tanystylum	D. Cadien	2	LACM	urn:lsid:biocol.org:col:34802	Animalia	California, Los Angeles County, Point Fermin, dropoff	5E93C76A-BF11-4E9C-8E49-5282754C72BD	15.0	12.0	08	8A5A1872-5351-49A3-96D9-553418BD8C4B	present	Pantopoda	Arthropoda	Generally fixed and preserved in 95% ethanol, some specimens in formalin	CSUF Whaler | S. Wiedrick | G. Paulay	SCUBA, hand, hand dredge, rock hammer	Tanystylum occidentalis	urn:lsid:marinespecies.org:taxname:239581	occidentalis	species	Tanystylum occidentalis	North Pacific Ocean	2019	2761b680-1061-4b73-a479-8c584b51256e	92af50ad-c9d7-4fe7-b012-eae0e77233a2	['b7c47783-a020-4173-b390-7b57c4fa1426']	13.5	1566259200000	1566259200000	1566259200000	2019	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum occidentalis	1.0	2	1065	1274	1302	1358	379601	379608	1562	134577	239581	239581	Tanystylum occidentalis (Cole, 1904)	[]	-8	362	17.11	33.44											
PreservedSpecimen	107493.80082	Pycnogonida	Invertebrate Zoology: Crustacea				United States			30	36.6170005798	-121.900001526	1896-12-30T12:00:00Z	Ammotheidae		Tanystylum			Cole, L. J.	1.0	USNM		Animalia	Monterey Bay, Pacific Grove				12			Pantopoda	Arthropoda	Slide			Tanystylum occidentalis	urn:lsid:marinespecies.org:taxname:848877				North Pacific Ocean	1896	58e00b10-8a15-4d81-94fe-9b160cf39f6a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-2303769600000	-2303769600000	-2303769600000	1896	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum occidentalis		2	1065	1274	1302	1358	379601	379608	1562	134577	239581	239581	Clotenia occidentalis	['NO_DEPTH']	-4	7	12.9	32.93	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	Cole	male	California	Holotype				
PreservedSpecimen	sm_id_2334	Pycnogonida	WoRMS type localities							30	36.63	-121.91	1896-12-30	Ammotheidae		Tanystylum					WoRMS Editorial Board		Animalia	Pacific Ocean				12	WoRMS Editorial Board:WoRMS type localities:sm_id_2334	present	Pantopoda	Arthropoda				Tanystylum occidentalis	urn:lsid:marinespecies.org:taxname:239581	occidentalis				1896	87e71d7c-531f-4c67-8982-6468b3e590bf	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		-2303769600000	-2303769600000	-2303769600000	1896	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum occidentalis	1.0	2	1065	1274	1302	1358	379601	379608	1562	134577	239581	239581	Tanystylum occidentalis	['NO_DEPTH']	17	580	12.9	32.93		Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Tanystylum occidentalis</i> (Cole, 1904). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239581		(Cole, 1904)			holotype	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	http://www.marinespecies.org/aphia.php?p=specdetails&id=2334	
MaterialSample	LACM:DISCO:17060	Pycnogonida	MBC	urn:uuid:3f7f32da-cb96-4064-919e-8118eac80047	NORTH_AMERICA	10	United States of America	US	LAUOE	25	33.7469	-118.42056666666667	2019-08-25	Ammotheidae	Tanystylum	Tanystylum	WGS84	Animalia | Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Ammotheidae | Tanystylum	D. Cadien	1	LACM	urn:lsid:biocol.org:col:34802	Animalia	California, Los Angeles County, Palos Verdes Peninsula, Hawthorne Reef	C32C0F52-B467-4FC9-897F-D780857C4AA1	23.77	4.57	08	E08311B0-92DF-4449-9660-933B7B189540	present	Pantopoda	Arthropoda	Generally fixed and preserved in 95% ethanol, some specimens in formalin	Giant Stride | K. Morris | Z. Gold | S. Wiedrick | G. Paulay | J. Whelpley | M. Bemis	SCUBA, hand, hand dredge, rock hammer	Tanystylum occidentalis	urn:lsid:marinespecies.org:taxname:239581	occidentalis	species	Tanystylum occidentalis	North Pacific Ocean	2019	8f51a091-cf9c-4a7b-9e69-2f873a9cac93	92af50ad-c9d7-4fe7-b012-eae0e77233a2	['b7c47783-a020-4173-b390-7b57c4fa1426']	14.17	1566691200000	1566691200000	1566691200000	2019	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum occidentalis	1.0	2	1065	1274	1302	1358	379601	379608	1562	134577	239581	239581	Tanystylum occidentalis (Cole, 1904)	[]	31	629	17.04	33.44											horizontal visibility 12-15 ft.
MaterialSample	LACM:DISCO:16340	Pycnogonida	MBC	urn:uuid:3f7f32da-cb96-4064-919e-8118eac80047	NORTH_AMERICA	10	United States of America	US	LAUOE	21	33.8372	-118.3936	2019-08-21	Ammotheidae	Tanystylum	Tanystylum	WGS84	Animalia | Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Ammotheidae | Tanystylum	D. Cadien	1	LACM	urn:lsid:biocol.org:col:34802	Animalia	California, Los Angeles County, Redondo Beach, Veteran's Park	53E17CEB-DEB4-47A8-8C45-CD3036A2EF51	7.62	7.62	08	C31E0C4C-6FCB-4675-8F82-A6F53CA626CA	present	Pantopoda	Arthropoda	Generally fixed and preserved in 95% ethanol, some specimens in formalin	J. Whelpley | B. Cummings	SCUBA, beach dive, hand, shovel	Tanystylum occidentalis	urn:lsid:marinespecies.org:taxname:239581	occidentalis	species	Tanystylum occidentalis	North Pacific Ocean	2019	e4ebcea7-302e-4f25-b1f3-1525c84735e2	92af50ad-c9d7-4fe7-b012-eae0e77233a2	['b7c47783-a020-4173-b390-7b57c4fa1426']	7.62	1566345600000	1566345600000	1566345600000	2019	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum occidentalis	1.0	2	1065	1274	1302	1358	379601	379608	1562	134577	239581	239581	Tanystylum occidentalis (Cole, 1904)	[]	15	264													
