associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	depth	sex	coordinatePrecision	occurrenceRemarks	verbatimDepth	superdomain	superdomainid	collectionID	continent	dateIdentified	eventRemarks	eventTime	fieldNumber	habitat	higherClassification	higherGeography	institutionID	language	license	locationID	modified	nomenclaturalCode	occurrenceID	specificEpithet	startDayOfYear	taxonRank	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	lifeStage	datasetID	occurrenceStatus	references	typeStatus
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	169364.126235	Invertebrate Zoology: Crustacea	Panama	25	8.89167022705	-79.6083297729	observedindividualcount=2;	1971-04-25T12:00:00Z	Child, C. Allan	2.0	USNM	Panama Bay, Venado Beach, 100-200 Yards From Shore	4	Alcohol (Ethanol)	R. Manning, M. Jones, J. Rosewater & C. Child	Nymphopsis duodorsospinosa	Hilton	urn:lsid:marinespecies.org:taxname:240356	Canal Zone	North Pacific Ocean	1971	0484471f-fcc7-4279-89f8-6de85c19584b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	41385600000.0	41385600000.0	41385600000.0	1971.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Nymphopsis	Nymphopsis duodorsospinosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240356	240356	Nymphopsis duodorsospinosa	['NO_DEPTH']	-12	105	27.61	31.05																																					
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	78550.271540	Invertebrate Zoology: Crustacea	United States		24.6669998169	-81.5830001831	observedindividualcount=1;	1908-06-30T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	Florida Keys, Dry Tortugas	6	Alcohol (Ethanol)	R. Osburn	Nymphopsis duodorsospinosa	Hilton	urn:lsid:marinespecies.org:taxname:240356	Florida	North Atlantic Ocean	1908	17c75660-925d-402e-ad7c-4b0d34719de2	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1940976000000.0	-1940976000000.0	-1940976000000.0	1908.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Nymphopsis	Nymphopsis duodorsospinosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240356	240356	Nymphopsis duodorsospinosa	[]	2	400	26.67	36.09	18.0	15.0	16.5																																		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	233722.185625	Invertebrate Zoology: Crustacea	Panama	4	9.40499973297	-79.8633270264	observedindividualcount=1;	1980-10-04T12:00:00Z	Child, C. Allan	1.0	USNM	Galeta Point	10	Alcohol (Ethanol)	G. Hendler	Nymphopsis duodorsospinosa	Hilton	urn:lsid:marinespecies.org:taxname:240356	Canal Zone	North Atlantic Ocean	1980	1a21759a-ba5c-463b-8293-5db01c506986	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	339465600000.0	339465600000.0	339465600000.0	1980.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Nymphopsis	Nymphopsis duodorsospinosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240356	240356	Nymphopsis duodorsospinosa	[]	-2	22	28.19	35.1	6.1	6.1	6.1	female																																	
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-018_B3	B89PII			26.9666690826	-84.1912689209			Child, C. A.		HRI	ENE Gulf of Mexico				Nymphopsis duodorsospinosa	Hilton,	urn:lsid:marinespecies.org:taxname:240356		Gulf of Mexico		271f484e-486d-44e5-a6ed-2e3ec0368602	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Nymphopsis	Nymphopsis duodorsospinosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240356	240356	Nymphopsis duodorsospinosa	[]	121	156242	25.82	35.95	72.0	0.0	36.0		234990.0	Database description and disclaimer at: http://gulfbase.org/	0-72	Biota	1.0																												
	HumanObservation	USEPA'S EMAP	1987	CA02		31	32.7509994507	-79.8949966431		2002-07-31T12:00:00Z			EMAP_NCA		7			Nymphopsis duodorsospinosa		urn:lsid:marinespecies.org:taxname:240356			2002	2e168b3b-0738-4426-9837-bfc68d12fb49	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1028073600000.0	1028073600000.0	1028073600000.0	2002.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Nymphopsis	Nymphopsis duodorsospinosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240356	240356	Nymphopsis duodorsospinosa	[]	4	155	22.44	35.75	0.9	0.9	0.9																																		
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-018_B2	B89PII			27.3017368317	-83.2079162598			Child, C. A.		HRI	ENE Gulf of Mexico				Nymphopsis duodorsospinosa	Hilton,	urn:lsid:marinespecies.org:taxname:240356		Gulf of Mexico		36115461-39dd-4ae2-900d-45fd8ab92419	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Nymphopsis	Nymphopsis duodorsospinosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240356	240356	Nymphopsis duodorsospinosa	[]	34	52419	24.91	35.99	72.0	0.0	36.0		313160.0	Database description and disclaimer at: http://gulfbase.org/	0-72	Biota	1.0																												
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-018_C3	B89PII			23.0265483856	-82.8923110962			Child, C. A.		HRI	ESE  Gulf of Mexico				Nymphopsis duodorsospinosa	Hilton,	urn:lsid:marinespecies.org:taxname:240356		Gulf of Mexico		4eab46a9-afeb-4d81-aeb8-74aee661c743	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Nymphopsis	Nymphopsis duodorsospinosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240356	240356	Nymphopsis duodorsospinosa	[]	109	644	27.69	35.98	72.0	0.0	36.0		248810.0	Database description and disclaimer at: http://gulfbase.org/	0-72	Biota	1.0																												
	PreservedSpecimen		19638	IZ	Mexico	23	31.343333	-113.643333		1967-02-23	C.A. Child		CAS	Pelican Point	2	Fluid-75% EtOH(1)	T. Burch	Nymphopsis duodorsospinosa	Hilton, 1942		Sonora		1967	55b07e6c-3389-482f-91ed-98b85c548217	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	-90115200000.0	-90115200000.0	-90115200000.0	1967.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Nymphopsis	Nymphopsis duodorsospinosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240356	240356	Nymphopsis duodorsospinosa	['NO_DEPTH', 'ON_LAND']	5	-18	23.68	35.56						female, Removed from CASIZ CAT# 010250 by C. Child		Biota	1.0	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	1979-11	Data transcribed from catalogue card by Notes from Nature volunteers via Zooniverse.	1800	104214	rock	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Ascorhynchoidea, Ammotheidae	North America, North Pacific Ocean, Mexico, Gulf of California	http://grscicoll.org/institution/california-academy-sciences	en	https://creativecommons.org/publicdomain/zero/1.0/	0a320d68-bbfb-4f48-b872-34e3028bcac4	2024-01-29 15:33:29	ICZN	urn:catalog:CAS:IZ:19638	duodorsospinosa	54	species	Physical Object	23 Feb 1967	31° 20.6' N	113° 38.6' W					
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	221045.175031	Invertebrate Zoology: Crustacea	United States	30	31.3933296204	-80.8866729736	observedindividualcount=1;	1980-01-30T12:00:00Z	Dojiri, Masahiro	1.0	USNM	Off Georgia	1	Alcohol (Ethanol)	Georgia Marine Resources For Minerals Management Service/Bureau Land Management BLM/ MMS	Nymphopsis duodorsospinosa	Hilton	urn:lsid:marinespecies.org:taxname:240356		North Atlantic Ocean	1980	65b4b870-b851-47d7-9de8-e0becac4c01e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	318038400000.0	318038400000.0	318038400000.0	1980.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Nymphopsis	Nymphopsis duodorsospinosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240356	240356	Nymphopsis duodorsospinosa	[]	17	30766	22.24	35.64	19.0	19.0	19.0												805014																		juvenile				
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphopsis duodorsospinosa</i> Hilton, 1942. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240356	sm_id_2090	WoRMS type localities		2	37.87	-122.39		1936-03-02			WoRMS Editorial Board	Pacific Ocean	3			Nymphopsis duodorsospinosa	Hilton, 1942	urn:lsid:marinespecies.org:taxname:240356			1936	65d1de76-ad8d-4ffd-91be-90ef6d7a6837	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-1067731200000.0	-1067731200000.0	-1067731200000.0	1936.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Nymphopsis	Nymphopsis duodorsospinosa	2	1065	1274	1302	1358	379601	379608	1562	236282	240356	240356	Nymphopsis duodorsospinosa	[]	4	2674	12.63	32.03		48.0	48.0					Biota	1.0														2007-06-20 15:52:33		WoRMS Editorial Board:WoRMS type localities:sm_id_2090	duodorsospinosa								https://marineinfo.org/id/dataset/5184	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=2090	holotype
