basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	typeStatus	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	day	eventDate	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceStatus	year	depth	date_start	date_mid	date_end	date_year	superdomain	superdomainid	country
PreservedSpecimen	2007-4619	Pycnogonida	IU	NC	-22.789167	167.241669	Nymphonidae	BIOCAL/DW44	POINT  (167.241669 -22.789167)	Nymphon	WGS84	Stock	2	MNHN	Animalia	CC_BY_4_0	S Ile des Pins	2015-06-19T21:23Z	440004215	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4619	Nymphon novaecaledoniae	Stock, 1991	urn:lsid:marinespecies.org:taxname:240097	novaecaledoniae	SPECIES	PARATYPE	Pacific Ocean	289bf7b4-b41d-4e65-bf54-76e5c3446820	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon novaecaledoniae	2	1065	1274	1302	1358	379601	379609	1566	134591	240097	240097	Nymphon novaecaledoniae Stock, J.H., 1991	['NO_DEPTH']	442	16261	24.32	35.25																	
PreservedSpecimen	2008-20680	Pycnogonida	IU	NC	-22.789167	167.241669	Nymphonidae	BIOCAL/DW44	POINT  (167.241669 -22.789167)	Nymphon	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	S Ile des Pins	2015-07-30T20:25Z	453788976	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20680	Nymphon novaecaledoniae	Stock, 1991	urn:lsid:marinespecies.org:taxname:240097	novaecaledoniae	SPECIES	PARATYPE	Pacific Ocean	3e7c6779-9f3a-4395-abc4-f4253b12b682	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon novaecaledoniae	2	1065	1274	1302	1358	379601	379609	1566	134591	240097	240097	Nymphon novaecaledoniae Stock, J.H., 1991	['NO_DEPTH']	442	16261	24.32	35.25																	
PreservedSpecimen	2007-4618	Pycnogonida	IU	NC	-22.789167	167.241669	Nymphonidae	BIOCAL/DW44	POINT  (167.241669 -22.789167)	Nymphon	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	S Ile des Pins	2015-06-19T21:23Z	440013182	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4618	Nymphon novaecaledoniae	Stock, 1991	urn:lsid:marinespecies.org:taxname:240097	novaecaledoniae	SPECIES	HOLOTYPE	Pacific Ocean	9dd3fb9f-82d1-452c-8c44-433063045355	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon novaecaledoniae	2	1065	1274	1302	1358	379601	379609	1566	134591	240097	240097	Nymphon novaecaledoniae Stock, J.H., 1991	['NO_DEPTH']	442	16261	24.32	35.25																	
PreservedSpecimen	sm_id_2038	Pycnogonida	WoRMS type localities		-22.79	167.24	Nymphonidae			Nymphon				WoRMS Editorial Board	Animalia		Pacific Ocean	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2038	Pantopoda	Arthropoda		http://www.marinespecies.org/aphia.php?p=specdetails&id=2038	Nymphon novaecaledoniae	Stock, 1991	urn:lsid:marinespecies.org:taxname:240097	novaecaledoniae		holotype		af12b5a2-4c79-4da4-96a6-41795326da89	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon novaecaledoniae	2	1065	1274	1302	1358	379601	379609	1566	134591	240097	240097	Nymphon novaecaledoniae	[]	438	16454	24.32	35.25	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon novaecaledoniae</i> Stock, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240097	https://marineinfo.org/id/dataset/5184	30	1985-08-30	450.0	440.0	8	present	1985	445.0	494208000000.0	494208000000.0	494208000000.0	1985.0	Biota	1.0	
Occurrence	21697	Pycnogonida	NewCaledonia		-22.7800006866455	167.229995727539	Nymphonidae			Nymphon				IRD-MNHN	Animalia		Biocal, DW44	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21697:0x9025900001000300	Pantopoda	Arthropoda			Nymphon novaecaledoniae		urn:lsid:marinespecies.org:taxname:240097					c40bf364-fdad-4e6d-a82d-835af99e24c8	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon novaecaledoniae	2	1065	1274	1302	1358	379601	379609	1566	134591	240097	240097	Nymphon novaecaledoniae	[]	428	16678	24.32	35.25	Stock JH (1991). Musorstom 8(151): 125-212.	https://marineinfo.org/id/dataset/3128			450.0	440.0		present		445.0					Biota	1.0	Nouvelle Caledonie
