basisOfRecord	catalogNumber	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	institutionCode	locality	modified	month	occurrenceID	occurrenceStatus	scientificName	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	identifiedBy	maximumDepthInMeters	minimumDepthInMeters	references	specificEpithet	typeStatus	depth
PreservedSpecimen	1625	Collection Pantopoda	https://marineinfo.org/id/dataset/2860	6	12.3533333333	43.4516666667	1987-03-06/1987-03-06	SMF	vor N-Djibouti	2011-08-19 12:54:48	3	urn:catalog:SMF:Collection Pantopoda:1625	present	Ascorhynchus meteor	urn:lsid:marinespecies.org:taxname:239706	1987	8009a4db-cad1-4309-82ac-ed4fda37b31f	ad2b32e8-2494-40fc-bfcd-4850cc7a1f0d	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	541987200000.0	541987200000.0	541987200000.0	1987.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus meteor	1	2	1065	1274	1302	1358	379601	379608	379788	134571	239706	239706	Ascorhynchus meteor Mnller 1989	['NO_DEPTH']	33	9451	28.74	36.41							
PreservedSpecimen	1625	Pantopoda - SMF	https://marineinfo.org/id/dataset/961		12.3533333333	43.4516666667		SMF		2005-06-03 12:11:00		urn:catalog:SMF:Pantopoda - SMF:1625:0xA527350101000200	present	Ascorhynchus meteor	urn:lsid:marinespecies.org:taxname:239706		8cc942e9-c4c0-4c81-8100-d69ec8153880	97bdf279-6f78-4ed7-ad9d-27a5886f8ff2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']					False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus meteor	1	2	1065	1274	1302	1358	379601	379608	379788	134571	239706	239706	Ascorhynchus meteor	[]	33	9451	28.74	36.41	H.-G. Mnller	45.0	35.0	http://sesam.senckenberg.de/page/index.asp?objekt_id=44903&sprache_kurz=en	meteor	Paratypus	40.0
