basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	day	dynamicProperties	eventDate	identifiedBy	individualCount	lifeStage	locality	month	preparations	recordedBy	scientificNameAuthorship	sex	typeStatus	waterBody	year	date_start	date_mid	date_end	date_year
HumanObservation	34254	SOMBASE Pycnogonids	-38.7000007629	75.1829986572	BAS	100.0	0.0	Tanystylum beuroisi	urn:lsid:marinespecies.org:taxname:239724	3e0511af-264c-425d-a730-12ae3dd0f0c8	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	50.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum beuroisi	2	1065	1274	1302	1358	379601	379608	1562	134577	239724	239724	Tanystylum beuroisi	[]	3880	201436	14.86	35.1																					
PreservedSpecimen	152788.116173	Invertebrate Zoology: Crustacea	-38.7000007629	75.1833267212	USNM			Tanystylum beuroisi	urn:lsid:marinespecies.org:taxname:239724	41a65245-4261-4a21-ae1a-c11c99ab0514	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum beuroisi	2	1065	1274	1302	1358	379601	379608	1562	134577	239724	239724	Tanystylum beuroisi	['NO_DEPTH']	3880	201408	14.86	35.1	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	23	observedindividualcount=4;	1971-12-23T12:00:00Z	Arnaud, F.	4.0	;; juvenile	St. Paul Island, Crater Coast, End Of N Jetty	12	Alcohol (Ethanol)	J. Beurois	Arnaud	male; female;;	Paratype	Indian Ocean	1971	62294400000.0	62294400000.0	62294400000.0	1971.0
HumanObservation	34253	SOMBASE Pycnogonids	-37.8330001831	77.5667037964	BAS	100.0	0.0	Tanystylum beuroisi	urn:lsid:marinespecies.org:taxname:239724	4b0c0d82-7af9-45eb-a65b-0997d77da906	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	50.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum beuroisi	2	1065	1274	1302	1358	379601	379608	1562	134577	239724	239724	Tanystylum beuroisi	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-411	-2390	15.18	35.11																					
