basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	fieldNumber	institutionCode	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceRemarks	scientificName	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	individualCount	locality	preparations	recordedBy	scientificNameAuthorship	datasetID	datasetName	institutionID	language	license	occurrenceID	rightsHolder	specificEpithet	taxonID	taxonRank	type	verbatimIdentification	superdomain	superdomainid
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	RO7602000801N600104020200	BLOCK ISLAND SHIP OF OPPORTUNITY	United States	29	41.1669998169	-71.8170013428	observedweight=0.006;samplesize=0.1 m^2;observedindividualcount=1;	1976-09-29T12:00:00Z	RO7602000801	NOAA, NMFS, Northeast Fisheries Science Center	27.0	27.0	9	Gear Type: SMITH MCINTYRE GRAB	Achelia spinosa	urn:lsid:marinespecies.org:taxname:158476	North Atlantic Ocean	1976	00b0d48f-7118-431a-9232-8eeecc6f8c29	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	27.0	212803200000	212803200000	212803200000	1976	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia spinosa	2	1065	1274	1302	1358	379601	379608	1562	134568	158476	158476	Achelia spinosa	[]	34	10854	12.65	31.03																				
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	282152.225502	Invertebrate Zoology: Crustacea	United States	12	25.5911102295	-81.7705612183	observedindividualcount=1;	1982-12-12T12:00:00Z	3/II-49-BCI	USNM	12.0	12.0	12		Achelia spinosa	urn:lsid:marinespecies.org:taxname:158476	North Atlantic Ocean	1982	00f09da1-8dd5-49bd-a0b1-6ea7e79523c8	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	12.0	408499200000	408499200000	408499200000	1982	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia spinosa	2	1065	1274	1302	1358	379601	379608	1562	134568	158476	158476	Achelia spinosa	[]	10	29418	25.93	36.2	National Museum of Natural History, Smithsonian Institution	1.0	Off Florida	Alcohol (Ethanol)	Mote Marine Lab For  BLM / MMS	(Stimpson)														
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	NL7505003904N600104020200	NEW LONDON SHIP OF OPPORTUNITY	United States	30	41.25	-72.0830001831	observedweight=0;samplesize=0.1 m^2;observedindividualcount=3;	1975-07-30T12:00:00Z	NL7505003904	NOAA, NMFS, Northeast Fisheries Science Center	61.0	61.0	7	Gear Type: SMITH MCINTYRE GRAB	Achelia spinosa	urn:lsid:marinespecies.org:taxname:158476	North Atlantic Ocean	1975	02b05e91-5785-45fd-96ef-7694b05624b5	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	61.0	175910400000	175910400000	175910400000	1975	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia spinosa	2	1065	1274	1302	1358	379601	379608	1562	134568	158476	158476	Achelia spinosa	[]	83	3707	12.64	30.26																				
PreservedSpecimen		9429	MuseumCollection		10	49.15833333	-66.425		1983-08-10	TRISTAN 83-10	IML	14.0	11.3	8		Achelia spinosa	urn:lsid:marinespecies.org:taxname:158476		1983	044b4ea3-79ae-4bce-bf4a-83b1cbffbbe8	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	12.65	429321600000	429321600000	429321600000	1983	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia spinosa	2	1065	1274	1302	1358	379601	379608	1562	134568	158476	158476	Achelia spinosa	[]	-24	325	5.81	19.77		20	Saint-Joachim-de-Tourelle			(Stimpson, 1853)	dfo_que_mli_museum	DFO Quebec Region MLI museum collection	https://edmo.seadatanet.org/report/4160	en	http://creativecommons.org/licenses/by/4.0/legalcode	DFO_MLI_MuseumCollection_9429	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	spinosa	083_00101	species	PhysicalObject	Achelia spinosa	Biota	1.0
PreservedSpecimen		9408	MuseumCollection		23	49.15833333	-66.425		1983-08-23	TRISTAN 83-41	IML	9.1	8.2	8		Achelia spinosa	urn:lsid:marinespecies.org:taxname:158476		1983	06b2f144-99e9-4ba3-a37c-207407e62e54	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	8.649999999999999	430444800000	430444800000	430444800000	1983	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia spinosa	2	1065	1274	1302	1358	379601	379608	1562	134568	158476	158476	Achelia spinosa	[]	-24	325	5.81	19.77		1	Saint-Joachim-de-Tourelle			(Stimpson, 1853)	dfo_que_mli_museum	DFO Quebec Region MLI museum collection	https://edmo.seadatanet.org/report/4160	en	http://creativecommons.org/licenses/by/4.0/legalcode	DFO_MLI_MuseumCollection_9408	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	spinosa	083_00101	genus	PhysicalObject	Achelia spinosa	Biota	1.0
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	LI7201014101N600104020200	LONG ISLAND SOUND SHIP OF OPPORTUNITY	United States	14	41.2999992371	-71.9169998169	observedweight=0;samplesize=0.1 m^2;observedindividualcount=24;	1972-08-14T12:00:00Z	LI7201014101	NOAA, NMFS, Northeast Fisheries Science Center	15.0	15.0	8	Gear Type: SMITH MCINTYRE GRAB	Achelia spinosa	urn:lsid:marinespecies.org:taxname:158476	North Atlantic Ocean	1972	091f22dd-8466-4aa9-9345-965f50cb2b3f	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	15.0	82598400000	82598400000	82598400000	1972	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia spinosa	2	1065	1274	1302	1358	379601	379608	1562	134568	158476	158476	Achelia spinosa	[]	5	596	12.58	30.4																				
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	282160.225510	Invertebrate Zoology: Crustacea	United States	11	25.2966709137	-81.6633300781	observedindividualcount=1;	1982-12-11T12:00:00Z	3/II-52(75M)-BCI	USNM	14.0	14.0	12		Achelia spinosa	urn:lsid:marinespecies.org:taxname:158476	North Atlantic Ocean	1982	0ad6f626-32c3-4510-bdee-c89e30fd5f51	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	14.0	408412800000	408412800000	408412800000	1982	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia spinosa	2	1065	1274	1302	1358	379601	379608	1562	134568	158476	158476	Achelia spinosa	[]	11	49881	26.13	36.18	National Museum of Natural History, Smithsonian Institution	1.0	Off Florida	Alcohol (Ethanol)	Mote Marine Lab For  BLM / MMS	(Stimpson)														
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	NL7503000303N600104020200	NEW LONDON SHIP OF OPPORTUNITY	United States	1	41.266998291	-72.0999984741	observedweight=0;samplesize=0.1 m^2;observedindividualcount=1;	1975-01-01T12:00:00Z	NL7503000303	NOAA, NMFS, Northeast Fisheries Science Center			1	Gear Type: SMITH MCINTYRE GRAB	Achelia spinosa	urn:lsid:marinespecies.org:taxname:158476	North Atlantic Ocean	1975	14e3d9a7-70c0-4584-a206-0832e35f4fd5	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']		157766400000	157766400000	157766400000	1975	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia spinosa	2	1065	1274	1302	1358	379601	379608	1562	134568	158476	158476	Achelia spinosa	['NO_DEPTH']	20	3722	12.6	29.52																				
PreservedSpecimen		9430	MuseumCollection		9	49.15833333	-66.425		1983-08-09	TRISTAN 83-8	IML	4.6	4.0	8		Achelia spinosa	urn:lsid:marinespecies.org:taxname:158476		1983	1ab0e78e-4dc4-49c0-84df-a675fa8933d8	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	4.3	429235200000	429235200000	429235200000	1983	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia spinosa	2	1065	1274	1302	1358	379601	379608	1562	134568	158476	158476	Achelia spinosa	[]	-24	325	5.81	19.77		15	Saint-Joachim-de-Tourelle			(Stimpson, 1853)	dfo_que_mli_museum	DFO Quebec Region MLI museum collection	https://edmo.seadatanet.org/report/4160	en	http://creativecommons.org/licenses/by/4.0/legalcode	DFO_MLI_MuseumCollection_9430	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	spinosa	083_00101	species	PhysicalObject	Achelia spinosa	Biota	1.0
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	NL7401001901N600104020200	NEW LONDON SHIP OF OPPORTUNITY	United States	3	41.266998291	-72.0830001831	observedweight=0;samplesize=0.1 m^2;observedindividualcount=8;	1974-07-03T12:00:00Z	NL7401001901	NOAA, NMFS, Northeast Fisheries Science Center	21.0	21.0	7	Gear Type: SMITH MCINTYRE GRAB	Achelia spinosa	urn:lsid:marinespecies.org:taxname:158476	North Atlantic Ocean	1974	1af12a1c-8298-494e-be63-60ef351644e1	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	21.0	142041600000	142041600000	142041600000	1974	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia spinosa	2	1065	1274	1302	1358	379601	379608	1562	134568	158476	158476	Achelia spinosa	[]	16	4136	12.58	29.86																				
