associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	occurrenceRemarks	verbatimDepth	superdomain	superdomainid	collectionID	countryCode	eventID	occurrenceID	occurrenceStatus
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228122.180340	Invertebrate Zoology: Crustacea	Belize	4	16.8033294678	-88.0766677856	observedindividualcount=1;	1980-04-04T12:00:00Z	Child, C. Allan	1.0	USNM	Carrie Bow Cay	9.0	3.0	4	Alcohol (Ethanol)	G. Hendler	Ammothella rugulosa	(Verrill)	urn:lsid:marinespecies.org:taxname:240337	male	North Atlantic Ocean	1980	129c4ea8-48f3-4e17-a2e7-f4e3a3f32962	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.0	323654400000.0	323654400000.0	323654400000.0	1980.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella rugulosa	2	1065	1274	1302	1358	379601	379608	1562	134570	240337	240337	Ammothella rugulosa	[]	12	483	28.13	35.55										
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1057507.852011	Invertebrate Zoology		18	40.3330001831	-71.0	observedindividualcount=1;	1965-08-18T13:00:00Z	United States National Marine Fisheries Service	1.0	USNM		93.0	93.0	8	Alcohol (Ethanol)	United States National Marine Fisheries Service	Ammothella rugulosa	(Verrill)	urn:lsid:marinespecies.org:taxname:240337		North Atlantic Ocean	1965	1520d1f1-e947-45dc-a50f-7c4381716165	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	93.0	-137980800000.0	-137980800000.0	-137980800000.0	1965.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella rugulosa	2	1065	1274	1302	1358	379601	379608	1562	134570	240337	240337	Ammothella rugulosa	[]	95	102182	14.37	33.12										
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228123.180341	Invertebrate Zoology: Crustacea	Belize	5	16.8033294678	-88.0749969482	observedindividualcount=1;	1980-04-05T12:00:00Z	Child, C. Allan	1.0	USNM	Carrie Bow Cay	36.0	36.0	4	Alcohol (Ethanol)	G. Hendler	Ammothella rugulosa	(Verrill)	urn:lsid:marinespecies.org:taxname:240337	male	North Atlantic Ocean	1980	45df6021-5f8a-4d76-8e90-5a9b3de9ae04	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	36.0	323740800000.0	323740800000.0	323740800000.0	1980.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella rugulosa	2	1065	1274	1302	1358	379601	379608	1562	134570	240337	240337	Ammothella rugulosa	[]	19	660	28.13	35.55										
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228121.180339	Invertebrate Zoology: Crustacea	Belize	3	16.8016700745	-88.0800018311	observedindividualcount=1;	1980-04-03T12:00:00Z	Child, C. Allan	1.0	USNM	Carrie Bow Cay	2.0		4	Alcohol (Ethanol)	G. Hendler	Ammothella rugulosa	(Verrill)	urn:lsid:marinespecies.org:taxname:240337	female	North Atlantic Ocean	1980	55d02e72-1f25-4241-b49b-a1bb3004284e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2.0	323568000000.0	323568000000.0	323568000000.0	1980.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella rugulosa	2	1065	1274	1302	1358	379601	379608	1562	134570	240337	240337	Ammothella rugulosa	[]	12	135	28.13	35.55										
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-004_H1	B89PII			29.7485084534	-93.0898971558			Child, C. A.		HRI	NNW  Gulf of Mexico	34.0	0.0				Ammothella rugulosa	Verrill,	urn:lsid:marinespecies.org:taxname:240337		Gulf of Mexico		7adc76cb-b1f8-4570-86a5-02c1f83c23cd	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	17.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella rugulosa	2	1065	1274	1302	1358	379601	379608	1562	134570	240337	240337	Ammothella rugulosa	[]	-1	119	23.45	29.07	302390.0	Database description and disclaimer at: http://gulfbase.org/	0-34	Biota	1.0					
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	120358.86286	Invertebrate Zoology: Crustacea		11	5.84999990463	-53.0	observedindividualcount=1;	1957-11-11T12:00:00Z	Child, C. Allan	1.0	USNM	Off French Guiana	35.0	35.0	11	Alcohol (Ethanol)		Ammothella rugulosa	(Verrill)	urn:lsid:marinespecies.org:taxname:240337	male	North Atlantic Ocean	1957	82d0fb65-38e6-498f-b4d0-3ec05e285572	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	35.0	-383097600000.0	-383097600000.0	-383097600000.0	1957.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella rugulosa	2	1065	1274	1302	1358	379601	379608	1562	134570	240337	240337	Ammothella rugulosa	[]	13	40789	27.73	29.1										
	PreservedSpecimen		145416	FSBC I			25.357693	-80.33458		1982-10-14										Ammothella rugulosa		urn:lsid:marinespecies.org:taxname:240337				8d443713-bbf2-4842-b2d5-c8f5ef244d88	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']		403401600000.0	403401600000.0	403401600000.0	1982.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella rugulosa	2	1065	1274	1302	1358	379601	379608	1562	134570	240337	240337	Ammothella rugulosa	['NO_DEPTH', 'ON_LAND']	-3	-728								56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	a0d3dd5c-2504-4433-8182-83190815f225	26be6744-b133-40b4-85f9-42a7f9e8e803	Present
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-004_H2	B89PII			29.0193500519	-92.6140518188			Child, C. A.		HRI	NNW  Gulf of Mexico	34.0	0.0				Ammothella rugulosa	Verrill,	urn:lsid:marinespecies.org:taxname:240337		Gulf of Mexico		a5775c46-0e7a-486b-8ab5-bb98ae9a22fc	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	17.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella rugulosa	2	1065	1274	1302	1358	379601	379608	1562	134570	240337	240337	Ammothella rugulosa	[]	25	61797	24.1	32.48	277700.0	Database description and disclaimer at: http://gulfbase.org/	0-34	Biota	1.0					
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-004_C2	B89PII			24.7805652618	-82.3406906128			Child, C. A.		HRI	ESE  Gulf of Mexico	34.0	0.0				Ammothella rugulosa	Verrill,	urn:lsid:marinespecies.org:taxname:240337		Gulf of Mexico		b59b0ab8-8958-4d9e-b46e-62826e57b476	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	17.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella rugulosa	2	1065	1274	1302	1358	379601	379608	1562	134570	240337	240337	Ammothella rugulosa	[]	26	28843	26.37	36.14	195770.0	Database description and disclaimer at: http://gulfbase.org/	0-34	Biota	1.0					
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-004_C1	B89PII			23.0251464844	-82.887260437			Child, C. A.		HRI	ESE  Gulf of Mexico	34.0	0.0				Ammothella rugulosa	Verrill,	urn:lsid:marinespecies.org:taxname:240337		Gulf of Mexico		bcb60e2a-0bb5-49da-bb8f-90ad5be7723c	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	17.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella rugulosa	2	1065	1274	1302	1358	379601	379608	1562	134570	240337	240337	Ammothella rugulosa	[]	126	466	27.69	35.98	249350.0	Database description and disclaimer at: http://gulfbase.org/	0-34	Biota	1.0					
