basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	country	dynamicProperties	identifiedBy	individualCount	preparations	sex	waterBody
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Chonothea verrucosa</i> Nakamura & Child, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239692	sm_id_1818	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	10	34.78	138.7	1973-06-10	Ascorhynchoidea incertae sedis	Chonothea	WoRMS Editorial Board	Animalia	Pacific Ocean	381	355	2007-06-20 15:52:33	6	WoRMS Editorial Board:WoRMS type localities:sm_id_1818	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1818	Chonothea verrucosa	Nakamura & Child, 1991	urn:lsid:marinespecies.org:taxname:239692	verrucosa	holotype	1973	00ed4866-f86a-4cbe-bf77-eb5edaf6bf7e	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	368	108518400000	108518400000	108518400000	1973	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Chonothea verrucosa	1.0	2	1065	1274	1302	1358	379601	379608	379616	236263	239692	239692	Chonothea verrucosa	[]	313	4858	20.26	33.92								
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234467.186219	Pycnogonida	Invertebrate Zoology: Crustacea		10	34.78332901	138.699996948	1973-06-10T12:00:00Z	Ascorhynchoidea incertae sedis	Chonothea	USNM	Animalia	Honshu Island, Suruga Bay	381	355		6			Pantopoda	Arthropoda		Chonothea verrucosa	Takamura & Child	urn:lsid:marinespecies.org:taxname:239692		Holotype	1973	860f2eca-73a8-4b19-bf3e-f6236092aaff	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	368	108518400000	108518400000	108518400000	1973	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Chonothea verrucosa		2	1065	1274	1302	1358	379601	379608	379616	236263	239692	239692	Chonothea verrucosa	[]	373	4682	20.26	33.92	National Museum of Natural History, Smithsonian Institution	Japan	observedindividualcount=1;	Bowman, Thomas E.	1.0	Alcohol (Ethanol)	male	North Pacific Ocean
