basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	day	eventDate	locality	modified	month	occurrenceID	occurrenceStatus	references	scientificNameAuthorship	specificEpithet	typeStatus	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid
HumanObservation	38079	SOMBASE Pycnogonids	-48.9966011047	70.9049987793	BAS	125.0	125	Austrodecus longispinum	urn:lsid:marinespecies.org:taxname:240043	03142e95-d6ff-4b49-8f1e-31bb30d01394	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	125	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus longispinum	2	1065	1274	1302	1358	379600	22616	134579	240043	240043	Austrodecus longispinum	[]	115	30133	3.72	33.79																				
PreservedSpecimen	sm_id_1756	WoRMS type localities	49.83	69.55	WoRMS Editorial Board		150	Austrodecus longispinum	urn:lsid:marinespecies.org:taxname:240043	3675d644-a624-4b7a-9c2e-faa36c780171	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	150	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus longispinum	2	1065	1274	1302	1358	379600	22616	134579	240043	240043	Austrodecus longispinum	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-348	-1252653			Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus longispinum</i> Stock, 1957. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240043	https://marineinfo.org/id/dataset/5184	7	1930-02-07	Indian Ocean	2007-06-20 15:52:33	2	WoRMS Editorial Board:WoRMS type localities:sm_id_1756	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1756	Stock, 1957	longispinum	holotype	1930	-1259107200000.0	-1259107200000.0	-1259107200000.0	1930.0	Biota	1.0
HumanObservation	38113	SOMBASE Pycnogonids	-47.7865982056	67.6500015259	BAS	325.0	325	Austrodecus longispinum	urn:lsid:marinespecies.org:taxname:240043	c77ed538-1870-49f6-841e-e140e3a9af46	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	325	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus longispinum	2	1065	1274	1302	1358	379600	22616	134579	240043	240043	Austrodecus longispinum	[]	324	113001	4.8	33.68																				
