basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	georeferenceSources	identifiedBy	institutionCode	kingdom	language	locality	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	fieldNumber	individualCount	occurrenceRemarks	startDayOfYear	taxonRemarks	waterBody	date_start	date_mid	date_end	date_year
PreservedSpecimen	70064	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	26	-72.014	170.775833	26/02/2004	Austrodecidae	LINESTRING (170.775833 -72.014, 170.775833 -72.014)	Austrodecus	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	Moubray Bay	TAN0402/139	236	236	8/04/2022	2	6056ad0e-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 1	NIWA; MFish	Grab,  van Veen	Austrodecus frigorifugum	Stock, 1954	urn:lsid:marinespecies.org:taxname:240203	frigorifugum	2004	02b425c9-67aa-4302-b88b-86c207e635a0	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	236	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus frigorifugum	2	1065	1274	1302	1358	379600	22616	134579	240203	240203	Austrodecus frigorifugum	[]	239	5831	-1.69	33.7											
HumanObservation	TAN0402/77 Austrodecus frigorifugum	Pycnogonida	MBIS BioRoss		30			2005-06-20	14	-72.116667	172.713167	2004-02-14T05:29+12	Austrodecidae	POINT (172.713167 -72.116667)	Austrodecus	WGS84		Johanna Nielsen	NIWA	Animalia	en	Ross 5		499	499	2013-11-03	2	1943	present	Pantopoda	Arthropoda			Van Veen grab	Austrodecus frigorifugum	Stock, 1954	urn:lsid:marinespecies.org:taxname:240203	frigorifugum	2004	03132b2c-502a-48e9-aa2e-fba86ac1f591	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	499	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus frigorifugum	2	1065	1274	1302	1358	379600	22616	134579	240203	240203	Austrodecus frigorifugum	[]	493	55598	-1.64	34.14	Austrodecus frigorifugum (MBIS BioRoss 1943)	TAN0402/77	1	GearType= Van Veen Grab	45	Austrodecus frigorifugum	Southern Ocean	1076716800000.0	1076716800000.0	1076716800000.0	2004.0
PreservedSpecimen	70054	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	18	-71.277167	170.602167	18/02/2004	Austrodecidae	LINESTRING (170.602167 -71.277167, 170.602167 -71.277167)	Austrodecus	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en		TAN0402/107	400	400	8/04/2022	2	60569c7e-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 7	NIWA; MFish	Grab,  van Veen	Austrodecus frigorifugum	Stock, 1954	urn:lsid:marinespecies.org:taxname:240203	frigorifugum	2004	03a88233-0145-4f79-bc94-3a5e3728be30	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	400	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus frigorifugum	2	1065	1274	1302	1358	379600	22616	134579	240203	240203	Austrodecus frigorifugum	['DEPTH_EXCEEDS_BATH']	266	10993	-1.66	34.07											
PreservedSpecimen	70051	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	9	-71.746333	171.291333	9/02/2004	Austrodecidae	LINESTRING (171.291333 -71.746333, 171.291333 -71.746333)	Austrodecus	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en		TAN0402/30	277	277	8/04/2022	2	60569800-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - orig formalin = 1	NIWA; MFish	Grab,  van Veen	Austrodecus frigorifugum	Stock, 1954	urn:lsid:marinespecies.org:taxname:240203	frigorifugum	2004	16e8e6f7-aa51-4d5c-9dc9-3b47d7a4197a	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	277	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus frigorifugum	2	1065	1274	1302	1358	379600	22616	134579	240203	240203	Austrodecus frigorifugum	[]	274	14705	-1.64	33.95											
PreservedSpecimen	70058	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	14	-72.097667	172.930167	14/02/2004	Austrodecidae	LINESTRING (172.930167 -72.097667, 172.930167 -72.097667)	Austrodecus	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en		TAN0402/88	515	515	8/04/2022	2	6056a278-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - orig formalin = 1	NIWA; MFish	Grab,  van Veen	Austrodecus frigorifugum	Stock, 1954	urn:lsid:marinespecies.org:taxname:240203	frigorifugum	2004	19a6a880-9cf2-4dd0-8f96-23c4fac6cd87	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	515	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus frigorifugum	2	1065	1274	1302	1358	379600	22616	134579	240203	240203	Austrodecus frigorifugum	[]	512	62379	-1.64	34.15											
HumanObservation	TAN0402/276 Austrodecus frigorifugum	Pycnogonida	MBIS BioRoss		30			2005-06-20	7	-65.413333	160.881667	2004-03-07T16:06+12	Austrodecidae	POINT (160.881667 -65.413333)	Austrodecus	WGS84		Johanna Nielsen	NIWA	Animalia	en	Balleny		125	125	2013-11-03	3	2136	present	Pantopoda	Arthropoda			Van Veen grab	Austrodecus frigorifugum	Stock, 1954	urn:lsid:marinespecies.org:taxname:240203	frigorifugum	2004	1c0b5110-5878-45a7-b4de-7d03d9868da3	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	125	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus frigorifugum	2	1065	1274	1302	1358	379600	22616	134579	240203	240203	Austrodecus frigorifugum	[]	1065	115545	-1.63	33.89	Austrodecus frigorifugum (MBIS BioRoss 2136)	TAN0402/276	1	GearType= Van Veen Grab	67	Austrodecus frigorifugum	Southern Ocean	1078617600000.0	1078617600000.0	1078617600000.0	2004.0
PreservedSpecimen	70049	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	14	-72.116667	172.713167	14/02/2004	Austrodecidae	LINESTRING (172.713167 -72.116667, 172.713167 -72.116667)	Austrodecus	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en		TAN0402/77	499	499	8/04/2022	2	605694f4-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 1	NIWA; MFish	Grab,  van Veen	Austrodecus frigorifugum	Stock, 1954	urn:lsid:marinespecies.org:taxname:240203	frigorifugum	2004	1c6bd362-beff-46fb-b81f-4936b9229fd2	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	499	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus frigorifugum	2	1065	1274	1302	1358	379600	22616	134579	240203	240203	Austrodecus frigorifugum	[]	493	55598	-1.64	34.14											
PreservedSpecimen	70047	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	10	-71.754333	171.143167	10/02/2004	Austrodecidae	LINESTRING (171.143167 -71.754333, 171.143167 -71.754333)	Austrodecus	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en		TAN0402/38	245	245	8/04/2022	2	605691c0-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 2	NIWA; MFish	Grab,  van Veen	Austrodecus frigorifugum	Stock, 1954	urn:lsid:marinespecies.org:taxname:240203	frigorifugum	2004	2163a795-80b4-464c-8af0-2d24471c269a	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	245	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus frigorifugum	2	1065	1274	1302	1358	379600	22616	134579	240203	240203	Austrodecus frigorifugum	[]	247	10582	-1.65	33.88											
PreservedSpecimen	70041	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	5	-71.739333	171.657833	5/02/2004	Austrodecidae	LINESTRING (171.657833 -71.739333, 171.657833 -71.739333)	Austrodecus	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en		TAN0402/16	411	411	8/04/2022	2	60566b82-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - orig formalin = 1	NIWA; MFish	Grab,  van Veen	Austrodecus frigorifugum	Stock, 1954	urn:lsid:marinespecies.org:taxname:240203	frigorifugum	2004	225f875c-1781-4d66-aaf1-0b78cc88de32	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	411	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus frigorifugum	2	1065	1274	1302	1358	379600	22616	134579	240203	240203	Austrodecus frigorifugum	[]	403	21932	-1.63	34.04											
HumanObservation	TAN0402/111 Austrodecus frigorifugum	Pycnogonida	MBIS BioRoss		30			2005-06-20	18	-71.3045	170.618	2004-02-18T12:03+12	Austrodecidae	POINT (170.618 -71.3045)	Austrodecus	WGS84		Johanna Nielsen	NIWA	Animalia	en	Ross 1		357	357	2013-11-03	2	1983	present	Pantopoda	Arthropoda			Van Veen grab	Austrodecus frigorifugum	Stock, 1954	urn:lsid:marinespecies.org:taxname:240203	frigorifugum	2004	22e246be-b759-4e6b-a41b-9ed6660b9663	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	357	False	False	True	False	Chelicerata	Stiripasterida	Austrodecus frigorifugum	2	1065	1274	1302	1358	379600	22616	134579	240203	240203	Austrodecus frigorifugum	[]	322	10346	-1.66	34.07	Austrodecus frigorifugum (MBIS BioRoss 1983)	TAN0402/111	3	GearType= Van Veen Grab	49	Austrodecus frigorifugum	Southern Ocean	1077062400000.0	1077062400000.0	1077062400000.0	2004.0
