basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid	verbatimLocality	continent	coordinateUncertaintyInMeters	datasetName	day	eventDate	language	locationID	month	preparations	samplingProtocol	sex	year	eventID	identificationRemarks	identificationVerificationStatus	identifiedBy	occurrenceRemarks	verbatimIdentification	date_start	date_mid	date_end	date_year
PreservedSpecimen	2008-20587	Pycnogonida	IU	NC	-21.146667	167.918335	Ammotheidae	MUSORSTOM 6/DW472	POINT  (167.918335 -21.146667)	Scipiolus	WGS84	1	MNHN	Animalia	CC_BY_4_0	SE Tiga	2015-06-19T21:23Z	462402561	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20587	Scipiolus plumosus	Loman, 1908	urn:lsid:marinespecies.org:taxname:239921	plumosus	SPECIES	Pacific Ocean	13b1ba6d-03c4-4a7a-8a2f-b615e8f76aec	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Scipiolus plumosus	2	1065	1274	1302	1358	379601	379608	1562	236281	239921	239921	Scipiolus plumosus Loman, J.C.C., 1908	['NO_DEPTH']	334	8643	25.69	35.08																																
Occurrence	158	Pycnogonida	NewCaledonia		-23.3299999237061	168.089996337891	Ammotheidae			Scipiolus			IRD-MNHN	Animalia		Chalcal 2, DW83	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:158:0xEE16900001000300	Pantopoda	Arthropoda			Scipiolus plumosus		urn:lsid:marinespecies.org:taxname:239921				3f058812-f270-46df-abe1-0e15d9a4cf1e	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Scipiolus plumosus	2	1065	1274	1302	1358	379601	379608	1562	236281	239921	239921	Scipiolus plumosus	[]	259	82488	24.61	35.26	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	200.0	200.0	present	200.0	Biota	1.0																							
PreservedSpecimen	2008-20588	Pycnogonida	IU	NC	-23.338333	168.09166	Ammotheidae	CHALCAL 2/DW83	POINT  (168.09166 -23.338333)	Scipiolus	WGS84	1	MNHN	Animalia	CC_BY_4_0	Ride de Norfolk	2015-06-19T21:23Z	462423026	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20588	Scipiolus plumosus	Loman, 1908	urn:lsid:marinespecies.org:taxname:239921	plumosus	SPECIES	Pacific Ocean	49e2b8f4-c8dd-4baf-8b9b-4672a450eba1	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Scipiolus plumosus	2	1065	1274	1302	1358	379601	379608	1562	236281	239921	239921	Scipiolus plumosus Loman, J.C.C., 1908	['NO_DEPTH']	201	83307	24.58	35.28										Mont Antigonia																						
HumanObservation	34185	Pycnogonida	SOMBASE Pycnogonids		-28.7049999237	167.945007324	Ammotheidae			Scipiolus			BAS	Animalia					Pantopoda	Arthropoda			Scipiolus plumosus		urn:lsid:marinespecies.org:taxname:239921				8bae6a54-ae4c-4fca-8af3-a79b855b364e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Scipiolus plumosus	2	1065	1274	1302	1358	379601	379608	1562	236281	239921	239921	Scipiolus plumosus	[]	475	32243	21.47	35.73				475.0	450.0		462.5																									
PreservedSpecimen	8084	Pycnogonida	NIWA		-28.705	167.945	Ammotheidae		POINT (167.945 -28.705)	Scipiolus	WGS84		NIWA Invertebrate Collection	Animalia			8/04/2022	5c878bda-fa36-11e2-96b3-aa6f927c92a3	Pantopoda	Arthropoda	NZOI		Scipiolus plumosus	Loman, 1908	urn:lsid:marinespecies.org:taxname:239921	plumosus			9cfd3d70-db19-4c52-9012-7c833b932ee4	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Scipiolus plumosus	2	1065	1274	1302	1358	379601	379608	1562	236281	239921	239921	Scipiolus plumosus	[]	475	32243	21.47	35.73		Commonwealth of Australia		475.0		present	475.0				Oceania	500	NIWA Invertebrate Collection	30	30/01/1977	en	P46	1	Specimen(s), None = 1	Trawl, Agassiz medium	female	1977										
Occurrence		Pycnogonida	NewCaledonia		-23.3299999237061	168.089996337891	Ammotheidae			Scipiolus			IRD-MNHN	Animalia		Norfolk, Mt. Azteque (Chalcal 2, DW83)	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia::0xAA88170001000700	Pantopoda	Arthropoda			Scipiolus plumosus		urn:lsid:marinespecies.org:taxname:239921				9e224397-730d-4a10-a940-3e009556c745	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Scipiolus plumosus	2	1065	1274	1302	1358	379601	379608	1562	236281	239921	239921	Scipiolus plumosus	[]	259	82488	24.61	35.26			https://marineinfo.org/id/dataset/3128	200.0	200.0	present	200.0	Biota	1.0																							
Occurrence	21600	Pycnogonida	NewCaledonia		-21.1399993896484	167.910003662109	Ammotheidae			Scipiolus			IRD-MNHN	Animalia		Musorstom 6, DW472	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21600:0x1330900001000500	Pantopoda	Arthropoda			Scipiolus plumosus		urn:lsid:marinespecies.org:taxname:239921				abb2fbf0-1a02-4ee2-b291-9a1533c134bb	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Scipiolus plumosus	2	1065	1274	1302	1358	379601	379608	1562	236281	239921	239921	Scipiolus plumosus	[]	580	7589	25.69	35.08	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	300.0	300.0	present	300.0	Biota	1.0																							
PreservedSpecimen	19705	Pycnogonida	SeamountsOnline		-23.33	168.09	Ammotheidae	Station DW 83		Scipiolus			SCSD	Animalia		Antigonia		SeamountsOnline_urn:lsid:marinespecies.org:taxname:239921_19705	Pantopoda	Arthropoda		Richer de Forges, B., R. Grandperrin, and P. Laboute 1987 La Campagne CHALCAL II Sure Les Guyots De La Ride De Norfolk (N.O. CORIOLIS, 26 Octobre-Ler Novembre 1986) Rapports Scientifiques et Techniques, Sciences de la Mer, Rep. 42, Institut Francais de recherche scientifique pour le developpement en cooperation	Scipiolus plumosus	Loman, 1908	urn:lsid:marinespecies.org:taxname:239921				d86ef08e-896d-49c4-bd50-2895a3abb6c2	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Scipiolus plumosus	2	1065	1274	1302	1358	379601	379608	1562	236281	239921	239921	Scipiolus plumosus	[]	259	82488	24.61	35.26				200.0	200.0	present	200.0	Biota	1.0						1986-10-31								SCSD_SeamountsOnline_Antigonia_535379	WoRMS Match Type: exact	Validated	NA	NA | NA	Scipiolus plumosus	531100800000.0	531100800000.0	531100800000.0	1986.0
