basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	startDayOfYear	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	continent	datasetID	identifiedBy	recordedBy
HumanObservation	Stn 140 Heteronymphon kempi	Pycnogonida	Discovery Reports	1000	Discovery Expedition Biological Reports	23	-54.134	-36.5737	1926-12-23	104	Nymphonidae	Stn 140	LINESTRING (-36.6333333333333 -54.0333333333333, -36.4833333333333 -54.1916666666667)	Heteronymphon	WGS84	1	NIWA	Animalia	en	Stromness Harbour to Larsen Point, South Georgia	136.0	122	2019-03-15	12	5418	Large otter trawl	present	Pantopoda	Arthropoda	Large otter trawl	Heteronymphon exiguum	Gordon, 1932	urn:lsid:marinespecies.org:taxname:379416	m	kempi	357	Atlantic Ocean	1926	04c87242-168f-45d1-bfe0-82138bb5bd9d	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	129	-1357776000000.0	-1357776000000.0	-1357776000000.0	1926.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Heteronymphon exiguum	2	1065	1274	1302	1358	379601	379609	1566	134590	173314	173314	Heteronymphon kempi	[]	141	3408	1.82	33.77					
HumanObservation	38659	Pycnogonida	SOMBASE Pycnogonids				-66.5333023071	92.0167007446			Nymphonidae			Heteronymphon			BAS	Animalia			36.0	36						Pantopoda	Arthropoda		Heteronymphon exiguum		urn:lsid:marinespecies.org:taxname:173314						0b5f8869-b1e7-4a7a-91a3-10303c7b08a9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	36					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Heteronymphon exiguum	2	1065	1274	1302	1358	379601	379609	1566	134590	173314	173314	Heteronymphon exiguum	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-91	-2483							
humanobservation	479	Pycnogonida	OC - Pycnogonida			11	-62.15295	-58.44578	1985-05-11		Nymphonidae			Heteronymphon			University of Lodz	Animalia		Admiralty Bay		240	2008-05-05	5	urn:catalog:University of Lodz:OC - Pycnogonida:479_0024			Pantopoda	Arthropoda		Heteronymphon exiguum	(Hodgson, 1927)	urn:lsid:marinespecies.org:taxname:173314					1985	104b4cf1-20df-401b-be86-2a2c329f3f6f	f1e773cb-e896-45b0-8a1e-faded8facb33	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	240	484617600000.0	484617600000.0	484617600000.0	1985.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Heteronymphon exiguum	2	1065	1274	1302	1358	379601	379609	1566	134590	173314	173314	Heteronymphon exiguum	[]	241	926	-0.5	34.04	Sicinski J., Bamber R. 2008. Admiralty Bay Benthos Diversity Data Base (ABBED). Pycnogonida. (http://www.scarmarbin.be)	Antarctica	IMIS:dasid:1649	Bamber Roger	Sicinski Jacek
HumanObservation	38704	Pycnogonida	SOMBASE Pycnogonids				-66.5333023071	92.0167007446			Nymphonidae			Heteronymphon			BAS	Animalia			55.0	55						Pantopoda	Arthropoda		Heteronymphon exiguum		urn:lsid:marinespecies.org:taxname:173314						18891f32-a1f2-472b-b908-5ebe91b27179	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	55					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Heteronymphon exiguum	2	1065	1274	1302	1358	379601	379609	1566	134590	173314	173314	Heteronymphon exiguum	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-91	-2483							
HumanObservation	Stn MS 71 Heteronymphon kempi	Pycnogonida	Discovery Reports	500	Discovery Expedition Biological Reports	9	-54.2633	-36.4382	1927-03-09	8	Nymphonidae	Stn MS 71	LINESTRING (-36.4343 -54.2656, -36.442 -54.261)	Heteronymphon	WGS84	3	NIWA	Animalia	en	East Cumberland Bay, South Georgia. 9.25 cables E x S to 1.2 miles E x S of Sappho Point	110.0	60	2019-03-15	3	5420	Small beam trawl. Beam 2.45m in length: 12.5mm mesh at cod end	present	Pantopoda	Arthropoda	Small beam trawl. Beam 2.45m in length: 12.5mm mesh at cod end	Heteronymphon exiguum	Gordon, 1932	urn:lsid:marinespecies.org:taxname:379416	f	kempi	68	Atlantic Ocean	1927	18c05a88-ce7d-4f49-bb4c-8e7f6cba5ea5	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	85	-1351209600000.0	-1351209600000.0	-1351209600000.0	1927.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Heteronymphon exiguum	2	1065	1274	1302	1358	379601	379609	1566	134590	173314	173314	Heteronymphon kempi	[]	259	2119	1.82	33.76					
HumanObservation	34230	Pycnogonida	SOMBASE Pycnogonids				-66.5	139.0			Nymphonidae			Heteronymphon			BAS	Animalia			250.0	0						Pantopoda	Arthropoda		Heteronymphon exiguum		urn:lsid:marinespecies.org:taxname:173314						224f8f82-1a3d-4c96-b8c4-5ab97ff1c815	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	125					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Heteronymphon exiguum	2	1065	1274	1302	1358	379601	379609	1566	134590	173314	173314	Heteronymphon exiguum	[]	283	7011	-1.68	33.95					
HumanObservation	39086	Pycnogonida	SOMBASE Pycnogonids				-69.3692016602	76.2583007812			Nymphonidae			Heteronymphon			BAS	Animalia			35.0	3						Pantopoda	Arthropoda		Heteronymphon exiguum		urn:lsid:marinespecies.org:taxname:173314						240f666a-a7ea-4bea-9a93-c01248a555c5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	19					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Heteronymphon exiguum	2	1065	1274	1302	1358	379601	379609	1566	134590	173314	173314	Heteronymphon exiguum	[]	55	522	-1.48	33.7					
HumanObservation	38280	Pycnogonida	SOMBASE Pycnogonids				-66.5551986694	92.9570007324			Nymphonidae			Heteronymphon			BAS	Animalia			14.0	14						Pantopoda	Arthropoda		Heteronymphon exiguum		urn:lsid:marinespecies.org:taxname:173314						28b87946-4da3-4acb-b786-b021a5f5a658	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	14					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Heteronymphon exiguum	2	1065	1274	1302	1358	379601	379609	1566	134590	173314	173314	Heteronymphon exiguum	[]	321	476	-1.56	33.71					
HumanObservation	39759	Pycnogonida	SOMBASE Pycnogonids				-62.6455993652	-60.4103012085			Nymphonidae			Heteronymphon			BAS	Animalia			188.0	188						Pantopoda	Arthropoda		Heteronymphon exiguum		urn:lsid:marinespecies.org:taxname:173314						32a39a7c-a2a1-4c38-a811-19bce7c97b9e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	188					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Heteronymphon exiguum	2	1065	1274	1302	1358	379601	379609	1566	134590	173314	173314	Heteronymphon exiguum	[]	153	1873	-0.39	33.94					
HumanObservation	Stn MS 74 Heteronymphon kempi	Pycnogonida	Discovery Reports	1000	Discovery Expedition Biological Reports	17	-54.2803	-36.4749	1927-03-17	346	Nymphonidae	Stn MS 74	LINESTRING (-36.4852 -54.2844, -36.4645 -54.2761)	Heteronymphon	WGS84	1	NIWA	Animalia	en	East Cumberland Bay, South Georgia. From 1 cable SE x E of Hope Point to 3.1 miles SW of Merton Rock	40.0	22	2019-03-15	2	5421	Small beam trawl. Beam 2.45m in length: 12.5mm mesh at cod end	present	Pantopoda	Arthropoda	Small beam trawl. Beam 2.45m in length: 12.5mm mesh at cod end	Heteronymphon exiguum	Gordon, 1932	urn:lsid:marinespecies.org:taxname:379416		kempi	806	Atlantic Ocean	1925	32e133c8-0f0e-4729-a60d-06e772b8c777	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	31	-1350518400000.0	-1350518400000.0	-1350518400000.0	1927.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Heteronymphon exiguum	2	1065	1274	1302	1358	379601	379609	1566	134590	173314	173314	Heteronymphon kempi	[]	19	225	1.82	33.76					
