basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	day	eventDate	locality	modified	month	occurrenceID	occurrenceStatus	references	scientificNameAuthorship	specificEpithet	typeStatus	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid	coordinatePrecision	fieldNumber	identifiedBy	occurrenceRemarks	recordedBy
HumanObservation	33987	SOMBASE Pycnogonids	-46.7165985107	37.9500007629	BAS	775	0	Austrodecus goughense	urn:lsid:marinespecies.org:taxname:240093	04b1ea64-7391-40ab-a78e-a0b9afa93f06	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	387.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus goughense	2	1065	1274	1302	1358	379600	22616	134579	240093	240093	Austrodecus goughense	['DEPTH_EXCEEDS_BATH']	176	5017	5.71	33.82																									
HumanObservation	34247	SOMBASE Pycnogonids	-37.8330001831	77.5667037964	BAS	100	0	Austrodecus goughense	urn:lsid:marinespecies.org:taxname:240093	2198e643-e0ea-48db-af9b-95ebc1e5c426	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	50.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus goughense	2	1065	1274	1302	1358	379600	22616	134579	240093	240093	Austrodecus goughense	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-411	-2390	15.18	35.11																									
HumanObservation	34248	SOMBASE Pycnogonids	-38.7000007629	75.1829986572	BAS	100	0	Austrodecus goughense	urn:lsid:marinespecies.org:taxname:240093	27684222-4713-4f6f-9c9e-fbcb867bfb30	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	50.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus goughense	2	1065	1274	1302	1358	379600	22616	134579	240093	240093	Austrodecus goughense	[]	3880	201436	14.86	35.1																									
PreservedSpecimen	sm_id_832	WoRMS type localities	-40.37	-10.05	WoRMS Editorial Board	102	141	Austrodecus goughense	urn:lsid:marinespecies.org:taxname:240093	2db4f440-4552-4fb8-86a7-a31f9dcf8446	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	121.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus goughense	2	1065	1274	1302	1358	379600	22616	134579	240093	240093	Austrodecus goughense	['MIN_DEPTH_EXCEEDS_MAX']	1228	6801	12.72	34.57	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus goughense</i> Stock, 1957. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240093	https://marineinfo.org/id/dataset/5184	18	1930-05-18	Atlantic Ocean	2007-06-20 15:52:33	5	WoRMS Editorial Board:WoRMS type localities:sm_id_832	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=832	Stock, 1957	goughense	holotype	1930	-1250467200000.0	-1250467200000.0	-1250467200000.0	1930.0	Biota	1.0					
HumanObservation	SAMC-MBR-013489	MBR	-46.9152984619	37.5833015442	SAMC	125	70	Austrodecus goughense	urn:lsid:marinespecies.org:taxname:240093	3a70965f-a385-4ec8-877d-1693cde7aa1e	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	97.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus goughense	2	1065	1274	1302	1358	379600	22616	134579	240093	240093	Austrodecus goughense	[]	227	861	5.63	33.81			23	1989-04-23T12:00:00Z	Marion & Prince Edward Islands; 46 54.92' S 37 35' E		4							1989	609292800000.0	609292800000.0	609292800000.0	1989.0			100.0	MAD 54W1	Arnaud	Gear:Bottom Dredge;Preparation:alch	UCT Marion Island Survey
HumanObservation	SAMC-MBR-013508	MBR	-46.9179992676	37.5867004395	SAMC	47	42	Austrodecus goughense	urn:lsid:marinespecies.org:taxname:240093	6242c398-56af-498d-992b-34f83229d89d	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	44.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus goughense	2	1065	1274	1302	1358	379600	22616	134579	240093	240093	Austrodecus goughense	[]	87	567	5.59	33.81			28	1989-04-28T12:00:00Z	Marion & Prince Edward  Islands; 46 55.08' S 37 35.2' E		4							1989	609724800000.0	609724800000.0	609724800000.0	1989.0			100.0	MAD 55 N	Arnaud	Gear:Bottom Dredge;Preparation:alch	UCT Marion Island Survey
HumanObservation	SAMC-MBR-013488	MBR	-46.5833015442	37.9333000183	SAMC	50	48	Austrodecus goughense	urn:lsid:marinespecies.org:taxname:240093	9a7a0d6f-4ece-4086-a320-1e7e1e4fbc7e	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	49.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus goughense	2	1065	1274	1302	1358	379600	22616	134579	240093	240093	Austrodecus goughense	[]	355	2397	5.8	33.81			21	1985-04-21T12:00:00Z	Marion & Prince Edward Islands; 46 35' S 37 56' E		4							1985	482889600000.0	482889600000.0	482889600000.0	1985.0			100.0	MAD15 xx1	Arnaud	Gear:Bottom Dredge;Preparation:alch	UCT Marion Island Survey
