basisOfRecord	collectionCode	day	decimalLatitude	decimalLongitude	eventDate	institutionCode	minimumDepthInMeters	month	occurrenceID	occurrenceRemarks	occurrenceStatus	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters
HumanObservation	2006B3	28	77.25	40.7000007629	1923-8-28	ArcOD	2630	8	4468	original taxonomy Nymphom stroemi gracilipes;;239642;Persei	present	Shorigin	Nymphon helleri	Bohm, 1879	urn:lsid:marinespecies.org:taxname:239642	1923	002a0533-62dc-4d58-b8ef-23b7167d13df	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	2630	-1462579200000	-1462579200000	-1462579200000	1923	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon helleri	2	1065	1274	1302	1358	379601	379609	1566	134591	239642	239642	Nymphon helleri	['DEPTH_EXCEEDS_BATH']	196.4	304848	-0.01	34.23	
HumanObservation	2006B3	19	76.0469970703	87.5670013428	1934-9-19	ArcOD	420	9	10179	original taxonomy Nymphom stroemi gracilipes;;239642;Sedov	present	Vagin	Nymphon helleri	Bohm, 1879	urn:lsid:marinespecies.org:taxname:239642	1934	00afc101-0c82-49a7-b31b-2b0351b8ad80	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	420	-1113523200000	-1113523200000	-1113523200000	1934	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon helleri	2	1065	1274	1302	1358	379601	379609	1566	134591	239642	239642	Nymphon helleri	['DEPTH_EXCEEDS_BATH']	43.0	44706	-0.38	29.93	
HumanObservation	2006B3	26	47.9099998474	-48.1150016785	1960-7-26	ArcOD	3030	7	16087	original taxonomy Nymphom stroemi gracilipes;;239642;Sevastopol	present	Nesis	Nymphon helleri	Bohm, 1879	urn:lsid:marinespecies.org:taxname:239642	1960	0524831a-c757-48e1-aae2-512c14469f54	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	3065	-297734400000	-297734400000	-297734400000	1960	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon helleri	2	1065	1274	1302	1358	379601	379609	1566	134591	239642	239642	Nymphon helleri	['DEPTH_EXCEEDS_BATH']	309.0	339661	5.03	33.11	3100.0
HumanObservation	2006B3	30	79.7829971313	48.5830001831	1923-8-30	ArcOD	3250	8	4486	original taxonomy Nymphom stroemi gracilipes;;239642;Persei	present		Nymphon helleri	Bohm, 1879	urn:lsid:marinespecies.org:taxname:239642	1923	05f61f80-d7a7-4166-9dcd-2877c04803ee	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	3250	-1462406400000	-1462406400000	-1462406400000	1923	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon helleri	2	1065	1274	1302	1358	379601	379609	1566	134591	239642	239642	Nymphon helleri	['DEPTH_EXCEEDS_BATH']	269.0	25617	-0.84	34.16	
HumanObservation	2006B3	29	78.4329986572	40.5670013428	1923-8-29	ArcOD	2680	8	4470	original taxonomy Nymphom stroemi gracilipes;;239642;Persei	present	Shorigin	Nymphon helleri	Bohm, 1879	urn:lsid:marinespecies.org:taxname:239642	1923	07c6870f-27a5-451c-b6a0-410ab5fe6c9d	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	2680	-1462492800000	-1462492800000	-1462492800000	1923	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon helleri	2	1065	1274	1302	1358	379601	379609	1566	134591	239642	239642	Nymphon helleri	['DEPTH_EXCEEDS_BATH']	284.2	204834	-0.46	34.01	
HumanObservation	2006B3	21	70.2850036621	55.6780014038	1930-9-21	ArcOD	1800	9	7717	original taxonomy Nymphom stroemi gracilipes;;239642;Zarnitsa	present	Gurvich	Nymphon helleri	Bohm, 1879	urn:lsid:marinespecies.org:taxname:239642	1930	0b0dc357-442b-4e4c-af0c-65ad83fc4b26	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	1900	-1239580800000	-1239580800000	-1239580800000	1930	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon helleri	2	1065	1274	1302	1358	379601	379609	1566	134591	239642	239642	Nymphon helleri	['DEPTH_EXCEEDS_BATH']	153.0	25611	1.88	33.36	2000.0
HumanObservation	2006B3	30	79.8330001831	43.5	1923-8-30	ArcOD	3340	8	4478	original taxonomy Nymphom stroemi gracilipes;;239642;Persei	present		Nymphon helleri	Bohm, 1879	urn:lsid:marinespecies.org:taxname:239642	1923	0c1cb3c9-a18c-48df-99dd-575a1d51d779	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	3340	-1462406400000	-1462406400000	-1462406400000	1923	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon helleri	2	1065	1274	1302	1358	379601	379609	1566	134591	239642	239642	Nymphon helleri	['DEPTH_EXCEEDS_BATH']	284.0	77071	-0.82	33.97	
HumanObservation	2006B3	22	76.9329986572	62.8670005798	1921-8-22	ArcOD	1500	8	4307	original taxonomy Nymphom stroemi gracilipes;;239642;Malygin	present	Grinvich	Nymphon helleri	Bohm, 1879	urn:lsid:marinespecies.org:taxname:239642	1921	1144271a-ab36-48a9-8e43-b96bf8ad6170	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	1550	-1526169600000	-1526169600000	-1526169600000	1921	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon helleri	2	1065	1274	1302	1358	379601	379609	1566	134591	239642	239642	Nymphon helleri	['DEPTH_EXCEEDS_BATH']	193.0	70589	0.17	34.45	1600.0
HumanObservation	2006B3	25	75.0329971313	60.533000946	1925-9-25	ArcOD	220	9	5211	original taxonomy Nymphom stroemi gracilipes;;239642;Elding	present	Gorbunov	Nymphon helleri	Bohm, 1879	urn:lsid:marinespecies.org:taxname:239642	1925	138e96b5-6eb1-4814-be01-e933f118b4da	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	220	-1397001600000	-1397001600000	-1397001600000	1925	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon helleri	2	1065	1274	1302	1358	379601	379609	1566	134591	239642	239642	Nymphon helleri	['DEPTH_EXCEEDS_BATH']	4.0	1612			
HumanObservation	2006B3	15	81.875	60.533000946	1955-9-15	ArcOD	2460	9	15374	original taxonomy Nymphom stroemi gracilipes;;239642;Litke	present	Koltun V. M.	Nymphon helleri	Bohm, 1879	urn:lsid:marinespecies.org:taxname:239642	1955	14d3747a-ffb0-4bec-8555-db7228a11a47	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	2460	-451180800000	-451180800000	-451180800000	1955	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon helleri	2	1065	1274	1302	1358	379601	379609	1566	134591	239642	239642	Nymphon helleri	['DEPTH_EXCEEDS_BATH']	234.0	19982	-1.52	33.86	
