basisOfRecord	bibliographicCitation	catalogNumber	class	coordinateUncertaintyInMeters	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	startDayOfYear	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionCode	datasetID	references	typeStatus
HumanObservation	Clark, W.C. (1958) Some Pycnogonida from Cook Strait, New Zealand, with descriptions of two new species. Zoology Publications from Victoria University of Wellington No. 23	MBIS-urn:catalog:SWPRON:MBIS:4926 VUZ 96 Pallenopsis mauii	Pycnogonida	100	MBIS Marine Fauna and Flora observations around New Zealand	10	-41.51667	174.91667	1957-08-28	58	mud, stones, rock	Pallenopsidae	VUZ 96	POINT (174.91667 -41.51667)	Pallenopsis	WGS84	1	Victoria University of Wellington	Animalia	en	off Palliser Bay	690.0	690	2014-12-08	8	urn:catalog:SWPRON:MBIS:4926	GearType=beam trawl	present	Pantopoda	Arthropoda	GearType=beam trawl	Pallenopsis mauii	Clark, 1958	urn:lsid:marinespecies.org:taxname:239932	m	mauii	240	South Pacific Ocean	1957	03f4c3b5-5222-4a67-94e6-984929ec82fe	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	690	-389577600000.0	-389577600000.0	-389577600000.0	1957.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis mauii	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239932	239932	Pallenopsis mauii	[]	698	8760	13.78	34.9				
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pallenopsis mauii</i> Clark, 1958. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239932	sm_id_1220	Pycnogonida				-41.52	174.92				Pallenopsidae			Pallenopsis			WoRMS Editorial Board	Animalia		Cook Strait		695	2007-06-20 15:52:33		WoRMS Editorial Board:WoRMS type localities:sm_id_1220		present	Pantopoda	Arthropoda		Pallenopsis mauii	Clark, 1958	urn:lsid:marinespecies.org:taxname:239932		mauii				58d39593-ae86-41a2-9e0a-5780cd6f8b7d	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	695					False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis mauii	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239932	239932	Pallenopsis mauii	[]	698	9131	13.78	34.9	WoRMS type localities	https://marineinfo.org/id/dataset/5184	http://www.marinespecies.org/aphia.php?p=specdetails&id=1220	holotype
HumanObservation		34298	Pycnogonida				-41.5166015625	174.916595459				Pallenopsidae			Pallenopsis			BAS	Animalia			712.0	712						Pantopoda	Arthropoda		Pallenopsis mauii		urn:lsid:marinespecies.org:taxname:239932						d92ceffd-067f-4584-bdea-e3a33f2a520f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	712					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis mauii		2	1065	1274	1302	1358	379601	379609	236317	134593	239932	239932	Pallenopsis mauii	[]	718	8753	13.73	34.87	SOMBASE Pycnogonids			
