associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181084.137037	Invertebrate Zoology: Crustacea	21	-8.05000019073	-34.3829994202	observedindividualcount=8;	1967-02-21T12:00:00Z	Child, C. Allan	8.0	USNM	;; juvenile	Brazil Slope, Off Recife	587.0	587	2	Alcohol (Ethanol); Slide	Nymphon chainae	Child	urn:lsid:marinespecies.org:taxname:134684	male; female;;	Paratype	South Atlantic Ocean	1967	00412c73-ac96-4425-bd38-31102ba3f14c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	587.0	-90288000000	-90288000000	-90288000000	1967	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon chainae	2	1065	1274	1302	1358	379601	379609	1566	134591	134684	134684	Nymphon chainae	[]	1062.0	49898	27.51	36.67								
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181082.137035	Invertebrate Zoology: Crustacea	17	51.5366706848	-12.548330307	observedindividualcount=1;	1972-08-17T12:00:00Z	Child, C. Allan	1.0	USNM		West European Basin, SW Of Ireland	1491.0	1500	8	Alcohol (Ethanol)	Nymphon chainae	Child	urn:lsid:marinespecies.org:taxname:134684	male	Holotype	North Atlantic Ocean	1972	7de0fe7b-8fe9-4678-935d-8975db2b3ab1	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1495.5	82857600000	82857600000	82857600000	1972	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon chainae	2	1065	1274	1302	1358	379601	379609	1566	134591	134684	134684	Nymphon chainae	['MIN_DEPTH_EXCEEDS_MAX']	1491.4	138914	13.25	35.51								
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181083.137036	Invertebrate Zoology: Crustacea	17	51.5366706848	-12.548330307	observedindividualcount=47;	1972-08-17T12:00:00Z	Child, C. Allan	47.0	USNM		West European Basin, SW Of Ireland	1491.0	1500	8	Alcohol (Ethanol)	Nymphon chainae	Child	urn:lsid:marinespecies.org:taxname:134684		Paratype	North Atlantic Ocean	1972	b1628915-42ad-417c-ad7c-876d367ecc5c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1495.5	82857600000	82857600000	82857600000	1972	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon chainae	2	1065	1274	1302	1358	379601	379609	1566	134591	134684	134684	Nymphon chainae	['MIN_DEPTH_EXCEEDS_MAX']	1491.4	138914	13.25	35.51								
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon chainae</i> Child, 1982. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=134684	sm_id_1964	WoRMS type localities	21	-8.05	-34.38		1967-02-21			WoRMS Editorial Board		Atlantic Ocean		587	2		Nymphon chainae	Child, 1982	urn:lsid:marinespecies.org:taxname:134684		holotype		1967	b40b235c-ad18-4784-b731-f15fc52536cf	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	587.0	-90288000000	-90288000000	-90288000000	1967	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon chainae	2	1065	1274	1302	1358	379601	379609	1566	134591	134684	134684	Nymphon chainae	[]	1062.0	50219	27.51	36.67	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1964	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1964	chainae	Biota	1.0
