basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	coordinateUncertaintyInMeters	dateIdentified	day	endDayOfYear	eventDate	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	individualCount	language	locality	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	samplingProtocol	scientificNameAuthorship	specificEpithet	startDayOfYear	taxonRemarks	waterBody	year	date_start	date_mid	date_end	date_year	continent	country	datasetName	georeferenceSources	locationID	preparations	recordedBy	associatedReferences	dynamicProperties	sex
HumanObservation	39269	SOMBASE Pycnogonids	-70.9483032227	-10.5462999344	BAS	338	338	Colossendeis australis	urn:lsid:marinespecies.org:taxname:173155	02eac81d-e626-4dfb-92db-311c937d5af7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	338.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis australis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173155	173155	Colossendeis australis	[]	295	4071	-1.72	33.76																																							
HumanObservation	38587	SOMBASE Pycnogonids	-67.6666030884	45.8499984741	BAS	55	6	Colossendeis australis	urn:lsid:marinespecies.org:taxname:173155	062ebed0-e2b5-466d-960c-a3845fcf008c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	30.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis australis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173155	173155	Colossendeis australis	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-34	-727	-1.77	33.6																																							
HumanObservation	23411	SOMBASE Pycnogonids	-53.9333000183	-140.316604614	BAS	567	362	Colossendeis australis	urn:lsid:marinespecies.org:taxname:173155	07512c49-5db8-4b0c-aaea-c38cf13d6fe1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	464.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis australis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173155	173155	Colossendeis australis	[]	2693	2227468	5.76	34.06																																							
HumanObservation	TAN0402/150 Colossendeis australis	MBIS BioRoss	-71.9795	171.9665	NIWA	480	461	Colossendeis australis	urn:lsid:marinespecies.org:taxname:173155	077d1143-c805-4f1e-a4f9-231b994df394	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	470.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis australis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173155	173155	Colossendeis australis	[]	464	27885	-1.64	34.1	Colossendeis australis (MBIS BioRoss 2049)	30	2005-06-20	26	57	2004-02-26T10:44/2004-02-26T10:59+12	TAN0402/150	LINESTRING (171.9665 -71.9795, 171.9735 -71.981833)	WGS84	Johanna Nielsen	1	en	Ross 4	2013-11-03	2	2049	GearType= Epibenthic sled	present	Epibenthic sled	Hodgson, 1907	australis	57	Colossendeis australis	Southern Ocean	2004	1077753600000.0	1077753600000.0	1077753600000.0	2004.0										
HumanObservation	TAN0402/59 Colossendeis australis	MBIS BioRoss	-72.326333	170.458	NIWA	236	230	Colossendeis australis	urn:lsid:marinespecies.org:taxname:173155	07de56d2-88d4-46d0-bf10-4b67b6552485	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	233.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis australis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173155	173155	Colossendeis australis	[]	231	6361	-1.72	33.55	Colossendeis australis (MBIS BioRoss 1926)	30	2005-06-20	13	44	2004-02-13T07:36/2004-02-13T07:51+12	TAN0402/59	LINESTRING (170.458 -72.326333, 170.459333 -72.331667)	WGS84	Johanna Nielsen	2	en	Ross 5	2013-11-03	2	1926	GearType= Epibenthic sled	present	Epibenthic sled	Hodgson, 1907	australis	44	Colossendeis australis	Southern Ocean	2004	1076630400000.0	1076630400000.0	1076630400000.0	2004.0										
PreservedSpecimen	70302	NIWA	-71.155333	171.092333	NIWA Invertebrate Collection	940	930	Colossendeis australis	urn:lsid:marinespecies.org:taxname:173155	08872b46-81c1-4954-980a-194cd35aaa9e	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	935.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis australis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173155	173155	Colossendeis australis	[]	1167	33052	-1.64	34.12		100	2006	29		29/02/2004		LINESTRING (171.092333 -71.155333, 171.082833 -71.156167)	WGS84	Nielsen, Johanna		en		8/04/2022	2	60587a08-fa36-11e2-96b3-aa6f927c92a3		present	Trawl, Fish, Bottom	Hodgson, 1907	australis				2004					Antarctica	Ross Dependency	NIWA Invertebrate Collection	GPS	TAN0402/202	Specimen(s), Ethanol - no formalin = 1	NIWA; MFish			
HumanObservation	38585	SOMBASE Pycnogonids	-67.6666030884	45.8499984741	BAS	28	28	Colossendeis australis	urn:lsid:marinespecies.org:taxname:173155	09393902-fe83-431d-bb34-4792dd56f3cf	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	28.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis australis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173155	173155	Colossendeis australis	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-34	-727	-1.77	33.6																																							
HumanObservation	23443	SOMBASE Pycnogonids	-56.7050018311	-27.0065994263	BAS	121	93	Colossendeis australis	urn:lsid:marinespecies.org:taxname:173155	09d3c895-eb44-45d3-98c3-7a2c1dd8c6be	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	107.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis australis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173155	173155	Colossendeis australis	[]	243	7421	-0.62	33.64																																							
PreservedSpecimen	142010.285550	Invertebrate Zoology: Crustacea	-71.3669967651	170.682998657	USNM	164	160	Colossendeis australis	urn:lsid:marinespecies.org:taxname:173155	0e6412a5-ebff-4e2b-b4ec-7dcd27c8e919	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	162.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis australis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173155	173155	Colossendeis australis	[]	295	9744	-1.65	33.99	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010			13		1968-02-13T12:00:00Z				Hedgpeth, J. W.	1.0		N Portion		2					Hodgson				Antarctic Ocean	1968	-59443200000.0	-59443200000.0	-59443200000.0	1968.0		Antarctica				Alcohol (Ethanol)		National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;	female
HumanObservation	23442	SOMBASE Pycnogonids	-56.8916015625	-26.9132995605	BAS	1590	1532	Colossendeis australis	urn:lsid:marinespecies.org:taxname:173155	0ee5ec8f-91e3-4ce9-84bf-8917fe5574ec	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1561.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis australis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173155	173155	Colossendeis australis	[]	1629	22704	-0.68	33.63																																							
