basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	specificEpithet	taxonRank	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	eventDate	sex	date_start	date_mid	date_end	date_year	associatedReferences	bibliographicCitation	day	dynamicProperties	identifiedBy	individualCount	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificNameAuthorship	stateProvince	waterBody	year	depth
PreservedSpecimen	P.9343	Pycnogonida	co113	10000	Australia	-10.733	142.65	Pallenopsidae	POINT (142.65000 -10.73300)	Pallenopsis	AM	Animalia	Albany Passage	2017-03-02T10:23:37	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.9343	present	Arthropoda	Pallenopsis hoeki	urn:lsid:marinespecies.org:taxname:239763	hoeki	species	3ccac245-f0be-43de-92c9-00f2be79b85f	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis hoeki	2	1065	1274	1302	1358	379601	379609	236317	134593	239763	239763	Pallenopsis hoeki	['NO_DEPTH']	22.55	2510	27.27	34.75																						
PreservedSpecimen	P.43404	Pycnogonida	co113	10000	Australia	-12.49499	130.88666	Pallenopsidae	POINT (130.88666 -12.49499)	Pallenopsis	AM	Animalia	between North and South Shell Islands	2017-03-02T16:13:57	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43404	present	Arthropoda	Pallenopsis hoeki	urn:lsid:marinespecies.org:taxname:239763	hoeki	species	65bf87bb-2e3d-4d0a-acb5-53e0407062d1	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis hoeki	2	1065	1274	1302	1358	379601	379609	236317	134593	239763	239763	Pallenopsis hoeki	['NO_DEPTH']	1.0	47	28.51	33.73	1993-07-11	Female	742348800000.0	742348800000.0	742348800000.0	1993.0																
PreservedSpecimen	149243.112759	Pycnogonida	Invertebrate Zoology: Crustacea		Australia	-26.5	113.032997131	Pallenopsidae		Pallenopsis	USNM	Animalia	WSW Of False Entrance, Below Dirk Hartogs Islands				Arthropoda	Pallenopsis hoeki	urn:lsid:marinespecies.org:taxname:239763			7755ac33-36a5-40d4-8b6d-8b140c28bf94	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis hoeki	2	1065	1274	1302	1358	379601	379609	236317	134593	239763	239763	Pallenopsis hoeki	[]	137.0	28512	23.37	35.14	1970-12-07T12:00:00Z	female	29376000000.0	29376000000.0	29376000000.0	1970.0	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	7	observedindividualcount=1;	Child, C. Allan	1.0	110.0	110.0	12	Alcohol (Ethanol)	Diamantina	(Miers)	Western Australia	Indian Ocean	1970	110.0
PreservedSpecimen	150620.114011	Pycnogonida	Invertebrate Zoology: Crustacea		Indonesia	-5.5	-134.199996948	Pallenopsidae		Pallenopsis	USNM	Animalia	Aru Islands, W Of Wasir Island				Arthropoda	Pallenopsis hoeki	urn:lsid:marinespecies.org:taxname:239763			cebc5fff-98ab-435e-bd36-a5621486cda0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis hoeki	2	1065	1274	1302	1358	379601	379609	236317	134593	239763	239763	Pallenopsis hoeki	[]	4570.0	679951	26.86	35.25	1970-05-15T12:00:00Z	male; female	11577600000.0	11577600000.0	11577600000.0	1970.0	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	15	observedindividualcount=2;	Child, C. Allan	2.0	40.0	33.0	5	Alcohol (Ethanol)		(Miers)	Moluccas	South Pacific Ocean	1970	36.5
