basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	decimalLatitude	decimalLongitude	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	month	preparations	sex	stateProvince	waterBody	year	date_start	date_mid	date_end	date_year
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Safropallene longimana</i> Arnaud & Child, 1988. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240037	sm_id_2276	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	-32.48	28.98	Nymphonoidea incertae sedis	Safropallene	WoRMS Editorial Board	Animalia	Indian Ocean	775	710	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2276	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=2276	Safropallene longimana	Arnaud & Child, 1988	urn:lsid:marinespecies.org:taxname:240037	longimana	holotype	360e596d-1102-4418-b3a1-45f1ad884c23	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	742.5	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Safropallene longimana	1.0	2	1065	1274	1302	1358	379601	379609	1509524	236295	240037	240037	Safropallene longimana	[]	714	22791	23.07	35.35																	
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	216760.170686	Pycnogonida	Invertebrate Zoology: Crustacea		-32.4799995422	28.9799995422	Nymphonoidea incertae sedis	Safropallene	USNM	Animalia	NE Of East London	775	710				Pantopoda	Arthropoda		Safropallene longimana	Arnaud & Child	urn:lsid:marinespecies.org:taxname:240037		Paratype	ca824757-45c5-424b-b8cf-c16169ee654d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	742.5	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Safropallene longimana		2	1065	1274	1302	1358	379601	379609	1509524	236295	240037	240037	Safropallene longimana	[]	714	22791	23.07	35.35	National Museum of Natural History, Smithsonian Institution	South Africa	24	observedindividualcount=2;	1979-06-24T12:00:00Z	Arnaud, F., Child, C. Allan	2.0	6	Alcohol (Ethanol)	male; female	Natal	Indian Ocean	1979	299030400000.0	299030400000.0	299030400000.0	1979.0
