basisOfRecord	catalogNumber	class	collectionCode	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	genus	individualCount	institutionCode	institutionID	kingdom	language	license	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	order	phylum	rightsHolder	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonID	taxonRank	type	verbatimIdentification	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	modified	occurrenceStatus	coordinateUncertaintyInMeters	dateIdentified	identifiedBy	lifeStage	locality	locationID	otherCatalogNumbers	preparations	sex	typeStatus
PreservedSpecimen	6569	Pycnogonida	MuseumCollection	dfo_que_mli_museum	DFO Quebec Region MLI museum collection	27	63.48333333	-67.9	1967-07-27	Nymphonidae	SAB 67-2	Nymphon	2	IML	https://edmo.seadatanet.org/report/4160	Animalia	en	http://creativecommons.org/licenses/by/4.0/legalcode	158.0	124.0	7	DFO_MLI_MuseumCollection_6569	Pantopoda	Arthropoda	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	Nymphon micronyx	Sars, 1888	urn:lsid:marinespecies.org:taxname:134700	micronyx	083_01209	phylum	PhysicalObject	Nymphon micronyx	1967	03d87ee9-0ef9-4013-8d8f-3468f7cd11b4	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	141.0	-76809600000	-76809600000	-76809600000	1967	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon micronyx	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134700	134700	Nymphon micronyx	[]	170.0	1141	-0.46	31.93													
Occurrence	1920	Pycnogonida	White Sea Benthos	https://marineinfo.org/id/dataset/2769		1	64.68333333333334	35.5	1981-09-01	Nymphonidae		Nymphon		RAS-WSBS		Animalia				17.0	9	urn:catalog:RAS-WSBS:White Sea Benthos:1920	Pantopoda	Arthropoda		Nymphon micronyx		urn:lsid:marinespecies.org:taxname:134700						1981	7ffb126d-691a-4483-bd81-78ab336f067d	843d3c1f-d82a-4ebd-b5f9-299706f04789	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	17.0	368150400000	368150400000	368150400000	1981	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon micronyx	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134700	134700	Nymphon micronix	[]	0.38	361	4.28	24.13	White Sea	2011-01-13 16:31:07	present										
PreservedSpecimen	INV.69123	Pycnogonida	urn:catalog:RBINS:Pycnogonida	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	15	70.9	58.466667	1907-08-15	Nymphonidae	8719/st139	Nymphon		RBINS-Scientific Heritage		Animalia					8	http://collections.naturalsciences.be/specimen/448626	Pantopoda	Arthropoda		Nymphon micronyx	Sars, 1877	urn:lsid:marinespecies.org:taxname:848874	macronyx					1907	94f1e2fa-bc57-4309-aeef-b94bb6023d03	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		-1968624000000	-1968624000000	-1968624000000	1907	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon micronyx	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134700	134700	Chaetonymphon macronyx Sars, 1877	['NO_DEPTH']	191.0	37515	1.0	33.02	Arctic Ocean, Cara See	2015-09-24 14:15:11	present	1000.0	1935-01	Giltay L.B. (Dr.)	unknown	Cara See	http://www.geonames.org/1504324	urn:catalog:RBINS:IG:8719	container type: vial; preservation method: alcohol	unknown	specimen
Occurrence	8163	Pycnogonida	White Sea Benthos	https://marineinfo.org/id/dataset/2769		14	67.06266666666667	32.42366666666667	2007-08-14	Nymphonidae		Nymphon		RAS-WSBS		Animalia				18.0	8	urn:catalog:RAS-WSBS:White Sea Benthos:8163	Pantopoda	Arthropoda		Nymphon micronyx		urn:lsid:marinespecies.org:taxname:134700						2007	9f68bc44-9637-4656-91d2-15900f7d7aa8	843d3c1f-d82a-4ebd-b5f9-299706f04789	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	18.0	1187049600000	1187049600000	1187049600000	2007	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon micronyx	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134700	134700	Nymphon micronix	[]	9.92	1104	3.72	27.22	White Sea	2011-01-13 16:31:07	present										
Occurrence	8164	Pycnogonida	White Sea Benthos	https://marineinfo.org/id/dataset/2769		14	66.98283333333333	32.56916666666667	2007-08-14	Nymphonidae		Nymphon		RAS-WSBS		Animalia				7.0	8	urn:catalog:RAS-WSBS:White Sea Benthos:8164	Pantopoda	Arthropoda		Nymphon micronyx		urn:lsid:marinespecies.org:taxname:134700						2007	9f7d3520-0630-4b02-9091-8374a44098ad	843d3c1f-d82a-4ebd-b5f9-299706f04789	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	7.0	1187049600000	1187049600000	1187049600000	2007	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon micronyx	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134700	134700	Nymphon micronix	[]	-0.1	341	3.75	27.21	White Sea	2011-01-13 16:31:07	present										
Occurrence	1919	Pycnogonida	White Sea Benthos	https://marineinfo.org/id/dataset/2769		1	64.7	35.5	1981-09-01	Nymphonidae		Nymphon		RAS-WSBS		Animalia				8.0	9	urn:catalog:RAS-WSBS:White Sea Benthos:1919	Pantopoda	Arthropoda		Nymphon micronyx		urn:lsid:marinespecies.org:taxname:134700						1981	d66f3b3f-6034-4536-bd20-94a003354a27	843d3c1f-d82a-4ebd-b5f9-299706f04789	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	8.0	368150400000	368150400000	368150400000	1981	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon micronyx	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134700	134700	Nymphon micronix	[]	4.16	1481	4.28	24.13	White Sea	2011-01-13 16:31:07	present										
