basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	datasetName	day	geodeticDatum	language	locationID	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	samplingProtocol	scientificNameAuthorship	year	depth	bibliographicCitation	eventID	identifiedBy	individualCount	occurrenceRemarks	startDayOfYear	waterBody	superdomain	superdomainid	eventRemarks	fieldNumber
PreservedSpecimen	P.44956	Pycnogonida	co113	0.0896	10000	New Zealand	-52.566	169.216	1980-01-04	Ammotheidae	POINT (169.21600 -52.56600)	Achelia	AM	Animalia	Campbell Island, Perseverance Harbour, west side of Davis Point	2017-03-02T15:50:40	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44956	present	Arthropoda	Achelia dohrni	urn:lsid:marinespecies.org:taxname:240006	Male	dohrni	species	01f41a59-a6ea-479e-802f-d560c505a58e	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	315792000000.0	315792000000.0	315792000000.0	1980.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia dohrni	2	1065	1274	1302	1358	379601	379608	1562	134568	240006	240006	Achelia dohrni	['NO_DEPTH', 'ON_LAND']	-48	-87	7.91	34.36																										
PreservedSpecimen	4767	Pycnogonida	NIWA		500	New Zealand	-44.4576667	171.2493333	10/12/1991	Ammotheidae	LINESTRING (171.2493333 -44.4576667, 171.2513333 -44.457)	Achelia	NIWA Invertebrate Collection	Animalia		8/04/2022	5ffb15e8-fa36-11e2-96b3-aa6f927c92a3	present	Arthropoda	Achelia dohrni	urn:lsid:marinespecies.org:taxname:240006		dohrni		04220247-5bcd-4984-8137-3bbecfeaf41f	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia dohrni	2	1065	1274	1302	1358	379601	379608	1562	134568	240006	240006	Achelia dohrni	[]	-12	10	12.31	34.36	Oceania	NIWA Invertebrate Collection	10	WGS84	en	V408	7.0	7.0	12	Specimen(s), Unknown = 30	NIWA	Dredge, type undefined	(Thomson, 1884)	1991	7.0											
PreservedSpecimen	P.78467	Pycnogonida	co113	0.0896	10000	New Zealand	-52.533	169.2	1980-01-13	Ammotheidae	POINT (169.20000 -52.53300)	Achelia	AM	Animalia	Campbell Island, Smoothwater Bay, cliffs on north-west side of first bay north-west of Boulder Beach	2017-03-02T13:00:58	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78467	present	Arthropoda	Achelia dohrni	urn:lsid:marinespecies.org:taxname:240006	Male	dohrni	species	103b150f-28cf-484e-85d4-21405f7629ca	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	316569600000.0	316569600000.0	316569600000.0	1980.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia dohrni	2	1065	1274	1302	1358	379601	379608	1562	134568	240006	240006	Achelia dohrni	['NO_DEPTH', 'ON_LAND']	-230	-1329	7.91	34.36																										
HumanObservation	MBIS-urn:catalog:SWPRON:MBIS:7600  Achelia dohrni	Pycnogonida			500	New Zealand	-43.6467	172.96	1947-09-02	Ammotheidae	POINT (172.96 -43.6467)	Achelia	CU	Animalia	Menzies Bay, Banks Peninsula	2016-08-30	urn:catalog:SWPRON:MBIS:7600	present	Arthropoda	Achelia dohrni	urn:lsid:marinespecies.org:taxname:240006		dohrni		1231c7bf-6d5b-4b43-9fb0-3530742d793f	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	-704764800000.0	-704764800000.0	-704764800000.0	1947.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia dohrni	2	1065	1274	1302	1358	379601	379608	1562	134568	240006	240006	Achelia dohrni	['NO_DEPTH']	-38	59	12.62	34.39		MBIS Marine Fauna and Flora observations around New Zealand	2	WGS84	en				9				(Thompson, 1884)	1947		Clark, W.C. (1971) Pycnogonida of the Antipodes Islands, New Zealand Journal of Marine and Freshwater Research, 5:3&4, 427-452	2514	W.C. Clark	3	2 females, 1 larvigerous male	245	Pacific Ocean	Biota	1.0		
PreservedSpecimen	P.44943	Pycnogonida	co113	0.0896	10000	New Zealand	-52.566	169.2	1979-12-31	Ammotheidae	POINT (169.20000 -52.56600)	Achelia	AM	Animalia	Campbell Island, Perseverance Harbour, cliffs beneath Moubray Hill	2017-03-02T15:50:38	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44943	present	Arthropoda	Achelia dohrni	urn:lsid:marinespecies.org:taxname:240006	Female	dohrni	species	12fbbc37-2810-4059-a7de-e23202f1f546	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	315446400000.0	315446400000.0	315446400000.0	1979.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia dohrni	2	1065	1274	1302	1358	379601	379608	1562	134568	240006	240006	Achelia dohrni	['NO_DEPTH', 'ON_LAND']	-162	-789	7.91	34.36																										
PreservedSpecimen	P.77988	Pycnogonida	co113	0.0896	10000	New Zealand	-52.55	169.066	1980-01-24	Ammotheidae	POINT (169.06600 -52.55000)	Achelia	AM	Animalia	Campbell Island, Northwest Bay, mouth of small cove east of Limestone Point	2017-03-02T12:59:35	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.77988	present	Arthropoda	Achelia dohrni	urn:lsid:marinespecies.org:taxname:240006	Male	dohrni	species	15c80355-4f42-4906-9bf0-a9731e1f6e66	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	317520000000.0	317520000000.0	317520000000.0	1980.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia dohrni	2	1065	1274	1302	1358	379601	379608	1562	134568	240006	240006	Achelia dohrni	['NO_DEPTH', 'ON_LAND']	-93	-974	7.94	34.36																										
HumanObservation	MBIS-urn:catalog:SWPRON:MBIS:7623 AM 8-21 Achelia dohrni	Pycnogonida			100	New Zealand	-49.66619	178.81154	1969-02-26	Ammotheidae	POINT (178.81154 -49.66619)	Achelia	CU	Animalia	Reef Point, Antipodes Island	2016-08-30	urn:catalog:SWPRON:MBIS:7623	present	Arthropoda	Achelia dohrni	urn:lsid:marinespecies.org:taxname:240006		dohrni		1b55a853-154f-4d70-a217-8d3651c8b408	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	-26697600000.0	-26697600000.0	-26697600000.0	1969.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia dohrni	2	1065	1274	1302	1358	379601	379608	1562	134568	240006	240006	Achelia dohrni	[]	26	94	7.81	34.2		MBIS Marine Fauna and Flora observations around New Zealand	26	WGS84	en		1.0	0.0	2		I. Mannering	Shore collection	(Thompson, 1884)	1969	0.5	Clark, W.C. (1971) Pycnogonida of the Antipodes Islands, New Zealand Journal of Marine and Freshwater Research, 5:3&4, 427-452	2501	W.C. Clark	9	1 female, 8 juveniles	57	Pacific Ocean	Biota	1.0	associated with bryozoans in a crevice in the reef which separates the large pool on Reef Point from the open sea	AM 8-21
PreservedSpecimen	P.44966	Pycnogonida	co113	0.0896	10000	New Zealand	-52.533	169.2	1980-01-12	Ammotheidae	POINT (169.20000 -52.53300)	Achelia	AM	Animalia	Campbell Island, Smoothwater Bay, cliffs on north-west side of first bay north-west of Boulder Beach	2017-03-02T15:50:42	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44966	present	Arthropoda	Achelia dohrni	urn:lsid:marinespecies.org:taxname:240006	Male	dohrni	species	1d947516-510e-4a5b-9dba-3969cc67eb3e	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	316483200000.0	316483200000.0	316483200000.0	1980.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia dohrni	2	1065	1274	1302	1358	379601	379608	1562	134568	240006	240006	Achelia dohrni	['NO_DEPTH', 'ON_LAND']	-230	-1329	7.91	34.36																										
PreservedSpecimen	P.44957	Pycnogonida	co113	0.0896	10000	New Zealand	-52.533	169.2	1980-01-09	Ammotheidae	POINT (169.20000 -52.53300)	Achelia	AM	Animalia	Campbell Island, Smoothwater Bay, cliffs on north-west side of Boulder Beach	2017-03-02T15:50:41	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44957	present	Arthropoda	Achelia dohrni	urn:lsid:marinespecies.org:taxname:240006	Male	dohrni	species	1f0b7e30-9270-4363-a4a1-42314ca92534	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	316224000000.0	316224000000.0	316224000000.0	1980.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia dohrni	2	1065	1274	1302	1358	379601	379608	1562	134568	240006	240006	Achelia dohrni	['NO_DEPTH', 'ON_LAND']	-230	-1329	7.91	34.36																										
HumanObservation	34049	Pycnogonida	SOMBASE Pycnogonids				-39.1665992737	177.883300781		Ammotheidae		Achelia	BAS	Animalia					Arthropoda	Achelia dohrni	urn:lsid:marinespecies.org:taxname:240006				263b9598-b640-47d0-bca8-9b5795c1a21c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia dohrni	2	1065	1274	1302	1358	379601	379608	1562	134568	240006	240006	Achelia dohrni	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-256	-3545	15.96	35.42							10.0	0.0							5.0											
