associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	coordinatePrecision	decimalLatitude	decimalLongitude	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	scientificName	scientificNameAuthorship	scientificNameID	verbatimDepth	waterBody	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-053_C1	B89PII	249350.0	23.0251464844	-82.887260437	Child, C. A.	HRI	ESE  Gulf of Mexico	20	0	Database description and disclaimer at: http://gulfbase.org/	Anoplodactylus polignaci	Bouvier,	urn:lsid:marinespecies.org:taxname:240011	0-20	Gulf of Mexico	209bc0d9-ad5a-46e9-af4e-0b82bc4e5a24	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	10	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus polignaci	1	2	1065	1274	1302	1358	379601	379610	14469	134592	240011	240011	Anoplodactylus polignaci	[]	126	466	27.69	35.98
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-053_C2	B89PII	195770.0	24.7805652618	-82.3406906128	Child, C. A.	HRI	ESE  Gulf of Mexico	20	0	Database description and disclaimer at: http://gulfbase.org/	Anoplodactylus polignaci	Bouvier,	urn:lsid:marinespecies.org:taxname:240011	0-20	Gulf of Mexico	71068d71-9115-4131-9b55-797fa19393d2	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	10	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus polignaci	1	2	1065	1274	1302	1358	379601	379610	14469	134592	240011	240011	Anoplodactylus polignaci	[]	26	28843	26.37	36.14
