associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	county	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	wrims	flags	bathymetry	shoredistance	sst	sss	fieldNumber	recordedBy	collectionID	continent	dateIdentified	eventRemarks	habitat	higherClassification	higherGeography	institutionID	language	license	locationID	modified	nomenclaturalCode	occurrenceID	occurrenceRemarks	specificEpithet	startDayOfYear	taxonRank	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	superdomain	superdomainid	sex
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180141.136097	Invertebrate Zoology: Crustacea	United States	St. Lucie County	16	27.5466709137	-79.9883270264	observedindividualcount=1;	1976-08-16T12:00:00Z	Child, C. Allan	1.0	USNM	juvenile	Jeff's Reef	75.6	75.6	8	Alcohol (Ethanol)	Pycnogonum cessaci	Bouvier	urn:lsid:marinespecies.org:taxname:239700	Florida	North Atlantic Ocean	1976	0cc7c4e4-413f-4e00-99e8-740aae10679d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	75.6	209001600000	209001600000	209001600000	1976	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum cessaci	2	1065	1274	1302	1358	379601	379611	1567	134595	239700	239700	Pycnogonum cessaci	True	[]	72	30358	26.44	36.07																											
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	224070.177154	Invertebrate Zoology: Crustacea	United States		9	31.1466693878	-79.9133300781	observedindividualcount=1;	1980-03-09T12:00:00Z	Georgia Marine Resources For Minerals Management Service/Bureau Land Management BLM/ MMS	1.0	USNM		Off Georgia	48.0	48.0	3	Alcohol (Ethanol)	Pycnogonum cessaci	Bouvier	urn:lsid:marinespecies.org:taxname:239700		North Atlantic Ocean	1980	32f91003-4258-4159-a318-d7d96c16de7e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	48.0	321408000000	321408000000	321408000000	1980	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum cessaci	2	1065	1274	1302	1358	379601	379611	1567	134595	239700	239700	Pycnogonum cessaci	True	[]	51	126865	25.51	36.18	800345	Georgia Marine Resources For Minerals Management Service/Bureau Land Management BLM/ MMS																									
	PreservedSpecimen		10261	IZ	Ecuador		8	-0.71667	-90.33333		1964-02-08	C.A. Child		CAS		Isla Santa Cruz, Jensen, Bahia Academy			2	Fluid-75% EtOH(1)	Pycnogonum cessaci	Bouvier, 1911		GALAPAGOS ISLANDS		1964	40b0db08-50b1-4538-a558-8b5dd6b4e5b5	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']		-186105600000	-186105600000	-186105600000	1964	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum cessaci	2	1065	1274	1302	1358	379601	379611	1567	134595	239700	239700	Pycnogonum cessaci	True	['NO_DEPTH', 'ON_LAND']	-105	-3812			160830	Robert O. Schuster	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	South America	1979-11	Collected with 24- mesh screen. Data transcribed from catalogue card by Notes from Nature volunteers via Zooniverse.	Among barnacles	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Pycnogonoidea, Pycnogonidae	South America, Pacific Ocean, Ecuador	http://grscicoll.org/institution/california-academy-sciences	en	https://creativecommons.org/publicdomain/zero/1.0/	21f72ca1-592f-4e05-886d-2c13335876d8	2024-03-08 17:12:29	ICZN	urn:catalog:CAS:IZ:10261	1 female specimen, Galapagos International Scientific Project	cessaci	39	species	Physical Object	08 Feb 1964	0° 43' S	90° 20' W	Biota	1.0	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	113825.83551	Invertebrate Zoology: Crustacea	United States		29	34.6152801514	-76.5602798462	observedindividualcount=12;	1963-03-29T12:00:00Z	Mccloskey, L. R.	12.0	USNM		Cape Lookout, Jetty	9.0	3.0	3	Alcohol (Ethanol)	Pycnogonum cessaci	Bouvier	urn:lsid:marinespecies.org:taxname:239700	North Carolina	North Atlantic Ocean	1963	480c7c45-02cd-4388-90ec-dfa1b793af1e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.0	-213408000000	-213408000000	-213408000000	1963	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum cessaci	2	1065	1274	1302	1358	379601	379611	1567	134595	239700	239700	Pycnogonum cessaci	True	[]	11	607	22.02	35.96																											
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	151157.114554	Invertebrate Zoology: Crustacea	Mexico		1	15.7670001984	-96.0999984741	observedindividualcount=5;	1934-03-01T12:00:00Z	Child, C. Allan	5.0	USNM	; juvenile	Tangola Bay, Tangola-Tangola			3	Alcohol (Ethanol); Slide	Pycnogonum cessaci	Bouvier	urn:lsid:marinespecies.org:taxname:239700	Oaxaca		1934	62eca322-9aa7-4a6d-84ab-6d16b44294fb	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-1130976000000	-1130976000000	-1130976000000	1934	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum cessaci	2	1065	1274	1302	1358	379601	379611	1567	134595	239700	239700	Pycnogonum cessaci	True	['NO_DEPTH', 'ON_LAND']	-3	-35																													male;;
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180128.136084	Invertebrate Zoology: Crustacea	United States	St. Lucie County	12	27.4933300018	-80.2883300781	observedindividualcount=2;	1977-09-12T12:00:00Z	Child, C. Allan	2.0	USNM		Third Reef S Of Pepper State Park	6.7	6.7	9	Alcohol (Ethanol)	Pycnogonum cessaci	Bouvier	urn:lsid:marinespecies.org:taxname:239700	Florida	North Atlantic Ocean	1977	8008d43d-bc91-438a-a978-059fba5fdf44	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.7	242870400000	242870400000	242870400000	1977	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum cessaci	2	1065	1274	1302	1358	379601	379611	1567	134595	239700	239700	Pycnogonum cessaci	True	[]	5	895	25.75	36.14		Reed & Edmiston																									male; female
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	151154.114551	Invertebrate Zoology: Crustacea	Panama		26	8.97500038147	-79.5133285522	observedindividualcount=7;	1971-04-26T12:00:00Z	Child, C. Allan	7.0	USNM	; ovigerous; juvenile	Panama Bay, Panama City, Paitilla Beach, east side of Paitilla Point, Off Union Club			4	Alcohol (Ethanol)	Pycnogonum cessaci	Bouvier	urn:lsid:marinespecies.org:taxname:239700	Canal Zone	North Pacific Ocean	1971	91a3d4a1-b8b0-40f9-8555-566ced7b7450	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		41472000000	41472000000	41472000000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum cessaci	2	1065	1274	1302	1358	379601	379611	1567	134595	239700	239700	Pycnogonum cessaci	True	['NO_DEPTH', 'ON_LAND']	-12	-132	27.59	31.05		M. Jones																									male; female;;
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180127.136083	Invertebrate Zoology: Crustacea	United States	St. Lucie County	28	27.5	-80.2833328247	observedindividualcount=2;	1977-04-28T12:00:00Z	Child, C. Allan	2.0	USNM		Third Reef S Of Pepper State Park	5.8	5.8	4	Alcohol (Ethanol)	Pycnogonum cessaci	Bouvier	urn:lsid:marinespecies.org:taxname:239700	Florida	North Atlantic Ocean	1977	965d0b05-b66e-4a7a-b2d3-caff1c3d9014	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5.8	231033600000	231033600000	231033600000	1977	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum cessaci	2	1065	1274	1302	1358	379601	379611	1567	134595	239700	239700	Pycnogonum cessaci	True	[]	10	1572	25.75	36.14		Reed & Edmiston																									male; female
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180140.136096	Invertebrate Zoology: Crustacea	United States	St. Lucie County	16	27.5466709137	-79.9883270264	observedindividualcount=11;	1976-08-16T12:00:00Z	Child, C. Allan	11.0	USNM	;; juvenile	Jeff's Reef	75.6	75.6	8	Alcohol (Ethanol)	Pycnogonum cessaci	Bouvier	urn:lsid:marinespecies.org:taxname:239700	Florida	North Atlantic Ocean	1976	bb379cee-21e2-401d-8e29-58fceb10314e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	75.6	209001600000	209001600000	209001600000	1976	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum cessaci	2	1065	1274	1302	1358	379601	379611	1567	134595	239700	239700	Pycnogonum cessaci	True	[]	72	30358	26.44	36.07																											male; female;;
