basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	day	eventDate	month	typeStatus	year	date_start	date_mid	date_end	date_year	bibliographicCitation	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid	country
PreservedSpecimen	2007-4730	Pycnogonida	IU	SB	-6.463833	156.405167	Ascorhynchidae	SALOMON 2/CP2230	POINT  (156.405167 -6.463833)	Ascorhynchus	WGS84	Bamber R.	1	MNHN	Animalia	CC_BY_4_0	NW Choiseul	2015-06-19T21:23Z	440013750	Pantopoda	Arthropoda	Bouchet, Warén & Samadi-IRD	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4730	Ascorhynchus constrictus	Stock, 1997	urn:lsid:marinespecies.org:taxname:240051	constrictus	SPECIES	Pacific Ocean	2d40d26b-8258-440c-b0fe-292bfab6de1f	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus constrictus	2	1065	1274	1302	1358	379601	379608	379788	134571	240051	240051	Ascorhynchus constrictus Stock, 1997	['NO_DEPTH']	816	15308	29.57	34.48																		
PreservedSpecimen	2007-4656	Pycnogonida	IU	VU	-15.955	167.462173	Ascorhynchidae	MUSORSTOM 8/CP1080	POINT  (167.462173 -15.955)	Ascorhynchus	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	NE Malekula	2015-10-17T17:02Z	440013184	Pantopoda	Arthropoda	Bouchet & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4656	Ascorhynchus constrictus	Stock, 1997	urn:lsid:marinespecies.org:taxname:240051	constrictus	SPECIES	Pacific Ocean	7100a0bd-ed42-403e-b85e-2f597a69cd72	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus constrictus	2	1065	1274	1302	1358	379601	379608	379788	134571	240051	240051	Ascorhynchus constrictus Stock, 1997	['NO_DEPTH']	842	7854	28.03	34.54	5	1994-10-05T01:00Z	10	HOLOTYPE	1994	781315200000.0	781315200000.0	781315200000.0	1994.0									
PreservedSpecimen	sm_id_1690	Pycnogonida	WoRMS type localities		-15.96	167.47	Ascorhynchidae			Ascorhynchus				WoRMS Editorial Board	Animalia		Pacific Ocean	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1690	Pantopoda	Arthropoda		http://www.marinespecies.org/aphia.php?p=specdetails&id=1690	Ascorhynchus constrictus	Stock, 1997	urn:lsid:marinespecies.org:taxname:240051	constrictus			bb0675ef-28d6-4234-8657-ed013b9ac1d7	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus constrictus	2	1065	1274	1302	1358	379601	379608	379788	134571	240051	240051	Ascorhynchus constrictus	[]	855	8416	28.03	34.54	5	1994-10-05	10	holotype	1994	781315200000.0	781315200000.0	781315200000.0	1994.0	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ascorhynchus constrictus</i> Stock, 1997. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240051	https://marineinfo.org/id/dataset/5184	850.0	799.0	present	824.5	Biota	1.0	
Occurrence	43739	Pycnogonida	NewCaledonia		-15.9499998092651	167.460006713867	Ascorhynchidae			Ascorhynchus				IRD-MNHN	Animalia		Musorstom 8, CP1080	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:43739:0x366F170001000800	Pantopoda	Arthropoda			Ascorhynchus constrictus		urn:lsid:marinespecies.org:taxname:240051				becf217b-394e-458a-a534-2ccc20f19ff7	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus constrictus	2	1065	1274	1302	1358	379601	379608	379788	134571	240051	240051	Ascorhynchus constrictus	[]	862	7903	28.03	34.54										Stock JH (1997). Musorstom 18(176): 271-335.	https://marineinfo.org/id/dataset/3128	850.0	799.0	present	824.5	Biota	1.0	Vanuatu
