basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedSequences	collectionID	continent	country	countryCode	datasetID	datasetName	eventDate	eventID	eventRemarks	identifiedBy	institutionID	locality	locationID	locationRemarks	occurrenceID	occurrenceStatus	organismID	parentNameUsageID	recordNumber	recordedBy	samplingProtocol	scientificNameAuthorship	sex	specificEpithet	taxonID	taxonRank	taxonomicStatus	waterBody	date_start	date_mid	date_end	date_year	day	modified	month	year
HumanObservation	39847	SOMBASE Pycnogonids	-62.7288017273	-60.5245018005	BAS	235.0	235	Pallenopsis buphtalmus	urn:lsid:marinespecies.org:taxname:239570	0f2dc405-1afa-4c2f-9339-4f6e64cd42ae	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	235.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	2	1065	1274	1302	1358	379601	379609	236317	134593	239570	239570	Pallenopsis buphtalmus	[]	187	4754	-0.41	33.94																																					
HumanObservation	37712	SOMBASE Pycnogonids	-54.7865982056	-35.3415985107	BAS	305.0	305	Pallenopsis buphtalmus	urn:lsid:marinespecies.org:taxname:239570	1166c14d-fb9d-43b7-9493-e637eb462748	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	305.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	2	1065	1274	1302	1358	379601	379609	236317	134593	239570	239570	Pallenopsis buphtalmus	[]	311	27397	1.62	33.77																																					
HumanObservation	39453	SOMBASE Pycnogonids	-71.5	-12.4333000183	BAS	529.0	294	Pallenopsis buphtalmus	urn:lsid:marinespecies.org:taxname:239570	1ebe9c92-30cf-47cc-a35e-ba0661ba6ba1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	411.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	2	1065	1274	1302	1358	379601	379609	236317	134593	239570	239570	Pallenopsis buphtalmus	[]	477	3552	-1.76	33.77																																					
HumanObservation	34344	SOMBASE Pycnogonids	-62.8133010864	-59.8718986511	BAS	672.0	647	Pallenopsis buphtalmus	urn:lsid:marinespecies.org:taxname:239570	26833e39-4d04-40a2-9791-bbbcf96d37b8	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	659.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	2	1065	1274	1302	1358	379601	379609	236317	134593	239570	239570	Pallenopsis buphtalmus	[]	651	14898	-0.55	33.96																																					
PreservedSpecimen	S10452	OGL	-71.3170013427734	-13.9420003890991	OGL		848	Pallenopsis buphtalmus	urn:lsid:marinespecies.org:taxname:239570	37e2380b-d045-453b-9e99-e0592dc85ed5	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']	848.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	2	1065	1274	1302	1358	379601	379609	236317	134593	239570	239570	Pallenopsis buphtalmus	[]	774	56068	-1.72	33.92	BOLD ID: 03-400-1	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Antarctica	Antarctica	AQ	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	2003-12-21	CE01605	Contact Person: Linse, Katrin	Tomas Munilla	8c116cac-9394-4c4e-be14-06184bdc62bd	PS65-233	CL02269	Kapp Norvegia	OGL_MSC_NortheasternUniversity_S10452	present	S10452	134593	03-400-1	Katrin Linse	ND	Pushkin, 1993	Female	buphtalmus	T02586	Species	accepted	Weddell Sea	1071964800000.0	1071964800000.0	1071964800000.0	2003.0				
HumanObservation	39451	SOMBASE Pycnogonids	-73.3000030518	-21.1499996185	BAS	468.0	465	Pallenopsis buphtalmus	urn:lsid:marinespecies.org:taxname:239570	3b828203-483e-4d96-8ea2-737961ef0d83	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	466.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	2	1065	1274	1302	1358	379601	379609	236317	134593	239570	239570	Pallenopsis buphtalmus	[]	440	21053	-1.69	33.84																																					
HumanObservation	3193	Weddell Sea macrozoobenthos EASIZ I	-71.525	-12.425	AWI	504.0	504	Pallenopsis buphtalmus	urn:lsid:marinespecies.org:taxname:239570	3ff41673-aca0-46c6-852f-850e4d936575	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	504.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	2	1065	1274	1302	1358	379601	379609	236317	134593	239570	239570	Pallenopsis buphtalmus	[]	512	4469	-1.76	33.77						IMIS:dasid:2432							Kapp Norvegia area			urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3193																		28	2010-05-11T18:09Z	2	1996
HumanObservation	37827	SOMBASE Pycnogonids	-53.4650001526	-42.2015991211	BAS	215.0	205	Pallenopsis buphtalmus	urn:lsid:marinespecies.org:taxname:239570	40c3bb8f-7d45-49fc-b99b-37caea7b546d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	210.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	2	1065	1274	1302	1358	379601	379609	236317	134593	239570	239570	Pallenopsis buphtalmus	[]	212	14598	2.15	33.78																																					
HumanObservation	21557	SOMBASE Pycnogonids	-71.1358032227	-11.5375003815	BAS	123.0	123	Pallenopsis buphtalmus	urn:lsid:marinespecies.org:taxname:239570	455c8993-5483-4448-a366-b8de19b66828	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	123.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	2	1065	1274	1302	1358	379601	379609	236317	134593	239570	239570	Pallenopsis buphtalmus	[]	118	3015	-1.72	33.76																																					
HumanObservation	37760	SOMBASE Pycnogonids	-53.7249984741	-38.2466011047	BAS	360.0	340	Pallenopsis buphtalmus	urn:lsid:marinespecies.org:taxname:239570	5bdbb70c-610e-4ef1-86b4-ed310c048a9f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	350.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis buphtalmus	2	1065	1274	1302	1358	379601	379609	236317	134593	239570	239570	Pallenopsis buphtalmus	[]	348	29547	1.74	33.75																																					
