basisOfRecord	class	continent	country	dateIdentified	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	family	fieldNumber	genus	geodeticDatum	habitat	identifiedBy	institutionCode	institutionID	locality	maximumDepthInMeters	occurrenceID	occurrenceStatus	order	organismQuantity	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameID	specificEpithet	taxonRank	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	catalogNumber	collectionCode	coordinatePrecision	minimumDepthInMeters	occurrenceRemarks	scientificNameAuthorship	verbatimDepth	waterBody	superdomain	superdomainid	datasetID	day	modified	month	references	typeStatus	year
PreservedSpecimen	Pycnogonida	America	Mexico	2020-11-02	18.62319444	-87.72558333	2019-03-01	ARMS-PILOTO-MAH-02-2019	ARMS-1	Ascorhynchidae	MH_PLTO_ARM_1_FEB19	Eurycyde	WGS84	Coral reef	Magdalena García	FCMM	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias	Mahahual Reef, Caribbean sea	4.0	MAH-02-2019-0155	Present	Pantopoda	Individuals	Arthropoda	Ethanol 70%	Lilian Palomino-Alvarez	ARMS	Eurycyde unispina	urn:lsid:marinespecies.org:taxname:239968	unispina	Species	03df53b5-883b-4e73-8522-bb126233dda5	8b681c9d-f925-4a11-930d-d37c07b0560e	['8385435b-bcf5-4bec-b827-8b480163d479']	4	1551398400000.0	1551398400000.0	1551398400000.0	2019.0	False	False	True	False	Animalia	Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde unispina	2	1065	1274	1302	1358	379601	379608	379788	134573	239968	239968	Eurycydae unispina	[]	-1	571	28.03	34.76																			
HumanObservation	Pycnogonida				23.0265483856	-82.8923110962				Ascorhynchidae		Eurycyde			Child, C. A.	HRI		ESE  Gulf of Mexico	183.0			Pantopoda		Arthropoda				Eurycyde unispina	urn:lsid:marinespecies.org:taxname:239968			ae94bd7e-bd46-46c0-b7e6-cca6ae1f7aed	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	183					False	False	True	False	Animalia	Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde unispina	2	1065	1274	1302	1358	379601	379608	379788	134573	239968	239968	Eurycyde unispina	['DEPTH_EXCEEDS_BATH']	109	644	27.69	35.98	Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-015_C3	B89PII	248810.0	183.0	Database description and disclaimer at: http://gulfbase.org/	Stock,	183-183	Gulf of Mexico	Biota	1.0							
PreservedSpecimen	Pycnogonida				24.53	-81.12	1968-02-03			Ascorhynchidae		Eurycyde				WoRMS Editorial Board		Florida Strait		WoRMS Editorial Board:WoRMS type localities:sm_id_981	present	Pantopoda		Arthropoda				Eurycyde unispina	urn:lsid:marinespecies.org:taxname:239968	unispina		c180499c-6439-4d02-89ce-6b399a4f2f3a	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	183	-60307200000.0	-60307200000.0	-60307200000.0	1968.0	False	False	True	False	Animalia	Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde unispina	2	1065	1274	1302	1358	379601	379608	379788	134573	239968	239968	Eurycyde unispina	[]	184	17548	27.0	36.03		Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Eurycyde unispina</i> Stock, 1986. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239968	sm_id_981	WoRMS type localities		183.0		Stock, 1986			Biota	1.0	https://marineinfo.org/id/dataset/5184	3	2007-06-20 15:52:33	2	http://www.marinespecies.org/aphia.php?p=specdetails&id=981	holotype	1968
