basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintSRS	genus	identifiedBy	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	recordedBy	samplingProtocol	scientificName	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	institutionCode	references	scientificNameAuthorship	typeStatus
HumanObservation	17660	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	-33	2.0	1978-12-01T00:00:00+00:00	Sanders epibenthic sledge_1978121_DS/E-5_NA	00:00:00+00:00	Nymphonidae	DS/E-5	EPSG:4326	Nymphon	STOCK Jan	Animalia	en	Ride Walvis	4565.0	4565	2022-01-18 09:29:51	12	Ifremer_bio_dba_17660	present	Pantopoda	Arthropoda	SIBUET Myriam	Sanders epibenthic sledge	Nymphon residuum	urn:lsid:marinespecies.org:taxname:239697	residuum	1978	24d1aaa2-71c0-466f-89e7-986707a0c9a5	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4565	281318400000	281318400000	281318400000	1978	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon residuum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	239697	239697	Nymphon residuum	['DEPTH_EXCEEDS_BATH']	2879	1333936	18.7	35.68					
PreservedSpecimen	sm_id_1135	Pycnogonida	WoRMS type localities		https://marineinfo.org/id/dataset/5184		15	-4	41.45	1951-03-15			Nymphonidae			Nymphon		Animalia		Indian Ocean		1510	2007-06-20 15:52:33	3	WoRMS Editorial Board:WoRMS type localities:sm_id_1135	present	Pantopoda	Arthropoda			Nymphon residuum	urn:lsid:marinespecies.org:taxname:239697	residuum	1951	67299cff-1c14-4882-b50c-b548caa92829	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1510	-593308800000	-593308800000	-593308800000	1951	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon residuum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	239697	239697	Nymphon residuum	[]	2512	167268	27.65	35.18	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon residuum</i> Stock, 1971. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239697	WoRMS Editorial Board	http://www.marinespecies.org/aphia.php?p=specdetails&id=1135	Stock, 1971	holotype
