associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	typeStatus	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228557.180718	Invertebrate Zoology: Crustacea	Philippines	9	9.15972042084	123.484718323	observedindividualcount=1;	1978-05-09T12:00:00Z	Child, C. Allan	1.0	USNM	ovigerous	Siquijor Island, S Coast, Near San Juan	6.0	3	5	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Nymphon diabolum	Child	urn:lsid:marinespecies.org:taxname:239766	female	Negros Oriental	North Pacific Ocean	1978	06198460-fdbe-4d23-8676-019bc89106be	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	4.5	263520000000	263520000000	263520000000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon diabolum	2	1065	1274	1302	1358	379601	379609	1566	134591	239766	239766	Nymphon diabolus	[]	-8	457	28.41	32.74									
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234359.186106	Invertebrate Zoology: Crustacea	Seychelles	3	-9.41699981689	46.516998291	observedindividualcount=1;	1983-04-03T12:00:00Z	Bowman, Thomas E.	1.0	USNM	juvenile	Aldabra Atoll, Cinq Cases, Grand Terre, 450 Ms Offshore	6.0	6	4	Alcohol (Ethanol)	B. Kensley	Nymphon diabolum	Child	urn:lsid:marinespecies.org:taxname:239766	male		Indian Ocean	1983	38fecf9d-6d3d-4380-b6dc-3e1b79be84af	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.0	418176000000	418176000000	418176000000	1983	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon diabolum	2	1065	1274	1302	1358	379601	379609	1566	134591	239766	239766	Nymphon diabolus	['ON_LAND']	-3	-635	27.1	35.07									
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228556.180717	Invertebrate Zoology: Crustacea	Philippines	23	9.08333015442	123.275001526	observedindividualcount=2;	1978-06-23T12:00:00Z	Child, C. Allan	2.0	USNM	juvenile; juvenile	Negros Island, Apo Island, E Side	1.0	1	6	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Nymphon diabolum	Child	urn:lsid:marinespecies.org:taxname:239766	female;;	Negros Oriental	North Pacific Ocean	1978	42d82b22-f41f-490b-ac9a-4207e58acec6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.0	267408000000	267408000000	267408000000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon diabolum	2	1065	1274	1302	1358	379601	379609	1566	134591	239766	239766	Nymphon diabolus	[]	125	182	28.4	32.66	Paratype								
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon diabolum</i> Child, 1988. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239766	sm_id_1972	WoRMS type localities		23	9.08	123.28		1978-06-23			WoRMS Editorial Board		Bohol Sea		1	6			Nymphon diabolum	Child, 1988	urn:lsid:marinespecies.org:taxname:239766				1978	4b14bcda-518c-40bd-a163-3f8b8ad1c43c	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1.0	267408000000	267408000000	267408000000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon diabolum	2	1065	1274	1302	1358	379601	379609	1566	134591	239766	239766	Nymphon diabolum	[]	125	586	28.4	32.66	holotype	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1972	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1972	diabolum	Biota	1.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228555.180716	Invertebrate Zoology: Crustacea	Philippines	23	9.08333015442	123.275001526	observedindividualcount=1;	1978-06-23T12:00:00Z	Child, C. Allan	1.0	USNM		Negros Island, Apo Island, E Side	1.0	1	6	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Nymphon diabolum	Child	urn:lsid:marinespecies.org:taxname:239766	male	Negros Oriental	North Pacific Ocean	1978	f70ffc74-e4c5-4a6f-86c3-0badad817d6f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.0	267408000000	267408000000	267408000000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon diabolum	2	1065	1274	1302	1358	379601	379609	1566	134591	239766	239766	Nymphon diabolus	[]	125	182	28.4	32.66	Holotype								
