basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	scientificName	scientificNameAuthorship	scientificNameID	taxonRank	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	order	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	locality	sex	specificEpithet
HumanObservation	C3F03BDC-0D5A-4262-A2EA-CCA7E0F99EC5	Pycnogonida	CReefs - Lizard Island 2009	0.0018	200	Australia	-14.78058	145.3494	2009-02-27	Ammotheidae	POINT (145.34940 -14.78058)	Ammothella	AIMS	Animalia	1.0	1.0	2018-07-13T09:31:44	C3F03BDC-0D5A-4262-A2EA-CCA7E0F99EC5	present	1	individuals	Arthropoda	Ammothella prolixa	Child, 1990	urn:lsid:marinespecies.org:taxname:240227	species	1889e539-a8d2-4084-a53e-9ad1a716044f	17a7d690-e05d-4054-bb61-77bb3f26ba0a	['2a57cd59-6799-4579-955e-27c9af97aea4']	1.0	1235692800000	1235692800000	1235692800000	2009	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothella prolixa	1.0	2	1065	1274	1302	1358	379601	379608	1562	134570	240227	240227	Ammothella prolixa	[]	1.5	9525	26.31	34.94			
PreservedSpecimen	P.71959	Pycnogonida	co113	0.8961	100000	Australia	-14.666	145.466	1982-01-13	Ammotheidae	POINT (145.46600 -14.66600)	Ammothella	AM	Animalia			2017-03-02T12:36:51	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.71959	present			Arthropoda	Ammothella prolixa		urn:lsid:marinespecies.org:taxname:240227	species	3085ba8d-3199-423f-9841-2b813aa9f46a	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		379728000000	379728000000	379728000000	1982	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothella prolixa		2	1065	1274	1302	1358	379601	379608	1562	134570	240227	240227	Ammothella prolixa	['NO_DEPTH', 'ON_LAND']	-268.11	-809	26.52	34.91	reef off North Point, Lizard Island	Male	prolixa
PreservedSpecimen	P.64325	Pycnogonida	co113	0.0896	10000	Australia	-14.666	145.45	1989-01-25	Ammotheidae	POINT (145.45000 -14.66600)	Ammothella	AM	Animalia			2017-03-02T15:41:42	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.64325	present			Arthropoda	Ammothella prolixa		urn:lsid:marinespecies.org:taxname:240227	species	559292eb-54de-4f5c-82f7-583693fd01fa	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		601689600000	601689600000	601689600000	1989	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothella prolixa		2	1065	1274	1302	1358	379601	379608	1562	134570	240227	240227	Ammothella prolixa	['NO_DEPTH', 'ON_LAND']	1.68	-62	26.52	34.91	Lizard Island, Mrs Watsons Bay, patch reef near and along south-western border where reef meets sand plain		prolixa
PreservedSpecimen	P.64328	Pycnogonida	co113	0.0896	10000	Australia	-14.666	145.45	1989-01-25	Ammotheidae	POINT (145.45000 -14.66600)	Ammothella	AM	Animalia			2017-03-02T15:41:43	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.64328	present			Arthropoda	Ammothella prolixa		urn:lsid:marinespecies.org:taxname:240227	species	a4ebd08c-c6f4-4f51-a392-838e56589193	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		601689600000	601689600000	601689600000	1989	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothella prolixa		2	1065	1274	1302	1358	379601	379608	1562	134570	240227	240227	Ammothella prolixa	['NO_DEPTH', 'ON_LAND']	1.68	-62	26.52	34.91	Lizard Island, Mrs Watsons Bay, patch reef near and along south-western border where reef meets sand plain		prolixa
