basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetID	decimalLatitude	decimalLongitude	family	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	id	dataset_id	node_id	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	datasetName	dateIdentified	day	eventDate	fieldNumber	identifiedBy	lifeStage	locationID	month	otherCatalogNumbers	preparations	sex	typeStatus	year	date_start	date_mid	date_end	date_year
Occurrence	North East Atlantic Taxa	409548	Pycnogonida	Tisbe	373814.0	https://marineinfo.org/id/dataset/82	55.296138	8.198979	Nymphonidae	Nymphon	VLIZ	Animalia	Danish Exclusive Economic Zone	2005-10-03 12:19:12	urn:catalog:VLIZ:Tisbe:409548	AphiaID: 134695	present	Pantopoda	Arthropoda	Nymphon longimanum	Sars, 1888	urn:lsid:marinespecies.org:taxname:134695	longimanum	3954c552-933c-4b0d-8d6f-9acd087b9352	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longimanum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134695	134695	Nymphon longimanum	['NO_DEPTH']	15	15573	10.77	31.95																			
PreservedSpecimen		INV.69188	Pycnogonida	urn:catalog:RBINS:Pycnogonida	1000.0	be_rbins_invertebrates_cheliceratamarine	71.033347	57.833333	Nymphonidae	Nymphon	RBINS-Scientific Heritage	Animalia	Cara See	2020-05-05 12:37:31	http://collections.naturalsciences.be/specimen/296777		present	Pantopoda	Arthropoda	Nymphon longimanum	Sars, 1888	urn:lsid:marinespecies.org:taxname:134695	longimanum	39afcc6c-e809-42e1-94aa-17f3007bdba1	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon longimanum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134695	134695	Nymphon longimanum Sars, 1888	['NO_DEPTH']	205	29980	0.82	32.98	Cara See	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1931-01	13	1907-08-13	8719/st134	Giltay L.B. (Dr.)	unknown	http://www.geonames.org/1504324	8	urn:catalog:RBINS:IG:8719	container type: vial; preservation method: alcohol	unknown	specimen	1907	-1968796800000.0	-1968796800000.0	-1968796800000.0	1907.0
