basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	locality	modified	occurrenceID	occurrenceRemarks	specificEpithet
HumanObservation	21750	SOMBASE Pycnogonids	-64.7750015259	-64.0550003052	BAS	55.0	25	Achelia hoekii	urn:lsid:marinespecies.org:taxname:172860	0a0c8a3f-4cdf-4695-8ea5-a775e018ad30	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	40.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia hoekii	2	1065	1274	1302	1358	379601	379608	1562	134568	172860	172860	Achelia hoekii	[]	86	39	-0.56	33.15								
HumanObservation	34714	SOMBASE Pycnogonids	-62.9500007629	-60.6500015259	BAS		6	Achelia hoekii	urn:lsid:marinespecies.org:taxname:172860	0fc6fe24-9b89-4584-9100-1ddc4bece888	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia hoekii	2	1065	1274	1302	1358	379601	379608	1562	134568	172860	172860	Achelia hoekii	[]	96	2045	-0.46	33.91								
HumanObservation	21740	SOMBASE Pycnogonids	-54.028301239	-37.6665992737	BAS	69.0	46	Achelia hoekii	urn:lsid:marinespecies.org:taxname:172860	1b92b5ae-3939-4897-9658-ac35d57021c4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	57.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia hoekii	2	1065	1274	1302	1358	379601	379608	1562	134568	172860	172860	Achelia hoekii	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-264	-641	1.75	33.74								
HumanObservation	39659	SOMBASE Pycnogonids	-62.6621017456	-60.65599823	BAS	163.0	163	Achelia hoekii	urn:lsid:marinespecies.org:taxname:172860	2790b96b-afa5-40c4-8495-06fc90c82aa4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	163.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia hoekii	2	1065	1274	1302	1358	379601	379608	1562	134568	172860	172860	Achelia hoekii	[]	130	2231	-0.38	33.94								
HumanObservation	21737	SOMBASE Pycnogonids	-63.8532981873	-62.6265983582	BAS	165.0	128	Achelia hoekii	urn:lsid:marinespecies.org:taxname:172860	36a8317a-ff73-4c18-8f71-97f7a2097c32	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	146.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia hoekii	2	1065	1274	1302	1358	379601	379608	1562	134568	172860	172860	Achelia hoekii	[]	233	18269	-0.4	33.59								
HumanObservation	21739	SOMBASE Pycnogonids	-54.0415992737	-37.6599998474	BAS	71.0	60	Achelia hoekii	urn:lsid:marinespecies.org:taxname:172860	3b274483-3759-4192-af9b-6bfc9569f05f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	65.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia hoekii	2	1065	1274	1302	1358	379601	379608	1562	134568	172860	172860	Achelia hoekii	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-31	-289	1.75	33.74								
HumanObservation	21743	SOMBASE Pycnogonids	-57.7865982056	-26.3700008392	BAS	90.0	90	Achelia hoekii	urn:lsid:marinespecies.org:taxname:172860	3cb19be4-cf57-44e0-9503-6005b2515f62	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	90.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia hoekii	2	1065	1274	1302	1358	379601	379608	1562	134568	172860	172860	Achelia hoekii	['DEPTH_EXCEEDS_BATH']	-8	2189	-0.84	33.64								
HumanObservation	21748	SOMBASE Pycnogonids	-64.7699966431	-64.0682983398	BAS	55.0	55	Achelia hoekii	urn:lsid:marinespecies.org:taxname:172860	47aba9b8-9477-4fa0-911b-fb722f170f4c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	55.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia hoekii	2	1065	1274	1302	1358	379601	379608	1562	134568	172860	172860	Achelia hoekii	[]	90	276	-0.56	33.15								
HumanObservation	38790	SOMBASE Pycnogonids	-62.1960983276	-58.9606018066	BAS	30.0	30	Achelia hoekii	urn:lsid:marinespecies.org:taxname:172860	490bb8a9-3a78-4ecf-9ef2-842c5d0e8cce	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	30.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia hoekii	2	1065	1274	1302	1358	379601	379608	1562	134568	172860	172860	Achelia hoekii	['ON_LAND']	-11	-314	-0.47	34.04								
HumanObservation	180	CAML - Foraminifera	-64.3331	-62.8831	BAS		0	Achelia hoekii	urn:lsid:marinespecies.org:taxname:172860	5191b005-7950-4d14-a3fc-8f5283458acf	4945cc97-c830-42bd-aec0-036f74937b93	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	0.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia hoekii	2	1065	1274	1302	1358	379601	379608	1562	134568	172860	172860	Achelia hoekii	[]	75	707	-0.42	33.6	Arango,C.P. and Wheeler,W.C. Cladistics 23 (3), 255-293 (2007)	Antarctica	IMIS:dasid:1776	Dallman's Bay, Palmer Station, Antarctic peninsula	2010-02-04T00:00	urn:catalog:BAS:CAML - Foraminifera:180	GenBankID: DQ389888	hoekii
