basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	datasetID	datasetName	dateIdentified	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	genus	identifiedBy	institutionCode	kingdom	lifeStage	locality	locationID	modified	occurrenceID	occurrenceStatus	order	otherCatalogNumbers	phylum	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	typeStatus	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	day	month
PreservedSpecimen	INV.69172	Pycnogonida	urn:catalog:RBINS:Pycnogonida	1000.0	Western Sahara	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1936-01	24.65	-15.0	1935	Nymphonidae	10910	Nymphon	Giltay L.B. (Dr.)	RBINS-Scientific Heritage	Animalia	unknown	Rio de Oro Bay	http://www.geonames.org/2461938	2020-05-05 12:37:31	http://collections.naturalsciences.be/specimen/546144	present	Pantopoda	urn:catalog:RBINS:IG:10910	Arthropoda	container type: vial; preservation method: alcohol	Nymphon gruveli	Bouvier, 1910	urn:lsid:marinespecies.org:taxname:134689	unknown	gruveli	specimen	1935	20dca76e-42e2-4d1c-a290-70aafce98592	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-1104537600000.0	-1088812800000.0	-1073088000000.0	1935.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gruveli	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134689	134689	Nymphon gruveli Bouvier, 1910	['NO_DEPTH']	16	2564	18.31	36.58		
PreservedSpecimen	INV.93651	Pycnogonida	urn:catalog:RBINS:Pycnogonida	7000.0	Morocco	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection		23.7032179133	-15.9379577497		Nymphonidae	0/Villa Cisneros	Nymphon		RBINS-Scientific Heritage	Animalia	unknown			2017-10-16 11:44:51	http://collections.naturalsciences.be/specimen/516831	present	Pantopoda	urn:catalog:RBINS:IG:0	Arthropoda	container type: tray; preservation method: dry	Nymphon gruveli	Bouvier, 1910	urn:lsid:marinespecies.org:taxname:134689	male	gruveli	specimen		2f288162-873f-4cc6-9736-194d80a0b416	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']					False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gruveli	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134689	134689	Nymphon gruveli Bouvier, 1910	['NO_DEPTH', 'ON_LAND']	-10	-990	19.22	36.61		
PreservedSpecimen	INV.69173	Pycnogonida	urn:catalog:RBINS:Pycnogonida	1000.0	Western Sahara	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1936-01	23.616667	-16.01675	1935-11-03	Nymphonidae	10910/Rio de Oro	Nymphon	Giltay L.B. (Dr.)	RBINS-Scientific Heritage	Animalia	unknown	Rio de Oro Bay	http://www.geonames.org/2461938	2020-05-05 12:37:31	http://collections.naturalsciences.be/specimen/429836	present	Pantopoda	urn:catalog:RBINS:IG:10910	Arthropoda	container type: vial; preservation method: alcohol	Nymphon gruveli	Bouvier, 1910	urn:lsid:marinespecies.org:taxname:134689	unknown	gruveli	specimen	1935	6d25613f-e814-41a0-9e04-156686d0b12e	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-1078099200000.0	-1078099200000.0	-1078099200000.0	1935.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gruveli	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134689	134689	Nymphon gruveli Bouvier, 1910	['NO_DEPTH']	22	2402	19.19	36.61	3	11
PreservedSpecimen	INV.69046	Pycnogonida	urn:catalog:RBINS:Pycnogonida	7000.0	Morocco	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection		23.7032179133	-15.9379577497		Nymphonidae	0/Villa Cisneros	Nymphon		RBINS-Scientific Heritage	Animalia	ovigerous			2017-10-16 11:44:17	http://collections.naturalsciences.be/specimen/752826	present	Pantopoda	urn:catalog:RBINS:IG:0	Arthropoda	container type: tray; preservation method: dry	Nymphon gruveli	Bouvier, 1910	urn:lsid:marinespecies.org:taxname:134689	male	gruveli	specimen		c0e4d7e8-e9f0-4d78-b13b-1458de1b7b6d	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']					False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon gruveli	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134689	134689	Nymphon gruveli Bouvier, 1910	['NO_DEPTH', 'ON_LAND']	-10	-990	19.22	36.61		
