basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus profundum</i> Stock, 1957. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=173022	sm_id_835	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	22	-65.93	-54.58	1902-01-22	Austrodecidae	Austrodecus	WoRMS Editorial Board	Animalia	Southern Ocean	920	2007-06-20 15:52:33	1	WoRMS Editorial Board:WoRMS type localities:sm_id_835	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=835	Austrodecus profundum	Stock, 1957	urn:lsid:marinespecies.org:taxname:173022	profundum	holotype	1902	ba64b190-8210-4be6-9273-0ead8fb760fb	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	920	-2144102400000.0	-2144102400000.0	-2144102400000.0	1902.0	False	False	True	False	Biota	Chelicerata	Stiripasterida	Austrodecus profundum	1.0	2	1065	1274	1302	1358	379600	22616	134579	173022	173022	Austrodecus profundum	[]	974	195446	-1.75	33.92	
HumanObservation		39642	Pycnogonida	SOMBASE Pycnogonids			-65.9300003052	-54.5800018311		Austrodecidae	Austrodecus	BAS	Animalia		920					Pantopoda	Arthropoda		Austrodecus profundum		urn:lsid:marinespecies.org:taxname:173022				d61a9cf9-98cd-432b-b888-ec6fe8b76a2e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	920					False	False	True	False		Chelicerata	Stiripasterida	Austrodecus profundum		2	1065	1274	1302	1358	379600	22616	134579	173022	173022	Austrodecus profundum	[]	974	195446	-1.75	33.92	920.0
