associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	occurrenceRemarks	verbatimDepth	superdomain	superdomainid	datasetID	datasetName	materialSampleID	occurrenceID	occurrenceStatus	ownerInstitutionCode	samplingProtocol	taxonRank	taxonRemarks	type
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	140577.104514	Invertebrate Zoology: Crustacea	United States	3	27.8670005798	-93.8170013428	observedindividualcount=1;	1970-09-03T12:00:00Z	Child, C. Allan	1.0	USNM	juvenile	Flower Garden Bank	23.0	23.0	9	Alcohol (Ethanol)	T. Bright	Eurycyde raphiaster	Loman	urn:lsid:marinespecies.org:taxname:239500	female	Texas	North Atlantic Ocean	1970	0099ef75-4f5a-4c27-8bf2-5ee8ad1e1586	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	23.0	21168000000.0	21168000000.0	21168000000.0	1970.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde raphiaster	2	1065	1274	1302	1358	379601	379608	379788	134573	239500	239500	Eurycyde raphiaster	[]	51	184125	25.42	35.79															
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228119.180337	Invertebrate Zoology: Crustacea	Belize	4	16.8033294678	-88.0749969482	observedindividualcount=70;	1980-04-04T12:00:00Z	Child, C. Allan	70.0	USNM		Carrie Bow Cay	9.0	3.0	4	Alcohol (Ethanol)	G. Hendler	Eurycyde raphiaster	Loman	urn:lsid:marinespecies.org:taxname:239500			North Atlantic Ocean	1980	13bfda26-09df-4e2a-b616-75f8e1ddae12	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.0	323654400000.0	323654400000.0	323654400000.0	1980.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde raphiaster	2	1065	1274	1302	1358	379601	379608	379788	134573	239500	239500	Eurycyde raphiaster	[]	19	660	28.13	35.55															
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-014_B2	B89PII			27.3017368317	-83.2079162598			Child, C. A.		HRI		ENE Gulf of Mexico	25.0	0.0				Eurycyde raphiaster	Loman,	urn:lsid:marinespecies.org:taxname:239500			Gulf of Mexico		2d860705-0bbf-47ba-a50b-9a9a22080cec	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	12.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde raphiaster	2	1065	1274	1302	1358	379601	379608	379788	134573	239500	239500	Eurycyde raphiaster	[]	34	52419	24.91	35.99	313160.0	Database description and disclaimer at: http://gulfbase.org/	0-25	Biota	1.0										
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	231634.183669	Invertebrate Zoology: Crustacea	United States		28.5663890839	-84.3358306885	observedindividualcount=1;	1974-07-02T12:00:00Z	Child, C. Allan	1.0	USNM		W Of Crystal Bay	38.0	38.0		Alcohol (Ethanol)	BLM/ MMS -Mafla	Eurycyde raphiaster	Loman	urn:lsid:marinespecies.org:taxname:239500	female	Florida	North Atlantic Ocean	1974	32c65189-19fb-45a3-b84e-9e67c94ed06f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	38.0	141955200000.0	141955200000.0	141955200000.0	1974.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde raphiaster	2	1065	1274	1302	1358	379601	379608	379788	134573	239500	239500	Eurycyde raphiaster	[]	30	131000	24.49	35.66															
	MaterialSample						25.544411	-80.087023		2015-06-08		1			Florida Keys National Marine Sanctuary	58.0	58.0				Eurycyde raphiaster		urn:lsid:marinespecies.org:taxname:239500					386a4523-2e61-402b-ae6d-d6706e1393fb	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	58.0	1433721600000.0	1433721600000.0	1433721600000.0	2015.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde raphiaster	2	1065	1274	1302	1358	379601	379608	379788	134573	239500	239500	Eurycyde raphiaster	[]	60	8200	27.08	36.04						NOAA NBI	NOAA National Benthic Inventory	FK15_001_1:253531	NOAA:NCCOS:NBI:FK15_001_1:253531	present	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Species	Originally identified as 'Eurycyde raphiaster'	Dataset
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	155185.118583	Invertebrate Zoology: Crustacea	United States	1	27.8866691589	-80.3816680908	observedindividualcount=1;	1974-03-01T12:00:00Z	Child, C. Allan	1.0	USNM	juvenile	E Of Fort Pierce	10.0	10.0	3	Alcohol (Ethanol)		Eurycyde raphiaster	Loman	urn:lsid:marinespecies.org:taxname:239500		Florida	North Atlantic Ocean	1974	3d7c8339-ff0e-4e6f-8398-7545c50edf5b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	10.0	131328000000.0	131328000000.0	131328000000.0	1974.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde raphiaster	2	1065	1274	1302	1358	379601	379608	379788	134573	239500	239500	Eurycyde raphiaster	[]	15	6923	25.0	36.21															
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	233721.185624	Invertebrate Zoology: Crustacea	Panama	4	9.40499973297	-79.8633270264	observedindividualcount=1;	1980-10-04T12:00:00Z	Child, C. Allan	1.0	USNM		Galeta Point	6.1	6.1	10	Alcohol (Ethanol)	G. Hendler	Eurycyde raphiaster	Loman	urn:lsid:marinespecies.org:taxname:239500		Canal Zone	North Atlantic Ocean	1980	67867b80-d2bf-48f3-8a24-a5164cc088b1	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.1	339465600000.0	339465600000.0	339465600000.0	1980.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde raphiaster	2	1065	1274	1302	1358	379601	379608	379788	134573	239500	239500	Eurycyde raphiaster	[]	-2	22	28.19	35.1															
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	155184.118582	Invertebrate Zoology: Crustacea	United States	28	27.875	-79.9583282471	observedindividualcount=1;	1974-02-28T12:00:00Z	Child, C. Allan	1.0	USNM	juvenile	E Of Fort Pierce	98.0	75.0	2	Alcohol (Ethanol)		Eurycyde raphiaster	Loman	urn:lsid:marinespecies.org:taxname:239500		Florida	North Atlantic Ocean	1974	71ca0d31-0018-41b5-87a8-fc05a3529c9f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	86.5	131241600000.0	131241600000.0	131241600000.0	1974.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde raphiaster	2	1065	1274	1302	1358	379601	379608	379788	134573	239500	239500	Eurycyde raphiaster	[]	105	44423	26.29	36.12															
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-014_G2	B89PII			27.280796051	-97.0777359009			Child, C. A.		HRI		WNW  Gulf of Mexico	25.0	0.0				Eurycyde raphiaster	Loman,	urn:lsid:marinespecies.org:taxname:239500			Gulf of Mexico		7a883149-59ae-41d3-bb0f-349753953d9e	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	12.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde raphiaster	2	1065	1274	1302	1358	379601	379608	379788	134573	239500	239500	Eurycyde raphiaster	[]	29	25679	24.26	34.18	280860.0	Database description and disclaimer at: http://gulfbase.org/	0-25	Biota	1.0										
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-014_B1	B89PII			27.4702758789	-82.6907272339			Child, C. A.		HRI		ENE Gulf of Mexico	25.0	0.0				Eurycyde raphiaster	Loman,	urn:lsid:marinespecies.org:taxname:239500			Gulf of Mexico		9366b940-176b-477d-9e07-24db55fad2b6	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	12.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde raphiaster	2	1065	1274	1302	1358	379601	379608	379788	134573	239500	239500	Eurycyde raphiaster	[]	-4	42	24.73	36.0	349800.0	Database description and disclaimer at: http://gulfbase.org/	0-25	Biota	1.0										
