basisOfRecord	catalogNumber	collectionCode	collectionID	countryCode	decimalLatitude	decimalLongitude	eventDate	eventID	kingdom	maximumDepthInMeters	minimumDepthInMeters	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificNameAuthorship	sex	waterBody	year	coordinatePrecision	occurrenceRemarks	verbatimDepth	superdomain	superdomainid
PreservedSpecimen	29182	FSBC I	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	27.616667	-83.966667	1967-09-01	310bad4a-ec95-43a2-916a-a5105ff69afc	Animalia	55	55	cac9ff17-9e4b-418b-84c6-2948b71d5a06	Present	Parapallene bermudensis	urn:lsid:marinespecies.org:taxname:239687	1006d6fb-c5a3-42b3-a8ef-2745074f750d	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	55	-73699200000.0	-73699200000.0	-73699200000.0	1967.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene bermudensis	2	1065	1274	1302	1358	379601	379609	1564	236293	239687	239687	Parapallene bermudensis	[]	57	113283	25.13	35.87																					
PreservedSpecimen	228098.180316	Invertebrate Zoology: Crustacea			16.8033294678	-88.0749969482	1980-03-29T12:00:00Z		Animalia	36	36			Parapallene bermudensis	urn:lsid:marinespecies.org:taxname:239687	262fb573-8773-4131-8cb1-60003472f7f2	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	36	323136000000.0	323136000000.0	323136000000.0	1980.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene bermudensis	2	1065	1274	1302	1358	379601	379609	1564	236293	239687	239687	Parapallene bermudensis	[]	19	660	28.13	35.55	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Belize	29	observedindividualcount=1;	Child, C. Allan	1.0	USNM	Carrie Bow Cay	3	Alcohol (Ethanol)	G. Hendler	Lebour	female	North Atlantic Ocean	1980					
HumanObservation	Spp-43-035_B2	B89PII			27.3017368317	-83.2079162598			Animalia	55	27			Parapallene bermudensis	urn:lsid:marinespecies.org:taxname:239687	504a118d-eb7e-4690-8a50-4b8557b778f2	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	41					False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene bermudensis	2	1065	1274	1302	1358	379601	379609	1564	236293	239687	239687	Parapallene bermudensis	[]	34	52419	24.91	35.99	Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/				Child, C. A.		HRI	ENE Gulf of Mexico				Lebour,		Gulf of Mexico		313160.0	Database description and disclaimer at: http://gulfbase.org/	27-55	Biota	1.0
PreservedSpecimen	154777.118172	Invertebrate Zoology: Crustacea			24.3330001831	-77.5500030518	1969-04-25T12:00:00Z		Animalia	27	27			Parapallene bermudensis	urn:lsid:marinespecies.org:taxname:239687	841325ff-afcf-4e5c-a950-4b060db37676	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	27	-21686400000.0	-21686400000.0	-21686400000.0	1969.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene bermudensis	2	1065	1274	1302	1358	379601	379609	1564	236293	239687	239687	Parapallene bermudensis	[]	842	11308	26.91	36.5	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Bahamas	25	observedindividualcount=1;	Child, C. Allan	1.0	USNM	Tongue Of The Ocean, Off Andros	4	Alcohol (Ethanol)	Milligan	Lebour	female	North Atlantic Ocean	1969					
