associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	fieldNumber	recordedBy
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234614.186364	Invertebrate Zoology: Crustacea	Argentina	22	-54.6170005798	-64.0	observedindividualcount=2;	1971-10-22T12:00:00Z	Bowman, Thomas E.	2.0	USNM	Los Estados Island	87.0	87.0	10	Alcohol (Ethanol)	Austrodecus pushkini	Child	urn:lsid:marinespecies.org:taxname:240376	male; female	Tierra del Fuego	Paratype	South Atlantic Ocean	1971	05a6564a-62e4-4f1b-b78a-799ffe4cd1e6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	87.0	56937600000.0	56937600000.0	56937600000.0	1971.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus pushkini	2	1065	1274	1302	1358	379600	22616	134579	240376	240376	Austrodecus pushkini	[]	92	7985	6.77	33.98		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234611.186361	Invertebrate Zoology: Crustacea	Argentina	26	-54.6520004272	-63.8349990845	observedindividualcount=3;	1971-10-26T12:00:00Z	Bowman, Thomas E.	3.0	USNM	Staten Island	137.0	135.0	10	Alcohol (Ethanol)	Austrodecus pushkini	Child	urn:lsid:marinespecies.org:taxname:240376	female	Tierra del Fuego	Paratype	South Atlantic Ocean	1971	05ac0887-91e2-4e95-a515-2202913fd263	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	136.0	57283200000.0	57283200000.0	57283200000.0	1971.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus pushkini	2	1065	1274	1302	1358	379600	22616	134579	240376	240376	Austrodecus pushkini	[]	111	7435	6.69	33.98	USARP/HE/715/874/SOSC	Smithsonian Oceanographic Sorting Center
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234612.186362	Invertebrate Zoology: Crustacea	Argentina	26	-54.5670013428	-65.8330001831	observedindividualcount=3;	1971-10-26T12:00:00Z	Bowman, Thomas E.	3.0	USNM	Los Estados Island	118.0	118.0	10	Alcohol (Ethanol)	Austrodecus pushkini	Child	urn:lsid:marinespecies.org:taxname:240376	male; female	Tierra del Fuego	Paratype	South Atlantic Ocean	1971	0d46c7d8-bf8f-45f8-9feb-c6356253b86b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	118.0	57283200000.0	57283200000.0	57283200000.0	1971.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus pushkini	2	1065	1274	1302	1358	379600	22616	134579	240376	240376	Austrodecus pushkini	['DEPTH_EXCEEDS_BATH']	38	7138	6.9	33.97		
	HumanObservation		22579	SOMBASE Pycnogonids			-54.6500015259	-63.8333015442					BAS		137.0	135.0			Austrodecus pushkini		urn:lsid:marinespecies.org:taxname:240376						1f80365a-4129-4727-9c32-80297536aa41	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	136.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus pushkini	2	1065	1274	1302	1358	379600	22616	134579	240376	240376	Austrodecus pushkini	[]	116	7629	6.71	33.98		
	HumanObservation		22578	SOMBASE Pycnogonids			-54.5666007996	-65.8332977295					BAS		118.0	118.0			Austrodecus pushkini		urn:lsid:marinespecies.org:taxname:240376						2375211a-3ee7-41a7-9f77-4c8229a2a22d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	118.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus pushkini	2	1065	1274	1302	1358	379600	22616	134579	240376	240376	Austrodecus pushkini	['DEPTH_EXCEEDS_BATH']	46	7160	6.9	33.97		
	HumanObservation		22576	SOMBASE Pycnogonids			-54.6166000366	-64.0					BAS		87.0	87.0			Austrodecus pushkini		urn:lsid:marinespecies.org:taxname:240376						2d291631-55a4-4d22-a7e1-5731e310752e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	87.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus pushkini	2	1065	1274	1302	1358	379600	22616	134579	240376	240376	Austrodecus pushkini	[]	73	8005	6.77	33.98		
	HumanObservation		22582	SOMBASE Pycnogonids			-54.5666007996	-64.5					BAS		76.0	73.0			Austrodecus pushkini		urn:lsid:marinespecies.org:taxname:240376						32c1fda1-2fc9-4717-b04d-dbc7a2a711e5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	74.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus pushkini	2	1065	1274	1302	1358	379600	22616	134579	240376	240376	Austrodecus pushkini	[]	80	17846	6.87	33.97		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234609.186359	Invertebrate Zoology: Crustacea	Argentina	27	-54.9169998169	-64.0	observedindividualcount=1;	1971-10-27T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Mitre Peninsula	903.0	771.0	10	Alcohol (Ethanol)	Austrodecus pushkini	Child	urn:lsid:marinespecies.org:taxname:240376	male	Tierra del Fuego	Holotype	South Atlantic Ocean	1971	521c27b4-ac22-41b7-9e34-c1ff534dfd6d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	837.0	57369600000.0	57369600000.0	57369600000.0	1971.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus pushkini	2	1065	1274	1302	1358	379600	22616	134579	240376	240376	Austrodecus pushkini	[]	1169	11417	6.3	33.99		
	HumanObservation		22581	SOMBASE Pycnogonids			-52.6665992737	-74.9665985107					BAS		64.0	64.0			Austrodecus pushkini		urn:lsid:marinespecies.org:taxname:240376						58464776-fa65-412c-b3ce-ac02f20d322d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	64.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus pushkini	2	1065	1274	1302	1358	379600	22616	134579	240376	240376	Austrodecus pushkini	[]	64	17431	8.26	33.74		
	HumanObservation		22577	SOMBASE Pycnogonids			-54.6500015259	-64.0					BAS						Austrodecus pushkini		urn:lsid:marinespecies.org:taxname:240376						80dc51b0-125c-45bb-b1e9-0952f89d09f2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']						False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus pushkini	2	1065	1274	1302	1358	379600	22616	134579	240376	240376	Austrodecus pushkini	['NO_DEPTH']	147	7054	6.77	33.98		
