associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	coordinatePrecision	decimalLatitude	decimalLongitude	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	scientificName	scientificNameAuthorship	scientificNameID	verbatimDepth	waterBody	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-032_C3	B89PII	248810.0	23.0265483856	-82.8923110962	Child, C. A.	HRI	ESE  Gulf of Mexico	178	42	Database description and disclaimer at: http://gulfbase.org/	Pallenopsis kempfi	Stock,	urn:lsid:marinespecies.org:taxname:239877	42-178	Gulf of Mexico	05863fc8-f1b9-4172-8cb8-e3b04b452043	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	110	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis kempfi	1	2	1065	1274	1302	1358	379601	379609	236317	134593	239877	239877	Pallenopsis (pallenopsis) kempfi	['DEPTH_EXCEEDS_BATH']	109	644	27.69	35.98
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-032_C2	B89PII	195770.0	24.7805652618	-82.3406906128	Child, C. A.	HRI	ESE  Gulf of Mexico	178	42	Database description and disclaimer at: http://gulfbase.org/	Pallenopsis kempfi	Stock,	urn:lsid:marinespecies.org:taxname:239877	42-178	Gulf of Mexico	64727591-7029-4acd-87fc-57314980663b	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	110	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis kempfi	1	2	1065	1274	1302	1358	379601	379609	236317	134593	239877	239877	Pallenopsis (pallenopsis) kempfi	['DEPTH_EXCEEDS_BATH']	26	28843	26.37	36.14
