basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	institutionCode	kingdom	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	recordNumber	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	taxonRank	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	order	suborder	superfamily	subfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	day	individualCount	locality	month	occurrenceRemarks	specificEpithet	startDayOfYear	year	country	eventID	sampleSizeUnit	dateIdentified
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04835	Pycnogonida	MIIC	200	-34.7675	130.713	2017-04-23 00:00	Colossendeidae	IN2017_C01-207	POINT (130.71300 -34.76750)	Colossendeis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	1808.0	1808.0	2023-07-11T05:57:35	urn:csiro:MIIC:MIIC-04835	present	1	individuals	Arthropoda	IN2017_C01_207_118	Karen Gowlett-Holmes	Colossendeis cucurbita	Cole, 1909	urn:lsid:marinespecies.org:taxname:134664	species	02d00650-e8f2-4a85-a4c4-009179951207	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	1808.0	1492905600000.0	1492905600000.0	1492905600000.0	2017.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis cucurbita	1	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134664	134664	Colossendeis cucurbita Cole, 1909	[]	1807	320354	17.3	35.55													
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04843	Pycnogonida	MIIC	200	-35.0478	130.906	2017-03-26 00:00	Colossendeidae	RE2017_C01-139	POINT (130.90600 -35.04780)	Colossendeis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	3057.5	3057.5	2023-07-11T05:57:20	urn:csiro:MIIC:MIIC-04843	present	1	individuals	Arthropoda	RE2017_C01-139-101	Karen Gowlett-Holmes	Colossendeis cucurbita	Cole, 1909	urn:lsid:marinespecies.org:taxname:134664	species	089d9110-b9b9-44aa-a5d1-7436444902bf	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	3057.5	1490486400000.0	1490486400000.0	1490486400000.0	2017.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis cucurbita	1	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134664	134664	Colossendeis cucurbita Cole, 1909	[]	2778	326636	17.11	35.51													
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04837	Pycnogonida	MIIC	200	-34.7675	130.713	2017-04-23 00:00	Colossendeidae	IN2017_C01-207	POINT (130.71300 -34.76750)	Colossendeis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	1808.0	1808.0	2023-07-11T05:57:19	urn:csiro:MIIC:MIIC-04837	present	1	individuals	Arthropoda	IN2017_C01_207_118	Karen Gowlett-Holmes	Colossendeis cucurbita	Cole, 1909	urn:lsid:marinespecies.org:taxname:134664	species	134f5ec2-3fac-43af-9d58-08f91656e23d	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	1808.0	1492905600000.0	1492905600000.0	1492905600000.0	2017.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis cucurbita	1	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134664	134664	Colossendeis cucurbita Cole, 1909	[]	1807	320354	17.3	35.55													
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04831	Pycnogonida	MIIC	200	-34.7675	130.713	2017-04-23 00:00	Colossendeidae	IN2017_C01-207	POINT (130.71300 -34.76750)	Colossendeis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	1808.0	1808.0	2023-07-11T05:57:35	urn:csiro:MIIC:MIIC-04831	present	1	individuals	Arthropoda	IN2017_C01_207_101	Karen Gowlett-Holmes	Colossendeis cucurbita	Cole, 1909	urn:lsid:marinespecies.org:taxname:134664	species	1b10ea5b-fa3e-43a6-9e6e-797e2d2dc9fc	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	1808.0	1492905600000.0	1492905600000.0	1492905600000.0	2017.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis cucurbita	1	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134664	134664	Colossendeis cucurbita Cole, 1909	[]	1807	320354	17.3	35.55													
PreservedSpecimen		Gal-II-279	Pycnogonida	Galathea II	1750.0	9.38333	-89.533302	1952-05-06	Colossendeidae			Colossendeis			ZMUC	Animalia	3570.0	3570.0	2007-10-29 18:31:08	urn:catalog:ZMUC:Galathea II:Gal-II-279	present			Arthropoda		Galathea II Danish Deep Sea Expedition 1950-52	Colossendeis cucurbita	Cole 1909	urn:lsid:marinespecies.org:taxname:134664		20ab28bc-1057-46f5-b38d-f1b937b2e8b4	3ac81162-1804-43c4-b766-aabe2abcc572	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3570.0	-557193600000.0	-557193600000.0	-557193600000.0	1952.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis cucurbita	1	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134664	134664	Colossendeis cucurbita	[]	3520	414777	27.14	33.74	https://marineinfo.org/id/dataset/2037	6	4.0	Acapulco-Panama	5	2 exemplaires de 14 mm, 1 ex. de 45 mm et 1 ex. de 52 mm. Record published in http://www.zmuc.dk/InverWeb/Galathea/Pdf_filer/Volume_02/galathea-vol.02-pp_167-182.pdf	cucurbita	127	1952				
HumanObservation		IN2015_C02_155_6	Pycnogonida	GAB-RP	100	-35.52775	132.6765	2015-12-06T16:34:00Z	Colossendeidae	IN2015_C02:155	LINE (132.6760  -35.5399, 132.6770  -35.5156)	Colossendeis		D.A. Staples	CSIRO	Animalia	1942.0	1926.0	2022-08-29T02:41:14	CS-IN2015_C02-155-2549401-33014029-17	present	2	individuals	Arthropoda			Colossendeis cucurbita	Cole, 1909	urn:lsid:marinespecies.org:taxname:134664		211a940a-db70-4130-a1e2-92ba0ada0682	27f7853d-48c4-4365-8b0b-158d8fffb7c7	['2a57cd59-6799-4579-955e-27c9af97aea4']	1934.0	1449360000000.0	1449360000000.0	1449360000000.0	2015.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis cucurbita	1	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134664	134664	Colossendeis cucurbita	[]	2027	201674	16.97	35.53			2			Occurrence Type: Catch specimen				Australia	IN2015_C02:155	IN2015_C02	
HumanObservation		IN2015_C01_052_114	Pycnogonida	GAB-RP	100	-35.1686	131.6315	2015-11-08T22:06:22Z	Colossendeidae	IN2015_C01:52	LINE (131.6410  -35.1555, 131.6220  -35.1817)	Colossendeis		D.A. Staples	CSIRO	Animalia	1892.0	1834.0	2022-08-29T02:39:34	CS-IN2015_C01-52-2549199-33014029-38	present	14	individuals	Arthropoda			Colossendeis cucurbita	Cole, 1909	urn:lsid:marinespecies.org:taxname:134664		2314b7cc-1687-4e9b-b0a8-a022172b7291	27f7853d-48c4-4365-8b0b-158d8fffb7c7	['2a57cd59-6799-4579-955e-27c9af97aea4']	1863.0	1446940800000.0	1446940800000.0	1446940800000.0	2015.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis cucurbita	1	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134664	134664	Colossendeis cucurbita	[]	1783	271475	17.11	35.52			14			Occurrence Type: Catch specimen				Australia	IN2015_C01:52	IN2015_C01	19/APR/17
HumanObservation		IN2015_C02_167_122	Pycnogonida	GAB-RP	100	-34.81165	132.6925		Colossendeidae	IN2015_C02:167	LINE (132.6920  -34.8227, 132.6930  -34.8006)	Colossendeis		D.A. Staples	CSIRO	Animalia	1015.0	998.0	2022-08-29T02:41:18	CS-IN2015_C02-167-2549254-33014029-43	present	1	individuals	Arthropoda			Colossendeis cucurbita	Cole, 1909	urn:lsid:marinespecies.org:taxname:134664		26d2889e-e87f-4bb2-af51-33800b065f99	27f7853d-48c4-4365-8b0b-158d8fffb7c7	['2a57cd59-6799-4579-955e-27c9af97aea4']	1006.5					False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis cucurbita	1	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134664	134664	Colossendeis cucurbita	[]	1008	167794	17.6	35.66			1			Occurrence Type: Catch specimen				Australia	IN2015_C02:167	IN2015_C02	
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04836	Pycnogonida	MIIC	200	-34.7675	130.713	2017-04-23 00:00	Colossendeidae	IN2017_C01-207	POINT (130.71300 -34.76750)	Colossendeis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	1808.0	1808.0	2023-07-11T05:57:35	urn:csiro:MIIC:MIIC-04836	present	1	individuals	Arthropoda	IN2017_C01_207_118	Karen Gowlett-Holmes	Colossendeis cucurbita	Cole, 1909	urn:lsid:marinespecies.org:taxname:134664	species	2b497ef2-1489-4d88-b308-1a501c4792ad	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	1808.0	1492905600000.0	1492905600000.0	1492905600000.0	2017.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis cucurbita	1	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134664	134664	Colossendeis cucurbita Cole, 1909	[]	1807	320354	17.3	35.55													
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04825	Pycnogonida	MIIC	200	-35.1555	131.641	2015-11-10 00:00	Colossendeidae	IN2015_C01-052	POINT (131.64100 -35.15550)	Colossendeis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	1834.3	1834.3	2023-07-11T05:57:35	urn:csiro:MIIC:MIIC-04825	present	1	individuals	Arthropoda	IN2015_C01_052_114	Karen Gowlett-Holmes	Colossendeis cucurbita	Cole, 1909	urn:lsid:marinespecies.org:taxname:134664	species	2f1955d5-bc1a-49e2-b149-864a2d0428fa	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	1834.3	1447113600000.0	1447113600000.0	1447113600000.0	2015.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis cucurbita	1	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134664	134664	Colossendeis cucurbita Cole, 1909	[]	1779	270036	17.14	35.53													
