associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	lifeStage	maximumDepthInMeters	minimumDepthInMeters	depth
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	151075.114472	Invertebrate Zoology: Crustacea	Panama	18	8.91860961914	-79.5377807617	observedindividualcount=1;	1972-04-18T12:00:00Z	Child, C. Allan	1.0	USNM	Panama Bay, Panama City, whorehouse reef	4	Alcohol (Ethanol)	C. Dawson, D. Pawson, W. Byas & M. Jones	Anoplodactylus evelinae	Marcus	urn:lsid:marinespecies.org:taxname:240396	female	Canal Zone	North Pacific Ocean	1972	027ca24d-0250-4185-bff2-b4cf2dce82f9	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	72403200000	72403200000	72403200000	1972	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus evelinae	2	1065	1274	1302	1358	379601	379610	14469	134592	240396	240396	Anoplodactylus evelinae	['NO_DEPTH']	8	249	27.59	31.05				
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	151959.115346	Invertebrate Zoology: Crustacea	Panama	25	8.89167022705	-79.6083297729	observedindividualcount=1;	1971-04-25T12:00:00Z	Child, C. Allan	1.0	USNM	Panama Bay, Venado Beach, 100-200 Yards From Shore	4	Alcohol (Ethanol)	R. Manning, M. Jones, J. Rosewater & C. Child	Anoplodactylus evelinae	Marcus	urn:lsid:marinespecies.org:taxname:240396	female	Canal Zone	North Pacific Ocean	1971	08d15358-cacd-4a1a-9e21-3b0ae9e11320	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	41385600000	41385600000	41385600000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus evelinae	2	1065	1274	1302	1358	379601	379610	14469	134592	240396	240396	Anoplodactylus evelinae	['NO_DEPTH']	-12	105	27.61	31.05				
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	151072.114469	Invertebrate Zoology: Crustacea	Panama	13	8.96700000763	-79.516998291	observedindividualcount=5;	1972-04-13T12:00:00Z	Child, C. Allan	5.0	USNM	Panama Bay, Paitilla Point	4	Alcohol (Ethanol)	M. Jones, W. Byas & D. Pawson	Anoplodactylus evelinae	Marcus	urn:lsid:marinespecies.org:taxname:240396	male;;	Canal Zone	North Pacific Ocean	1972	1b738ed6-a00f-4533-a4a8-9458cc1af66f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	71971200000	71971200000	71971200000	1972	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus evelinae	2	1065	1274	1302	1358	379601	379610	14469	134592	240396	240396	Anoplodactylus evelinae	['NO_DEPTH']	-1	288	27.59	31.05	; juvenile			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	151064.114461	Invertebrate Zoology: Crustacea	Panama	24	8.88300037384	-79.5999984741	observedindividualcount=1;	1955-04-24T12:00:00Z	Child, C. Allan	1.0	USNM	Panama Bay, Venado Island	4	Alcohol (Ethanol)		Anoplodactylus evelinae	Marcus	urn:lsid:marinespecies.org:taxname:240396	female	Canal Zone	North Pacific Ocean	1955	31277f61-a032-4d25-a59e-aae6600cca3d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-463622400000	-463622400000	-463622400000	1955	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus evelinae	2	1065	1274	1302	1358	379601	379610	14469	134592	240396	240396	Anoplodactylus evelinae	['NO_DEPTH']	-1	395	27.61	31.05				
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	151074.114471	Invertebrate Zoology: Crustacea	Panama	18	8.91860961914	-79.5377807617	observedindividualcount=4;	1972-04-18T12:00:00Z	Child, C. Allan	4.0	USNM	Panama Bay, Panama City, whorehouse reef	4	Alcohol (Ethanol)	C. Dawson, D. Pawson, W. Byas & M. Jones	Anoplodactylus evelinae	Marcus	urn:lsid:marinespecies.org:taxname:240396	male; female;;	Canal Zone	North Pacific Ocean	1972	55a99529-ebcd-4f0f-bc76-c858704c8e19	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	72403200000	72403200000	72403200000	1972	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus evelinae	2	1065	1274	1302	1358	379601	379610	14469	134592	240396	240396	Anoplodactylus evelinae	['NO_DEPTH']	8	249	27.59	31.05	;; juvenile			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228110.180328	Invertebrate Zoology: Crustacea	Belize	28	16.8299999237	-88.0983276367	observedindividualcount=4;	1980-03-28T12:00:00Z	Child, C. Allan	4.0	USNM	Twin Cays, Cut At S End	3	Alcohol (Ethanol)	G. Hendler	Anoplodactylus evelinae	Marcus	urn:lsid:marinespecies.org:taxname:240396	female;;		North Atlantic Ocean	1980	562bd9bf-5144-435b-aa83-dcb6b9d3b274	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	323049600000	323049600000	323049600000	1980	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus evelinae	2	1065	1274	1302	1358	379601	379610	14469	134592	240396	240396	Anoplodactylus evelinae	[]	15	24	28.13	35.49	; larvae	2.0	1.0	1.5
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	151070.114467	Invertebrate Zoology: Crustacea	Panama	26	8.97500038147	-79.5133285522	observedindividualcount=29;	1971-04-26T12:00:00Z	Child, C. Allan	29.0	USNM	Panama Bay, Panama City, Paitilla Beach, east side of Paitilla Point, Off Union Club	4	Alcohol (Ethanol)	M. Jones	Anoplodactylus evelinae	Marcus	urn:lsid:marinespecies.org:taxname:240396	male; female;;	Canal Zone	North Pacific Ocean	1971	84e529c3-bcd5-44b1-8b4a-d764a15fec63	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	41472000000	41472000000	41472000000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus evelinae	2	1065	1274	1302	1358	379601	379610	14469	134592	240396	240396	Anoplodactylus evelinae	['NO_DEPTH', 'ON_LAND']	-12	-132	27.59	31.05	;; juvenile			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	213881.168646	Invertebrate Zoology: Crustacea	Panama	29	8.91166973114	-77.6833267212	observedindividualcount=5;	1977-06-29T12:00:00Z	Child, C. Allan	5.0	USNM	Caledonia Harbor, Oro Island	6	Alcohol (Ethanol)		Anoplodactylus evelinae	Marcus	urn:lsid:marinespecies.org:taxname:240396	male; female;;		North Atlantic Ocean	1977	b72c175d-01ed-47c0-b332-46f373959c24	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	236390400000	236390400000	236390400000	1977	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus evelinae	2	1065	1274	1302	1358	379601	379610	14469	134592	240396	240396	Anoplodactylus evelinae	['NO_DEPTH']	95	750	28.33	30.71	;; juvenile			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228111.180329	Invertebrate Zoology: Crustacea	Belize	3	16.8016700745	-88.0800018311	observedindividualcount=1;	1980-04-03T12:00:00Z	Child, C. Allan	1.0	USNM	Twin Cays, Cut At S End	4	Alcohol (Ethanol)	G. Hendler	Anoplodactylus evelinae	Marcus	urn:lsid:marinespecies.org:taxname:240396	female		North Atlantic Ocean	1980	be0716dd-2670-4aa5-96e6-ef2f0ffb8b41	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	323568000000	323568000000	323568000000	1980	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus evelinae	2	1065	1274	1302	1358	379601	379610	14469	134592	240396	240396	Anoplodactylus evelinae	[]	12	135	28.13	35.55		2.0		2.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	151065.114462	Invertebrate Zoology: Crustacea	Panama	21	8.88300037384	-79.5830001831	observedindividualcount=3;	1955-04-21T12:00:00Z	Child, C. Allan	3.0	USNM	Panama Bay, W Of Punta Bruja	4	Alcohol (Ethanol)		Anoplodactylus evelinae	Marcus	urn:lsid:marinespecies.org:taxname:240396	male; female		North Pacific Ocean	1955	cd981574-8c0a-430c-8a38-ef472ce79c36	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-463881600000	-463881600000	-463881600000	1955	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus evelinae	2	1065	1274	1302	1358	379601	379610	14469	134592	240396	240396	Anoplodactylus evelinae	['NO_DEPTH']	4	475	27.59	31.05				
