basisOfRecord	catalogNumber	class	collectionCode	collectionID	continent	country	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	eventRemarks	eventTime	family	fieldNumber	genus	georeferenceProtocol	higherClassification	higherGeography	identifiedBy	institutionCode	institutionID	kingdom	language	license	locality	locationID	minimumDepthInMeters	month	nomenclaturalCode	occurrenceID	order	phylum	preparations	recordedBy	scientificName	scientificNameAuthorship	specificEpithet	startDayOfYear	stateProvince	taxonRank	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	dynamicProperties	individualCount	scientificNameID	sex	waterBody	county	geodeticDatum	georeferenceSources	modified
PreservedSpecimen	160612	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	2002-03-13	4	37.70567	-122.36933	2001-06-04	CDFG collecting trip. Trawl distance 0.15mi.	1139	Ammotheidae	062961	Achelia	GPS	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Ascorhynchoidea, Ammotheidae	North America, North Pacific Ocean, United States	M. Wicksten	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	San Francisco Estuary, San Francisco Bay, off Candlestick Point.	06731c56-2598-11ed-aace-005056be1b7a	6.6	6	ICZN	urn:catalog:CAS:IZ:160612	Pantopoda	Arthropoda	Fluid-75% EtOH(1)	"G. Brooks aboard R/V ""Longfin"""	Achelia chelata	(Hilton, 1939)	chelata	155	California	species	Physical Object	04 Jun 2001	37.70567° N	122.36933° W	2001	617909c7-ab28-4229-a81b-458b71c1b0b1	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	6.6	991612800000	991612800000	991612800000	2001	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia chelata	1.0	2	1065	1274	1302	1358	379601	379608	1562	134568	239750	239750	Achelia chelata	[]	2	558	12.55	31.94											
PreservedSpecimen	122429.87487	Pycnogonida	Invertebrate Zoology: Crustacea			United States			36.6170005798	-121.900001526	1895-07-31T12:00:00Z			Ammotheidae		Achelia				Child, C. Allan	USNM		Animalia			Monterey Bay, Pacific Grove			7			Pantopoda	Arthropoda	Alcohol (Ethanol)	G. Snyder	Achelia chelata	(Hilton)			California						1895	a462f73b-445f-4904-a0af-dfdd8b92940d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-2348524800000	-2348524800000	-2348524800000	1895	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia chelata		2	1065	1274	1302	1358	379601	379608	1562	134568	239750	239750	Achelia chelata	['NO_DEPTH']	-4	7	12.9	32.93	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	1.0	urn:lsid:marinespecies.org:taxname:239750	male	North Pacific Ocean				
PreservedSpecimen	45433-Arthropoda	Pycnogonida	Invertebrate Zoology		North America	USA			48.5452	-123.0124	2017-03-10			Ammotheidae	BFHL-2270	Achelia			USA, Washington, San Juan County		UF		Animalia			San Juan Island, FHL dock	7c39629f-2e3a-4534-ae52-6f1c41a93363				068cd785-6a1a-4990-8ade-9dfa797973cd	Pantopoda	Arthropoda	75% ethanol	Paulay, Gustav	Achelia chelata	(Hilton, 1939)	chelata		Washington							c64d2dcf-7af8-43f6-ab8c-9b313ad11fa8	c5687a17-e454-40f9-9a4b-d04b2c812d74	['b7c47783-a020-4173-b390-7b57c4fa1426']		1489104000000	1489104000000	1489104000000	2017	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia chelata	1.0	2	1065	1274	1302	1358	379601	379608	1562	134568	239750	239750	Achelia chelata	['NO_DEPTH']	-24	68	9.71	25.45			project=DigIn					San Juan County	WGS84	Google Earth	2022-01-25 09:23:40
