associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	datasetID	datasetName	fieldNumber	institutionID	language	license	maximumDepthInMeters	minimumDepthInMeters	occurrenceID	rightsHolder	specificEpithet	taxonID	taxonRank	type	verbatimIdentification	depth	superdomain	superdomainid	sst	sss	modified	occurrenceStatus	references	typeStatus
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	79972.290696	Invertebrate Zoology: Crustacea	Greenland	7	77.75	-70.0	observedindividualcount=1;	1938-08-07T12:00:00Z	Just, J.	1.0	USNM	Murchison Sound, Walrus Grounds	8	Alcohol (Ethanol)	R. Bartlett	Boreonymphon compactum	Just	urn:lsid:marinespecies.org:taxname:134677	Arctic Ocean	1938	0db3ea3d-e87c-4942-b2d6-211fa1616950	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-991008000000	-991008000000	-991008000000	1938	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Boreonymphon	Boreonymphon compactum	2	1065	1274	1302	1358	379601	379609	1566	134589	134677	134677	Boreonymphon compactum	['NO_DEPTH', 'ON_LAND']	-886	-6534																								
	PreservedSpecimen		6595	MuseumCollection		19	62.8	-65.6		1967-08-19		1	IML		8			Boreonymphon compactum	Just, 1972	urn:lsid:marinespecies.org:taxname:134677		1967	43d924d5-0ec3-4d35-a6ad-db7a4f14ddf8	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	-74822400000	-74822400000	-74822400000	1967	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Boreonymphon	Boreonymphon compactum	2	1065	1274	1302	1358	379601	379609	1566	134589	134677	134677	Boreonymphon compactum	[]	52	2495	dfo_que_mli_museum	DFO Quebec Region MLI museum collection	SAB 67-9-11 OT3-5	https://edmo.seadatanet.org/report/4160	en	http://creativecommons.org/licenses/by/4.0/legalcode	90.0	27.0	DFO_MLI_MuseumCollection_6595	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	compactum	083_00402	species	PhysicalObject	Boreonymphon compectum	58.5	Biota	1.0	-0.25	31.65				
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Boreonymphon compactum</i> Just, 1972. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=134677	sm_id_862	WoRMS type localities			60.03	-6.07		1869			WoRMS Editorial Board	Faroe-Shetland Channel				Boreonymphon compactum	Just, 1972	urn:lsid:marinespecies.org:taxname:134677		1869	a3bfdb85-d900-42ff-b297-753b1cb4f630	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-3187209600000	-3171484800000	-3155760000000	1869	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Boreonymphon	Boreonymphon compactum	2	1065	1274	1302	1358	379601	379609	1566	134589	134677	134677	Boreonymphon compactum	[]	1064	100538	https://marineinfo.org/id/dataset/5184							878.0	WoRMS Editorial Board:WoRMS type localities:sm_id_862		compactum					878.0	Biota	1.0	10.44	35.34	2007-06-20 15:52:33	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=862	holotype
