associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	sex
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234563.186320	Invertebrate Zoology: Crustacea	Costa Rica	30	6.34999990463	-85.2829971313	observedindividualcount=1;	1958-11-30T12:00:00Z	Bowman, Thomas E.	1.0	USNM	juvenile	Coco Ridge, E Of Isla Cocos	1892	1892	11	Alcohol (Ethanol)	Ascorhynchus paxillus	Child	urn:lsid:marinespecies.org:taxname:239558	Paratype	North Pacific Ocean	1958	7117c40b-c278-4010-8d20-264fe856a95f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1892	-349920000000	-349920000000	-349920000000	1958	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus paxillus	2	1065	1274	1302	1358	379601	379608	379788	134571	266333	266333	Ascorhynchus paxillum	[]	1902	212774	28.27	32.52	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234562.186319	Invertebrate Zoology: Crustacea	Costa Rica	30	6.34999990463	-85.2829971313	observedindividualcount=1;	1958-11-30T12:00:00Z	Bowman, Thomas E.	1.0	USNM		Coco Ridge, E Of Isla Cocos	1892	1892	11	Alcohol (Ethanol)	Ascorhynchus paxillus	Child	urn:lsid:marinespecies.org:taxname:239558	Holotype	North Pacific Ocean	1958	c987e247-ac68-4d25-a5a0-0ce410f13a89	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1892	-349920000000	-349920000000	-349920000000	1958	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus paxillus	2	1065	1274	1302	1358	379601	379608	379788	134571	266333	266333	Ascorhynchus paxillum	[]	1902	212774	28.27	32.52	female
