associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	sex	coordinateUncertaintyInMeters	footprintWKT	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	specificEpithet	taxonRank
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	233975.286890	Invertebrate Zoology: Crustacea	Antarctica	18	-77.4499969482	166.5	observedindividualcount=10;	1956-02-18T12:00:00Z	Hedgpeth, J. W.	10.0	USNM	juvenile	Victoria Land, Mcmurdo Sound	320	320	2	Alcohol (Ethanol)	Austropallene calmani	Gordon	urn:lsid:marinespecies.org:taxname:173039	Antarctic Ocean	1956	0a0938e1-ef18-453c-bdde-69f1dfeda977	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	320.0	-437702400000.0	-437702400000.0	-437702400000.0	1956.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene calmani	2	1065	1274	1302	1358	379601	379609	1564	173034	173039	173039	Austropallene calmani	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-297	-1373												
	HumanObservation		24073	SOMBASE Pycnogonids			-78.3833007812	-173.100006104					BAS			473	473			Austropallene calmani		urn:lsid:marinespecies.org:taxname:173039			1196a6d1-9c12-405e-861b-5e3508c0c2b3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	473.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene calmani	2	1065	1274	1302	1358	379601	379609	1564	173034	173039	173039	Austropallene calmani	['ON_LAND']	479	-6753	-1.66	34.04										
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	233979.286893	Invertebrate Zoology: Crustacea	Antarctica	4	-77.0329971313	-166.733001709	observedindividualcount=2;	1968-02-04T12:00:00Z	Hedgpeth, J. W.	2.0	USNM	juvenile	Victoria Land, Mcmurdo Sound	415	408	2	Alcohol (Ethanol)	Austropallene calmani	Gordon	urn:lsid:marinespecies.org:taxname:173039	Antarctic Ocean	1968	16ac0688-833f-4c72-b187-e7c6eac794ed	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	411.5	-60220800000.0	-60220800000.0	-60220800000.0	1968.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene calmani	2	1065	1274	1302	1358	379601	379609	1564	173034	173039	173039	Austropallene calmani	[]	406	156123	-1.61	33.91										
	HumanObservation		24070	SOMBASE Pycnogonids			-74.5	179.666595459					BAS			235	235			Austropallene calmani		urn:lsid:marinespecies.org:taxname:173039			17af4c86-518d-4346-8394-ebfdfd08675b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	235.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene calmani	2	1065	1274	1302	1358	379601	379609	1564	173034	173039	173039	Austropallene calmani	[]	292	313628	-1.56	34.11										
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	233981.185740	Invertebrate Zoology: Crustacea		14	-53.6366691589	-38.0183296204	observedindividualcount=1;	1975-05-14T12:00:00Z	Child, C. Allan	1.0	USNM		South Georgia Island	133	130	5	Alcohol (Ethanol)	Austropallene calmani	Gordon	urn:lsid:marinespecies.org:taxname:173039	South Atlantic Ocean	1975	198f8aca-260c-4d89-8933-2cc6c151cfa3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	131.5	169257600000.0	169257600000.0	169257600000.0	1975.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene calmani	2	1065	1274	1302	1358	379601	379609	1564	173034	173039	173039	Austropallene calmani	[]	143	40044	1.76	33.76	female									
	HumanObservation		24066	SOMBASE Pycnogonids			-72.1333007812	172.166595459					BAS			433	433			Austropallene calmani		urn:lsid:marinespecies.org:taxname:173039			1f44b0e7-6883-4b9d-a5f2-ed9d9f3526da	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	433.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene calmani	2	1065	1274	1302	1358	379601	379609	1564	173034	173039	173039	Austropallene calmani	[]	373	38555	-1.65	34.05										
	HumanObservation		24068	SOMBASE Pycnogonids			-77.4332962036	169.5					BAS			321	321			Austropallene calmani		urn:lsid:marinespecies.org:taxname:173039			21a4f28f-2a16-47a7-89e8-ad85d87bf257	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	321.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene calmani	2	1065	1274	1302	1358	379601	379609	1564	173034	173039	173039	Austropallene calmani	['ON_LAND']	652	-86	-1.6	34.35										
	HumanObservation		24080	SOMBASE Pycnogonids			-61.3016014099	-44.3899993896					BAS			291	289			Austropallene calmani		urn:lsid:marinespecies.org:taxname:173039			22211954-0ccd-45c9-bd7b-704419dffc38	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	290.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene calmani	2	1065	1274	1302	1358	379601	379609	1564	173034	173039	173039	Austropallene calmani	[]	336	59123	-1.09	33.75										
	PreservedSpecimen		J37971	co119			-68.9147	76.6172		1993-02-18		3	NMV		Eastern Prydz Bay, off the Larsemann Hills	716	667			Austropallene calmani		urn:lsid:marinespecies.org:taxname:173039			367ef411-418a-4125-8226-356f338d15df	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	691.5	729993600000.0	729993600000.0	729993600000.0	1993.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene calmani	2	1065	1274	1302	1358	379601	379609	1564	173034	173039	173039	Austropallene calmani	[]	672	15174	-1.38	33.89	Unknown	1000	POINT ( 76.61720 -68.91470)	2017-02-10T11:10:25	J37971	present	3	individuals	calmani	species
	HumanObservation		24078	SOMBASE Pycnogonids			-60.4266014099	-46.4216003418					BAS			128	97			Austropallene calmani		urn:lsid:marinespecies.org:taxname:173039			431a4fe9-7079-48ed-8a09-b7eb1b9d52ba	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	112.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene calmani	2	1065	1274	1302	1358	379601	379609	1564	173034	173039	173039	Austropallene calmani	[]	130	15320	-0.9	33.81										
