basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	locality	month	preparations	scientificNameAuthorship	sex	waterBody	year	date_start	date_mid	date_end	date_year	fieldNumber	recordedBy	continent	coordinateUncertaintyInMeters	datasetName	dateIdentified	footprintWKT	geodeticDatum	georeferenceSources	language	locationID	modified	occurrenceID	occurrenceStatus	samplingProtocol	specificEpithet
HumanObservation	39209	SOMBASE Pycnogonids	-71.1247024536	-11.4986000061	BAS	120	120	Colossendeis hoeki	urn:lsid:marinespecies.org:taxname:173183	0c9947b8-3b0a-4800-975a-d417fc525ffd	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	120.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis hoeki	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173183	173183	Colossendeis hoeki	[]	113	1708	-1.72	33.76																																			
PreservedSpecimen	141980.105852	Invertebrate Zoology: Crustacea	-54.6920013428	170.391998291	USNM	1940	1860	Colossendeis hoeki	urn:lsid:marinespecies.org:taxname:173183	0cde8f17-4902-4f0f-bec3-8de12b688f84	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1900.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis hoeki	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173183	173183	Colossendeis hoeki	[]	1981	244922	7.32	34.19	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	New Zealand	2	observedindividualcount=1;	1968-01-02T12:00:00Z	Hedgpeth, J. W.	1.0	New Zealand Plateau, Near Campbell Island	1	Alcohol (Ethanol)	Gordon	male	South Pacific Ocean	1968	-63072000000.0	-63072000000.0	-63072000000.0	1968.0																
PreservedSpecimen	141418.285429	Invertebrate Zoology: Crustacea	-60.5236091614	-44.7890014648	USNM	761	594	Colossendeis hoeki	urn:lsid:marinespecies.org:taxname:173183	227489d5-4c3c-4b36-a6b4-b3d4fbcf855b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	677.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis hoeki	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173183	173183	Colossendeis hoeki	['DEPTH_EXCEEDS_BATH']	467	10061	-0.91	33.82	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010		10	observedindividualcount=1;	1966-02-10T12:00:00Z	Hedgpeth, J. W.	1.0	NEy Islands	2	Alcohol (Ethanol)	Gordon		Antarctic Ocean	1966	-122774400000.0	-122774400000.0	-122774400000.0	1966.0																
HumanObservation	39212	SOMBASE Pycnogonids	-71.1076965332	-11.5382995605	BAS	175	175	Colossendeis hoeki	urn:lsid:marinespecies.org:taxname:173183	49224e9a-7319-49d4-abae-2c5f5e975c3b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	175.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis hoeki	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173183	173183	Colossendeis hoeki	[]	187	3949	-1.72	33.76																																			
PreservedSpecimen	1122994.943067	Invertebrate Zoology	-72.3170013428	177.524993896	USNM	2010	2005	Colossendeis hoeki	urn:lsid:marinespecies.org:taxname:173183	56530cb9-d871-447f-aed9-30f0b7e187a2	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2007.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis hoeki	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173183	173183	Colossendeis hoeki	[]	2033	220355	-1.65	34.09	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	11	observedindividualcount=3;	1968-01-11T12:00:00Z	Child, C. Allan	3.0	Victoria Land	1	Alcohol (Ethanol)	Gordon		Antarctic Ocean	1968	-62294400000.0	-62294400000.0	-62294400000.0	1968.0	USARP/EL/32/2002/USC	University of Southern California														
HumanObservation	23483	SOMBASE Pycnogonids	-54.6500015259	170.366592407	BAS	1940	1860	Colossendeis hoeki	urn:lsid:marinespecies.org:taxname:173183	574f9d8c-b2db-4f24-99d5-cf5fd65a24df	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1900.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis hoeki	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173183	173183	Colossendeis hoeki	['DEPTH_EXCEEDS_BATH']	1700	239975	7.43	34.2																																			
HumanObservation	23485	SOMBASE Pycnogonids	-77.9665985107	178.033294678	BAS	655	655	Colossendeis hoeki	urn:lsid:marinespecies.org:taxname:173183	6820d102-fc19-4c58-b07b-fe4e5f8d26be	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	655.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis hoeki	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173183	173183	Colossendeis hoeki	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-43	-25586																																					
HumanObservation	23486	SOMBASE Pycnogonids	-60.528301239	-44.7949981689	BAS	761	594	Colossendeis hoeki	urn:lsid:marinespecies.org:taxname:173183	a674a459-1621-4815-9a90-5a174439a7fc	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	677.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis hoeki	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173183	173183	Colossendeis hoeki	['DEPTH_EXCEEDS_BATH']	386	9475	-0.91	33.82																																			
PreservedSpecimen	39592	NIWA	-48.5316667	164.9475	NIWA Invertebrate Collection	1112	1060	Colossendeis hoeki	urn:lsid:marinespecies.org:taxname:173183	bb3ce09f-f653-4f5f-85b3-31c9eb69dcd6	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1086.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis hoeki	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173183	173183	Colossendeis hoeki	[]	1559	125344	10.91	34.58			New Zealand	30		30/03/2008	Arango, Claudia		Seamount 1 Spastic spider, Macquarie Ridge. New Zealand EEZ	3	Subsample(s), DNA subsample = 1; Specimen(s), Ethanol - no formalin = 1	Gordon, 1944			2008						Seamount	Oceania	100	NIWA Invertebrate Collection	1/07/2009	LINESTRING (164.9475 -48.5316667, 164.9493333 -48.5373333)	WGS84	GPS	en	TAN0803/19	8/04/2022	5d260080-fa36-11e2-96b3-aa6f927c92a3	present	Sled, epibenthic	hoeki
PreservedSpecimen	141981.285524	Invertebrate Zoology: Crustacea	-77.9749984741	178.082992554	USNM	655	655	Colossendeis hoeki	urn:lsid:marinespecies.org:taxname:173183	be163d9c-09fd-4820-a5d0-f18617a877e7	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	655.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis hoeki	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173183	173183	Colossendeis hoeki	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-44	-26463			National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	25	observedindividualcount=1;	1968-01-25T12:00:00Z	Hedgpeth, J. W.	1.0		1	Alcohol (Ethanol)	Gordon	male	Antarctic Ocean	1968	-61084800000.0	-61084800000.0	-61084800000.0	1968.0																
