associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	coordinatePrecision	decimalLatitude	decimalLongitude	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	scientificName	scientificNameAuthorship	scientificNameID	verbatimDepth	waterBody	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	day	dynamicProperties	eventDate	individualCount	month	preparations	sex	stateProvince	typeStatus	year	date_start	date_mid	date_end	date_year	collectionID	countryCode	eventID	occurrenceID	occurrenceStatus	lifeStage
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-012_B4	B89PII	201270.0	26.7991352081	-84.7157211304	Child, C. A.	HRI	ENE Gulf of Mexico	711	27	Database description and disclaimer at: http://gulfbase.org/	Ascorhynchus serratus	Hedgpeth,	urn:lsid:marinespecies.org:taxname:421088	27-711	Gulf of Mexico	1279400e-250a-4f83-af4e-c56f9e0649bc	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	369	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus serratus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	239691	239691	Ascorhynchus serratum	['DEPTH_EXCEEDS_BATH']	247	211364	26.2	35.98																					
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	81101.273788	Invertebrate Zoology: Crustacea		20.3194408417	-87.0583267212	Hedgpeth, J. W.	USNM	Cozumel Island, S Of Island	422	422		Ascorhynchus serratus	Hedgpeth	urn:lsid:marinespecies.org:taxname:239691		North Atlantic Ocean	2feb6b45-8461-4b13-af9a-1e3360be370c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	422	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus serratus		2	1065	1274	1302	1358	379601	379608	379788	134571	239691	239691	Ascorhynchus serratum	['DEPTH_EXCEEDS_BATH']	55	4474	28.0	35.8	Mexico	29	observedindividualcount=1;	1885-01-29T12:00:00Z	1.0	1	Alcohol (Ethanol)	female	Quintana Roo	Holotype	1885	-2679868800000.0	-2679868800000.0	-2679868800000.0	1885.0						
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-012_B3	B89PII	234990.0	26.9666690826	-84.1912689209	Child, C. A.	HRI	ENE Gulf of Mexico	711	27	Database description and disclaimer at: http://gulfbase.org/	Ascorhynchus serratus	Hedgpeth,	urn:lsid:marinespecies.org:taxname:421088	27-711	Gulf of Mexico	9c435a77-af28-4051-bb0a-90cbda340f1d	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	369	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus serratus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	239691	239691	Ascorhynchus serratum	['DEPTH_EXCEEDS_BATH']	121	156242	25.82	35.95																					
	PreservedSpecimen		22573	FSBC I		26.4	-83.366667				55	55		Ascorhynchus serratus		urn:lsid:marinespecies.org:taxname:239691			cca002f3-d928-429b-a378-81c7909345ec	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	55	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus serratus		2	1065	1274	1302	1358	379601	379608	379788	134571	239691	239691	Ascorhynchus serratus	[]	56	114077	25.71	36.04				1967-08-08								-75772800000.0	-75772800000.0	-75772800000.0	1967.0	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	1fb1fb49-df2d-4f9c-ab82-5280b6db1d0a	80401c54-46f8-47b1-86a2-1befc840491b	Present	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	125534.89823	Invertebrate Zoology: Crustacea		16.6499996185	-81.983001709	Child, C. Allan	USNM		110	110		Ascorhynchus serratus	Hedgpeth	urn:lsid:marinespecies.org:taxname:239691		North Atlantic Ocean	d5ae2ab8-1404-4ee4-9b16-908a30f0c5bb	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	110	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus serratus		2	1065	1274	1302	1358	379601	379608	379788	134571	239691	239691	Ascorhynchus serratum	['DEPTH_EXCEEDS_BATH']	50	99022	28.23	35.76		22	observedindividualcount=1;	1957-08-22T12:00:00Z	1.0	8	Alcohol (Ethanol)	female			1957	-390096000000.0	-390096000000.0	-390096000000.0	1957.0						juvenile
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-012_B2	B89PII	313160.0	27.3017368317	-83.2079162598	Child, C. A.	HRI	ENE Gulf of Mexico	711	27	Database description and disclaimer at: http://gulfbase.org/	Ascorhynchus serratus	Hedgpeth,	urn:lsid:marinespecies.org:taxname:421088	27-711	Gulf of Mexico	d9ed422f-454d-401e-84db-55fbfc7cd722	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	369	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus serratus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	239691	239691	Ascorhynchus serratum	['DEPTH_EXCEEDS_BATH']	34	52419	24.91	35.99																					
