basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	countryCode	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	individualCount	license	recordedBy	references	scientificNameAuthorship	specificEpithet	taxonRank	waterBody	eventID	identificationRemarks	identificationVerificationStatus	occurrenceRemarks	verbatimIdentification	eventDate	date_start	date_mid	date_end	date_year	verbatimLocality
Occurrence	Stock JH (1997). Musorstom 18(176): 389-409.	157	NewCaledonia	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	-23.6499996185303	167.979995727539	IRD-MNHN	Bathus 3, DW809	730.0	650.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:157:0xBC0D900001000200	present	Colossendeis sinuosa	urn:lsid:marinespecies.org:taxname:239829	016ea2b9-4857-4447-ba51-1065a45bfac7	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	690.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis sinuosa	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239829	239829	Colossendeis sinuosa	[]	1015.0	107217	24.39	35.31																								
PreservedSpecimen		2011-2368	IU			-5.058833	154.48317	MNHN	Au large de Bougainville			2015-08-25T14:39Z	462426694		Colossendeis sinuosa	urn:lsid:marinespecies.org:taxname:239829	05ae2002-8c02-459b-b543-44689dee0931	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis sinuosa		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239829	239829	Colossendeis sinuosa Stock, 1997	['NO_DEPTH']	746.0	6570	29.69	34.61	PG	BIOPAPUA/CP3755	POINT  (154.48317 -5.058833)	WGS84	Bamber R.	1	CC_BY_4_0	Samadi & Corbari	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-2368	Stock, 1997	sinuosa	SPECIES	Pacific Ocean											
PreservedSpecimen		2008-20684	IU			-23.548334	167.281006	MNHN	Ride de Norfolk			2015-06-19T21:23Z	462423041		Colossendeis sinuosa	urn:lsid:marinespecies.org:taxname:239829	09a09f0c-b164-45df-b233-9800dd572b20	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis sinuosa		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239829	239829	Colossendeis sinuosa Stock, 1997	['NO_DEPTH']	565.0	82203	24.26	35.36	NC	BERYX 11/DW34	POINT  (167.281006 -23.548334)	WGS84		1	CC_BY_4_0	Richer de Forges B. coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20684	Stock, 1997	sinuosa	SPECIES	Pacific Ocean											
PreservedSpecimen		17466	SeamountsOnline			-23.61	167.69	SCSD	Stylaster Guyot	447.0	447.0		SeamountsOnline_urn:lsid:marinespecies.org:taxname:239829_17466	present	Colossendeis sinuosa	urn:lsid:marinespecies.org:taxname:239829	15848f70-a417-4c7b-8dfb-7d187ea367b7	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	447.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis sinuosa	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239829	239829	Colossendeis sinuosa	[]	632.0	95080	24.31	35.33		Station CP 3			NA				Chauvin, C. and B. Richer de Forges 2004 Electronic Database of Norfolk Ridge Seamounts Sampling (September 2004)	Stock, 1997				SCSD_SeamountsOnline_Stylaster_Guyot_537208	WoRMS Match Type: exact	Validated	NA | NA	Colossendeis sinuosa						
Occurrence	Crosnier A (2003).	48276	NewCaledonia	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	-24.6599998474121	168.649993896484	IRD-MNHN	Norfolk 1, DW1694	589.0	578.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:48276:0x5567170001000600	present	Colossendeis sinuosa	urn:lsid:marinespecies.org:taxname:239829	1b7955f1-9335-444a-b792-7b9fc13f6804	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	583.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis sinuosa	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239829	239829	Colossendeis sinuosa	[]	997.0	229727	23.89	35.42																								
PreservedSpecimen		17468	SeamountsOnline			-23.65	167.98	SCSD	Jumeau West Seamount	730.0	650.0		SeamountsOnline_urn:lsid:marinespecies.org:taxname:239829_17468	present	Colossendeis sinuosa	urn:lsid:marinespecies.org:taxname:239829	23d6c094-ec2d-4731-ad1c-46c965a1af80	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	690.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis sinuosa	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239829	239829	Colossendeis sinuosa	[]	957.0	107218	24.39	35.31		Station DW 809			NA				Richer de Forges, B. 2001 Electronic Database of ORSTOM Sampling on the Norfolk Ridge NA	Stock, 1997				SCSD_SeamountsOnline_Jumeau_West Seamount_534136	WoRMS Match Type: exact	Validated	NA | NA	Colossendeis sinuosa	1993-11-27	754358400000.0	754358400000.0	754358400000.0	1993.0	
Occurrence			NewCaledonia		https://marineinfo.org/id/dataset/3128	-23.6100006103516	167.690002441406	IRD-MNHN	Norfolk, Mt. Stylaster (Lithist, CP3)	447.0	447.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia::0xD204900001000100	present	Colossendeis sinuosa	urn:lsid:marinespecies.org:taxname:239829	3156e984-75d6-448e-b0f1-3f37bf87b846	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	447.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis sinuosa	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239829	239829	Colossendeis sinuosa	[]	632.0	95080	24.31	35.33																								
Occurrence	Crosnier A (2003).	48277	NewCaledonia	Salomon	https://marineinfo.org/id/dataset/3128	-11.4799995422363	159.949996948242	IRD-MNHN	Salomon 1, DW1741	655.0	557.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:48277:0x4570170001000000	present	Colossendeis sinuosa	urn:lsid:marinespecies.org:taxname:239829	447da41d-2079-4ee4-a943-03bfcd99e404	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	606.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis sinuosa	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239829	239829	Colossendeis sinuosa	['DEPTH_EXCEEDS_BATH']	12.29	1701	28.96	34.4																								
Occurrence			NewCaledonia		https://marineinfo.org/id/dataset/3128	-23.6499996185303	167.979995727539	IRD-MNHN	Norfolk, Mt. Jumeau Ouest (Bathus 3, DW809)	730.0	650.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia::0xE07A170001000700	present	Colossendeis sinuosa	urn:lsid:marinespecies.org:taxname:239829	4bbe4472-af5e-446d-8a06-4292e08612ac	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	690.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis sinuosa	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239829	239829	Colossendeis sinuosa	[]	1015.0	107217	24.39	35.31																								
PreservedSpecimen		2008-20564	IU			-24.672501	168.663834	MNHN	Ride de Norfolk			2015-06-19T21:23Z	462423021		Colossendeis sinuosa	urn:lsid:marinespecies.org:taxname:239829	50536018-6dd3-466e-9728-da7bf83b332a	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis sinuosa		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239829	239829	Colossendeis sinuosa Stock, 1997	['NO_DEPTH']	949.0	230927	23.86	35.43	NC	NORFOLK 1/DW1694	POINT  (168.663834 -24.672501)	WGS84		1	CC_BY_4_0	Lozouet, Boisselier & Richer-IRD coll	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20564	Stock, 1997	sinuosa	SPECIES	Pacific Ocean											Banc Introuvable
