associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	lifeStage	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234721.186442	Invertebrate Zoology: Crustacea	Argentina	24	-37.6816711426	-52.3216705322	observedindividualcount=1;	1971-03-24T12:00:00Z	Child, C. Allan	1.0	USNM	Mar Del Plata, From Basin East Of	5223	3906	3	Alcohol (Ethanol)	Nymphon dentiferum	Child	urn:lsid:marinespecies.org:taxname:239659	female	Buenos Aires	Holotype	South Atlantic Ocean	1971	0c1dce5e-83ac-4221-9f5f-a64edff7ce96	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	4564.5	38620800000	38620800000	38620800000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon dentiferum	2	1065	1274	1302	1358	379601	379609	1566	134591	239659	239659	Nymphon dentiferum	['DEPTH_EXCEEDS_BATH']	3986	372919	18.93	35.65									
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234722.186443	Invertebrate Zoology: Crustacea	Argentina	24	-37.6816711426	-52.3216705322	observedindividualcount=4;	1971-03-24T12:00:00Z	Child, C. Allan	4.0	USNM	Mar Del Plata, From Basin East Of	3917	3906	3	Alcohol (Ethanol)	Nymphon dentiferum	Child	urn:lsid:marinespecies.org:taxname:239659	female;;	Buenos Aires	Paratype	South Atlantic Ocean	1971	220b9600-fbdb-489f-aa68-783d3edf0c71	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3911.5	38620800000	38620800000	38620800000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon dentiferum	2	1065	1274	1302	1358	379601	379609	1566	134591	239659	239659	Nymphon dentiferum	[]	3986	372919	18.93	35.65	ovigerous; juvenile								
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234723.186444	Invertebrate Zoology: Crustacea	Argentina	17	-43.5499992371	-48.9683303833	observedindividualcount=20;	1971-03-17T12:00:00Z	Child, C. Allan	20.0	USNM	From Basin East Of Valdez Peninsula	3917	5208	3	Alcohol (Ethanol)	Nymphon dentiferum	Child	urn:lsid:marinespecies.org:taxname:239659	female;;		Paratype	South Atlantic Ocean	1971	a25b2f79-9a9e-4549-87f0-d16012ac57cf	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	4562.5	38016000000	38016000000	38016000000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon dentiferum	2	1065	1274	1302	1358	379601	379609	1566	134591	239659	239659	Nymphon dentiferum	['MIN_DEPTH_EXCEEDS_MAX']	5345	941426	13.25	34.61	; juvenile								
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon dentiferum</i> Child, 1997. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239659	sm_id_1970	WoRMS type localities		17	-43.55	-48.97		1971-03-17			WoRMS Editorial Board	Atlantic Ocean	5223	5208	3		Nymphon dentiferum	Child, 1997	urn:lsid:marinespecies.org:taxname:239659			holotype		1971	c162f21b-6377-4c24-9b12-bc23b2bc2f40	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	5215.5	38016000000	38016000000	38016000000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon dentiferum	2	1065	1274	1302	1358	379601	379609	1566	134591	239659	239659	Nymphon dentiferum	[]	5343	941319	13.25	34.61		https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1970	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1970	dentiferum	Biota	1.0
