associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228545.180706	Invertebrate Zoology: Crustacea	Philippines	6	20.4027805328	121.963890076	observedindividualcount=2;	1985-06-06T12:00:00Z	Child, C. Allan	2.0	USNM	Batan Islands, Batan Island, Mananioy Bay, Rock Pinnacle And Tide Pools	1.5	6	Alcohol (Ethanol)	C. Child	Anoplodactylus brevirostris	Child	urn:lsid:marinespecies.org:taxname:240188	male; female	Batanes	Paratype	North Pacific Ocean	1985	665a9629-ea9b-4e7d-8fc1-4632c8dc2c37	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.5	486864000000	486864000000	486864000000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus brevirostris	2	1065	1274	1302	1358	379601	379610	14469	134592	240188	240188	Anoplodactylus brevirostris	[]	-20	172	27.76	34.37									
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228544.180705	Invertebrate Zoology: Crustacea	Philippines	6	20.4027805328	121.963890076	observedindividualcount=1;	1985-06-06T12:00:00Z	Child, C. Allan	1.0	USNM	Batan Islands, Batan Island, Mananioy Bay, Rock Pinnacle And Tide Pools	1.5	6	Alcohol (Ethanol)	C. Child	Anoplodactylus brevirostris	Child	urn:lsid:marinespecies.org:taxname:240188	male	Batanes	Holotype	North Pacific Ocean	1985	c7f9692b-1a64-4864-a736-dbe9281501d3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.5	486864000000	486864000000	486864000000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus brevirostris	2	1065	1274	1302	1358	379601	379610	14469	134592	240188	240188	Anoplodactylus brevirostris	[]	-20	172	27.76	34.37									
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus brevirostris</i> Child, 1988. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240188	sm_id_1574	WoRMS type localities		6	20.4	121.96		1985-06-06			WoRMS Editorial Board	Luzon Strait	1.5	6			Anoplodactylus brevirostris	Child, 1988	urn:lsid:marinespecies.org:taxname:240188			holotype		1985	cfb5bbee-1399-4a00-8d85-4684dc269e15	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	0.75	486864000000	486864000000	486864000000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus brevirostris	2	1065	1274	1302	1358	379601	379610	14469	134592	240188	240188	Anoplodactylus brevirostris	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-110	-337	27.76	34.37	https://marineinfo.org/id/dataset/5184	0.0	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1574	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1574	brevirostris	Biota	1.0
