basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	institutionCode	kingdom	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	recordNumber	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	taxonRank	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	order	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	eventID	individualCount	locality	occurrenceRemarks	coordinatePrecision	specificEpithet	associatedReferences	day	dynamicProperties	month	preparations	sex	stateProvince	typeStatus	waterBody	year
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04853	Pycnogonida	MIIC	200	-22.0743	113.814	2005-12-11 00:00	Pallenopsidae	SS200510-141	POINT (113.81400 -22.07430)	Pallenopsis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	102.2	102.2	2023-07-11T05:57:20	urn:csiro:MIIC:MIIC-04853	present	1	individuals	Arthropoda	SS200510_141_042	Karen Gowlett-Holmes	Pallenopsis cidaribatus	Child, 1975	urn:lsid:marinespecies.org:taxname:239590	species	0f49a7c1-b71d-4486-8611-b0119260ab1e	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	102.2	1134259200000	1134259200000	1134259200000	2005	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis cidaribatus	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239590	239590	Pallenopsis cidaribatus Child, 1975	[]	114	7829	25.56	34.82																	
HumanObservation			Pycnogonida	CMAR_WA_2005	500	-21.98095	113.836	2005-12-11T20:56:50Z	Pallenopsidae	SS200510:162	LINE (113.8370  -21.9781, 113.8350  -21.9838)	Pallenopsis			CSIRO, Australia	Animalia	107.0	106.0	2022-08-24T00:44:36	CC-SS200510-162-661052-33020010	present	10	individuals	Arthropoda			Pallenopsis cidaribatus	Child, 1975	urn:lsid:marinespecies.org:taxname:239590		348b0d54-8225-470d-89d9-f44825993270	930000f4-81ef-421b-8884-042abdf8fbc8	['2a57cd59-6799-4579-955e-27c9af97aea4']	106.5	1134259200000	1134259200000	1134259200000	2005	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis cidaribatus		2	1065	1274	1302	1358	379601	379609	236317	134593	239590	239590	Pallenopsis cidaribatus	[]	133	9544	25.64	34.81	Australia	SS200510:162	10	Survey area	Occurrence Type: Catch composition Catch method: Catch												
PreservedSpecimen		P.73449	Pycnogonida	co113	10000	-19.06999	119.01333	1983-06-30	Pallenopsidae		POINT (119.01333 -19.06999)	Pallenopsis			AM	Animalia			2017-03-02T12:40:58	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73449	present			Arthropoda			Pallenopsis cidaribatus		urn:lsid:marinespecies.org:taxname:239590	species	3f82fcc6-bd93-4805-953c-c96dab8bb154	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		425779200000	425779200000	425779200000	1983	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis cidaribatus		2	1065	1274	1302	1358	379601	379609	236317	134593	239590	239590	Pallenopsis cidaribatus	['NO_DEPTH']	83	57769	27.25	34.91				North West Shelf		0.0896	cidaribatus										
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	149242.112758	Pycnogonida	Invertebrate Zoology: Crustacea		-27.2999992371	113.266998291	1963-10-09T12:00:00Z	Pallenopsidae			Pallenopsis		Child, C. Allan	USNM	Animalia	100.0	100.0						Arthropoda		CSIRO, Commonwealth Scientific & Industrial Organisation	Pallenopsis cidaribatus	Child	urn:lsid:marinespecies.org:taxname:239590		439ca872-8e56-4cbd-9ec3-a219d94bf771	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	100.0	-196646400000	-196646400000	-196646400000	1963	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis cidaribatus		2	1065	1274	1302	1358	379601	379609	236317	134593	239590	239590	Pallenopsis cidaribatus	[]	95	64171	23.01	35.2	Australia		1.0	Perth, Cottesloe Beach, Algal Wash				National Museum of Natural History, Smithsonian Institution	9	observedindividualcount=1;	10	Alcohol (Ethanol)	male	Western Australia	Paratype	Indian Ocean	1963
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04852	Pycnogonida	MIIC	200	-25.9297	112.68	2005-12-08 00:00	Pallenopsidae	SS200510-115	POINT (112.68000 -25.92970)	Pallenopsis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	120.0	120.0	2023-07-11T05:57:20	urn:csiro:MIIC:MIIC-04852	present	1	individuals	Arthropoda	SS200510_115_031	Karen Gowlett-Holmes	Pallenopsis cidaribatus	Child, 1975	urn:lsid:marinespecies.org:taxname:239590	species	47f67f7b-429b-4b12-92bf-d20cf0927299	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	120.0	1134000000000	1134000000000	1134000000000	2005	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis cidaribatus	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239590	239590	Pallenopsis cidaribatus Child, 1975	[]	122	33057	23.76	35.12																	
PreservedSpecimen		P.72803	Pycnogonida	co113	10000	-21.98093	113.83599	2005-12-12	Pallenopsidae		POINT (113.83599 -21.98093)	Pallenopsis			AM	Animalia			2017-03-02T12:39:05	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.72803	present			Arthropoda			Pallenopsis cidaribatus		urn:lsid:marinespecies.org:taxname:239590	species	659d3924-6a1a-4b94-aa1c-412a8772f4b2	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		1134345600000	1134345600000	1134345600000	2005	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis cidaribatus		2	1065	1274	1302	1358	379601	379609	236317	134593	239590	239590	Pallenopsis cidaribatus	['NO_DEPTH']	133	9546	25.64	34.81				Ningaloo North		0.0896	cidaribatus										
HumanObservation			Pycnogonida	CMAR_WA_2005	500	-22.07635	113.8135	2005-12-09T13:14:10Z	Pallenopsidae	SS200510:141	LINE (113.8140  -22.0743, 113.8130  -22.0784)	Pallenopsis			CSIRO, Australia	Animalia	102.0	101.0	2022-08-24T00:43:53	CC-SS200510-141-661030-33020010	present	1	individuals	Arthropoda			Pallenopsis cidaribatus	Child, 1975	urn:lsid:marinespecies.org:taxname:239590		78139ec5-be8f-43d6-9487-edfbdc596e4d	930000f4-81ef-421b-8884-042abdf8fbc8	['2a57cd59-6799-4579-955e-27c9af97aea4']	101.5	1134086400000	1134086400000	1134086400000	2005	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis cidaribatus		2	1065	1274	1302	1358	379601	379609	236317	134593	239590	239590	Pallenopsis cidaribatus	[]	110	7806	25.56	34.82	Australia	SS200510:141	1	Survey area	Occurrence Type: Catch composition Catch method: Catch												
PreservedSpecimen		P.43386	Pycnogonida	co113	10000	-32.866	152.566	1973-12-06	Pallenopsidae		POINT (152.56600 -32.86600)	Pallenopsis			AM	Animalia			2017-03-02T16:13:54	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43386	present			Arthropoda			Pallenopsis cidaribatus		urn:lsid:marinespecies.org:taxname:239590	species	7b8ee6cc-1cb9-43b0-a629-1ffa698ff5d4	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		123984000000	123984000000	123984000000	1973	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis cidaribatus		2	1065	1274	1302	1358	379601	379609	236317	134593	239590	239590	Pallenopsis cidaribatus	['NO_DEPTH']	144	34406	21.53	35.54				east of Port Stephens		0.0896	cidaribatus						Male				
PreservedSpecimen		P.73356	Pycnogonida	co113	10000	-19.73166	117.90833	1983-09-02	Pallenopsidae		POINT (117.90833 -19.73166)	Pallenopsis			AM	Animalia			2017-03-02T12:40:42	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73356	present			Arthropoda			Pallenopsis cidaribatus		urn:lsid:marinespecies.org:taxname:239590	species	87bf4c98-0558-4f4c-b491-e6f6f47ed19f	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		431308800000	431308800000	431308800000	1983	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis cidaribatus		2	1065	1274	1302	1358	379601	379609	236317	134593	239590	239590	Pallenopsis cidaribatus	['NO_DEPTH']	55	72920	27.0	34.85				North West Shelf		0.0896	cidaribatus						Male				
PreservedSpecimen		P.73155	Pycnogonida	co113	10000	-21.98093	113.83599	2005-12-12	Pallenopsidae		POINT (113.83599 -21.98093)	Pallenopsis			AM	Animalia			2017-03-02T12:40:07	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73155	present			Arthropoda			Pallenopsis cidaribatus		urn:lsid:marinespecies.org:taxname:239590	species	9275ccd4-e060-42f4-bae4-73f076397ad7	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		1134345600000	1134345600000	1134345600000	2005	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis cidaribatus		2	1065	1274	1302	1358	379601	379609	236317	134593	239590	239590	Pallenopsis cidaribatus	['NO_DEPTH']	133	9546	25.64	34.81				Ningaloo North		0.0896	cidaribatus						Male				
