basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	scientificName	scientificNameAuthorship	scientificNameID	taxonRank	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	order	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	day	dynamicProperties	identifiedBy	individualCount	lifeStage	locality	month	preparations	sex	waterBody	year	datasetID	references	specificEpithet	typeStatus
HumanObservation	91544851-EE61-4548-97C2-04ACAC9A7D65	Pycnogonida	CReefs - Lizard Island 2009	0.0018	200	Australia	-14.61383	145.61819	2009-02-27	Ammotheidae	POINT (145.61819 -14.61383)	Ammothella	AIMS	Animalia	18.0	18.0	2018-07-13T09:31:44	91544851-EE61-4548-97C2-04ACAC9A7D65	present	1	individuals	Arthropoda	Ammothella elegantula	Stock, 1968	urn:lsid:marinespecies.org:taxname:239904	species	21b804eb-a7fb-46e1-bf47-e2e5c192a3d1	17a7d690-e05d-4054-bb61-77bb3f26ba0a	['2a57cd59-6799-4579-955e-27c9af97aea4']	18.0	1235692800000	1235692800000	1235692800000	2009	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothella elegantula	1.0	2	1065	1274	1302	1358	379601	379608	1562	134570	239904	239904	Ammothella elegantula	[]	18.72	16285	26.66	34.89																	
HumanObservation	A04DF488-8951-4947-BDAB-B595C72D60A6	Pycnogonida	CReefs - Lizard Island 2009	0.0018	200	Australia	-14.61383	145.61819	2009-02-27	Ammotheidae	POINT (145.61819 -14.61383)	Ammothella	AIMS	Animalia	18.0	18.0	2018-07-13T09:31:44	A04DF488-8951-4947-BDAB-B595C72D60A6	present	1	individuals	Arthropoda	Ammothella elegantula	Stock, 1968	urn:lsid:marinespecies.org:taxname:239904	species	345ce9f5-a57a-4bdc-b2f1-d7c64b785562	17a7d690-e05d-4054-bb61-77bb3f26ba0a	['2a57cd59-6799-4579-955e-27c9af97aea4']	18.0	1235692800000	1235692800000	1235692800000	2009	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothella elegantula	1.0	2	1065	1274	1302	1358	379601	379608	1562	134570	239904	239904	Ammothella elegantula	[]	18.72	16285	26.66	34.89																	
PreservedSpecimen	195382.150648	Pycnogonida	Invertebrate Zoology: Crustacea			Palau	7.30944013596	134.509719849	1974-07-02T12:00:00Z	Ammotheidae		Ammothella	USNM	Animalia	0.1	0.1						Arthropoda	Ammothella elegantula	Stock	urn:lsid:marinespecies.org:taxname:239904		cf5aac02-6eb6-4fa5-8506-1eb446b4819f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	0.1	141955200000	141955200000	141955200000	1974	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothella elegantula		2	1065	1274	1302	1358	379601	379608	1562	134570	239904	239904	Ammothella elegantula	[]	4.0	632	29.22	33.82	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	2	observedindividualcount=3;	Child, C. Allan	3.0	; larvae	Koror Island, SE End, Reef Inside Cove Next To Cave	7	Alcohol (Ethanol)	male;;	North Pacific Ocean	1974				
PreservedSpecimen	sm_id_683	Pycnogonida	WoRMS type localities				7.57	98.0	1963-03-21	Ammotheidae		Ammothella	WoRMS Editorial Board	Animalia		77.0	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_683	present			Arthropoda	Ammothella elegantula	Stock, 1968	urn:lsid:marinespecies.org:taxname:239904		ff689f1f-288a-4d01-b10b-1c2e8affd361	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	77.0	-214099200000	-214099200000	-214099200000	1963	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothella elegantula	1.0	2	1065	1274	1302	1358	379601	379608	1562	134570	239904	239904	Ammothella elegantula	[]	122.0	35422	29.33	32.21		Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ammothella elegantula</i> Stock, 1968. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239904	21					Indian Ocean	3				1963	https://marineinfo.org/id/dataset/5184	http://www.marinespecies.org/aphia.php?p=specdetails&id=683	elegantula	holotype
