associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	subgenus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	subgenusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	123743.88166	Invertebrate Zoology: Crustacea	United States	6	44.5583305359	-125.243331909	observedindividualcount=5;	1962-07-06T12:00:00Z	Hedgpeth, J. W., McCain	5.0	USNM	Off Oregon	2000	2000	7	Alcohol (Ethanol); Slide	Austrodecus (Tubidecus) aconae	McCain & Hedgpeth	urn:lsid:marinespecies.org:taxname:379442	male; female	Oregon	Paratype	North Pacific Ocean	1962	68557236-dfe1-43ac-a29b-91e30aa708b5	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2000	-236390400000	-236390400000	-236390400000	1962	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Tubidecus)	Austrodecus (Tubidecus) aconae	2	1065	1274	1302	1358	379600	22616	134579	236472	379113	379113	Pantopipetta aconae	[]	1990	91273	12.48	30.82
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	123741.88164	Invertebrate Zoology: Crustacea	United States	25	44.6533317566	-125.183326721	observedindividualcount=2;	1963-01-25T12:00:00Z	Hedgpeth, J. W., McCain	2.0	USNM	Off Oregon	1400	1400	1	Alcohol (Ethanol)	Austrodecus (Tubidecus) aconae	McCain & Hedgpeth	urn:lsid:marinespecies.org:taxname:379442	male; female	Oregon	Paratype	North Pacific Ocean	1963	7b6956c6-3535-4807-ac44-58398f65d3b2	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1400	-218851200000	-218851200000	-218851200000	1963	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Tubidecus)	Austrodecus (Tubidecus) aconae	2	1065	1274	1302	1358	379600	22616	134579	236472	379113	379113	Pantopipetta aconae	[]	1320	87232	12.53	30.81
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	123742.88165	Invertebrate Zoology: Crustacea	United States	27	44.6516685486	-125.182998657	observedindividualcount=1;	1963-04-27T12:00:00Z	Hedgpeth, J. W., McCain	1.0	USNM	Off Oregon	1420	1420	4	Alcohol (Ethanol)	Austrodecus (Tubidecus) aconae	McCain & Hedgpeth	urn:lsid:marinespecies.org:taxname:379442	male	Oregon	Paratype	North Pacific Ocean	1963	caff349c-1c2b-4ee7-baca-997d2c1a53ce	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1420	-210902400000	-210902400000	-210902400000	1963	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Tubidecus)	Austrodecus (Tubidecus) aconae	2	1065	1274	1302	1358	379600	22616	134579	236472	379113	379113	Pantopipetta aconae	[]	1320	87213	12.53	30.81
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	123740.88163	Invertebrate Zoology: Crustacea	United States	25	44.6533317566	-125.183326721	observedindividualcount=1;	1963-01-25T12:00:00Z	Hedgpeth, J. W., McCain	1.0	USNM	Off Oregon	1400	1400	1	Alcohol (Ethanol); Slide	Austrodecus (Tubidecus) aconae	McCain & Hedgpeth	urn:lsid:marinespecies.org:taxname:379442	male	Oregon	Holotype	North Pacific Ocean	1963	eaaaa8cb-2837-4243-a27e-75a0f1dd8cc0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1400	-218851200000	-218851200000	-218851200000	1963	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Tubidecus)	Austrodecus (Tubidecus) aconae	2	1065	1274	1302	1358	379600	22616	134579	236472	379113	379113	Pantopipetta aconae	[]	1320	87232	12.53	30.81
