associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	lifeStage	recordedBy	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154500.117915	Invertebrate Zoology: Crustacea	Mexico	1	15.7670001984	-96.0999984741	observedindividualcount=1;	1934-03-01T12:00:00Z	Child, C. Allan	1.0	USNM	Tangola Island, Shore	3	Alcohol (Ethanol)	Tanystylum intermedium	Cole	urn:lsid:marinespecies.org:taxname:239978	male	Oaxaca	North Pacific Ocean	1934	2c2c6a80-8fcc-4b74-aed5-4604a0d58e19	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1130976000000	-1130976000000	-1130976000000	1934	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum intermedium	2	1065	1274	1302	1358	379601	379608	1562	134577	239978	239978	Tanystylum intermedium	['NO_DEPTH', 'ON_LAND']	-3	-35				
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154496.117911	Invertebrate Zoology: Crustacea	Panama	18	8.91860961914	-79.5377807617	observedindividualcount=4;	1972-04-18T12:00:00Z	Child, C. Allan	4.0	USNM	Panama Bay, Panama City, whorehouse reef	4	Alcohol (Ethanol)	Tanystylum intermedium	Cole	urn:lsid:marinespecies.org:taxname:239978	female;;	Canal Zone	North Pacific Ocean	1972	d3d4f963-0a56-4a67-84b1-997f8372dc01	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	72403200000	72403200000	72403200000	1972	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum intermedium	2	1065	1274	1302	1358	379601	379608	1562	134577	239978	239978	Tanystylum intermedium	['NO_DEPTH']	8	249	; juvenile	C. Dawson, D. Pawson, W. Byas & M. Jones	27.59	31.05
