basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
HumanObservation	34731	SOMBASE Pycnogonids	-54.1166992188	-36.4333000183	BAS	250.0	230.0	Austrodecus glaciale	urn:lsid:marinespecies.org:taxname:173018	00aa8ac4-4118-4d83-8439-fc69979d6840	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	240.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glaciale	2	1065	1274	1302	1358	379600	22616	134579	173018	173018	Austrodecus glaciale	['DEPTH_EXCEEDS_BATH']	125	8178	1.82	33.77
HumanObservation	34727	SOMBASE Pycnogonids	-54.2249984741	-36.2999992371	BAS	110.0	110.0	Austrodecus glaciale	urn:lsid:marinespecies.org:taxname:173018	01a70e99-67b7-4358-a407-fc796d7dc85a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	110.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glaciale	2	1065	1274	1302	1358	379600	22616	134579	173018	173018	Austrodecus glaciale	[]	121	4430	1.81	33.77
HumanObservation	34732	SOMBASE Pycnogonids	-54.0666999817	-36.4500007629	BAS	178.0	155.0	Austrodecus glaciale	urn:lsid:marinespecies.org:taxname:173018	02940d65-5468-49eb-81f3-238b64a429c4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	166.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glaciale	2	1065	1274	1302	1358	379600	22616	134579	173018	173018	Austrodecus glaciale	[]	172	12680	1.81	33.77
HumanObservation	38343	SOMBASE Pycnogonids	-66.5551986694	92.9570007324	BAS	34.0	34.0	Austrodecus glaciale	urn:lsid:marinespecies.org:taxname:173018	02a868f2-837c-4c1d-b461-8f0b5b3f0ed9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	34.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glaciale	2	1065	1274	1302	1358	379600	22616	134579	173018	173018	Austrodecus glaciale	[]	321	476	-1.56	33.71
HumanObservation	22514	SOMBASE Pycnogonids	-64.6999969482	-62.6333007812	BAS	97.0	97.0	Austrodecus glaciale	urn:lsid:marinespecies.org:taxname:173018	02f5d92d-06ae-4f51-942b-9f1e420d04ce	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	97.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glaciale	2	1065	1274	1302	1358	379600	22616	134579	173018	173018	Austrodecus glaciale	['DEPTH_EXCEEDS_BATH']	-3	672	-0.49	33.8
HumanObservation	22371	SOMBASE Pycnogonids	-77.8477020264	166.63659668	BAS	28.0	15.0	Austrodecus glaciale	urn:lsid:marinespecies.org:taxname:173018	0326b77a-9b4a-4935-9cb4-c9e35a4cb876	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	21.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glaciale	2	1065	1274	1302	1358	379600	22616	134579	173018	173018	Austrodecus glaciale	[]	17	192	-1.7	34.3
HumanObservation	34736	SOMBASE Pycnogonids	-54.2400016785	-36.4650001526	BAS	110.0	60.0	Austrodecus glaciale	urn:lsid:marinespecies.org:taxname:173018	036a9839-3756-4c92-883b-0e9dacb1c6be	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	85.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glaciale	2	1065	1274	1302	1358	379600	22616	134579	173018	173018	Austrodecus glaciale	[]	152	665	1.82	33.77
HumanObservation	22365	SOMBASE Pycnogonids	-77.4332962036	169.5	BAS			Austrodecus glaciale	urn:lsid:marinespecies.org:taxname:173018	03e7cc24-e8cb-4a07-ad82-dc9432a2aaed	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glaciale	2	1065	1274	1302	1358	379600	22616	134579	173018	173018	Austrodecus glaciale	['NO_DEPTH', 'ON_LAND']	652	-86	-1.6	34.35
HumanObservation	22535	SOMBASE Pycnogonids	-65.9365997314	-65.2782974243	BAS	70.0	35.0	Austrodecus glaciale	urn:lsid:marinespecies.org:taxname:173018	03ed75ff-fa34-44a4-af02-2c8bf299753d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	52.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glaciale	2	1065	1274	1302	1358	379600	22616	134579	173018	173018	Austrodecus glaciale	[]	166	1019	-0.96	32.96
HumanObservation	22413	SOMBASE Pycnogonids	-62.0999984741	-45.1333007812	BAS	485.0	485.0	Austrodecus glaciale	urn:lsid:marinespecies.org:taxname:173018	040e95f7-5a86-4b62-b8e9-8a0395d9f370	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	485.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus glaciale	2	1065	1274	1302	1358	379600	22616	134579	173018	173018	Austrodecus glaciale	[]	490	145519	-1.22	33.73
