associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	depth	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	typeStatus	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	169458.126335	Invertebrate Zoology: Crustacea	Panama	18	9.52777957916	-79.6875	observedindividualcount=1;	1971-04-18T12:00:00Z	Child, C. Allan	1.0	USNM	First Cove SW Of Buenaventura Cove	4	Alcohol (Ethanol)	Smithsonian Tropical Research Institute	Anoplodactylus glandulifer	Child	urn:lsid:marinespecies.org:taxname:240347	male	North Atlantic Ocean	1971	0717e084-7adb-45d2-af23-44088d89dbed	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	40780800000	40780800000	40780800000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus glandulifer	2	1065	1274	1302	1358	379601	379610	14469	134592	239886	239886	Anoplodactylus multiclavus	['NO_DEPTH']	2	568	28.22	35.16												
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234385.186133	Invertebrate Zoology: Crustacea	Seychelles	29	-4.66699981689	55.3670005798	observedindividualcount=1;	1984-04-29T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Mahe, S Of Reef Crest Hotel	4	Alcohol (Ethanol)	M. Schotte	Anoplodactylus glandulifer	Stock	urn:lsid:marinespecies.org:taxname:239886	female	Indian Ocean	1984	7d566fb9-07d7-4472-8d56-eb8aa463aa7a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	452044800000	452044800000	452044800000	1984	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus glandulifer	2	1065	1274	1302	1358	379601	379610	14469	134592	239886	239886	Anoplodactylus glandulifer	[]	17	87	28.06	35.25	1.0	1.0	1.0									
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234372.186120	Invertebrate Zoology: Crustacea	Seychelles	20	-9.35000038147	46.4329986572	observedindividualcount=1;	1985-03-20T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Aldabra Atoll, Malabar Island, East Channel, Middle Camp Reef At Passe Houareau	3	Alcohol (Ethanol)	B. Kensley	Anoplodactylus glandulifer	Stock	urn:lsid:marinespecies.org:taxname:239886	female	Indian Ocean	1985	86546502-e147-4057-a8fd-c8d62b03b3ea	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	480124800000	480124800000	480124800000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus glandulifer	2	1065	1274	1302	1358	379601	379610	14469	134592	239886	239886	Anoplodactylus glandulifer	[]	14	2557	27.11	35.08	0.3	0.3	0.3									
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus glandulifer</i> Stock, 1954. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239886	sm_id_1604	WoRMS type localities		4	1.37	103.8		1903-06-04			WoRMS Editorial Board	Singapore Strait	6			Anoplodactylus glandulifer	Stock, 1954	urn:lsid:marinespecies.org:taxname:239886			1903	a4babc47-83b5-48ec-ad18-1a8c4d3a1232	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-2101075200000	-2101075200000	-2101075200000	1903	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus glandulifer	2	1065	1274	1302	1358	379601	379610	14469	134592	239886	239886	Anoplodactylus glandulifer	['NO_DEPTH', 'ON_LAND']	-48	-8609						https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1604	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1604	glandulifer	holotype	Biota	1.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	169224.126089	Invertebrate Zoology: Crustacea	Bahamas	9	24.7250003815	-77.7799987793	observedindividualcount=1;	1966-03-09T12:00:00Z	Child, C. Allan	1.0	USNM	Andros Island, Fresh Creek, Rock Jetty At Hotel	3	Alcohol (Ethanol)	M. Jones	Anoplodactylus glandulifer	Child	urn:lsid:marinespecies.org:taxname:240347	male	North Atlantic Ocean	1966	ac9ef8db-2f27-4f1f-a296-6e6e42b3553b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-120441600000	-120441600000	-120441600000	1966	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus glandulifer	2	1065	1274	1302	1358	379601	379610	14469	134592	239886	239886	Anoplodactylus multiclavus	['NO_DEPTH']	2	149	26.81	36.55												
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154807.118202	Invertebrate Zoology: Crustacea	Virgin Islands of the United States	28	18.3269405365	-64.8488922119	observedindividualcount=1;	1967-05-28T12:00:00Z	Child, C. Allan	1.0	USNM	St. Thomas Island, Vessup Bay, On Mangrove Roots	5	Alcohol (Ethanol); Slide	C. Child	Anoplodactylus glandulifer	Child	urn:lsid:marinespecies.org:taxname:240347	male	North Atlantic Ocean	1967	c165d15a-10fb-46c2-93f9-5a1583781cb7	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-81993600000	-81993600000	-81993600000	1967	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus glandulifer	2	1065	1274	1302	1358	379601	379610	14469	134592	239886	239886	Anoplodactylus multiclavus	['NO_DEPTH', 'ON_LAND']	-9	-6	27.71	34.9										Holotype		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	189281.145054	Invertebrate Zoology: Crustacea	Marshall Islands	12	11.3633298874	102.352783203	observedindividualcount=1;	1969-10-12T12:00:00Z	Child, C. Allan	1.0	USNM	Ralik Chain, Enewetak Atoll, Enewetak Island, Large Pier At N End Of Island	10	Alcohol (Ethanol)	C. Child	Anoplodactylus glandulifer	Stock	urn:lsid:marinespecies.org:taxname:239886	male	North Pacific Ocean	1969	d013e697-06ed-4d26-ae10-7a03875d1f61	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-6998400000	-6998400000	-6998400000	1969	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus glandulifer	2	1065	1274	1302	1358	379601	379610	14469	134592	239886	239886	Anoplodactylus glandulifer	[]	47	32796	29.22	30.44	1.8	0.3	1.05									
