associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	typeStatus	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	depth
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234698.186420	Invertebrate Zoology: Crustacea	South Sandwich Islands	4	-56.4916687012	-28.0183296204	observedindividualcount=1;	1975-06-04T12:00:00Z	Child, C. Allan	1.0	USNM	Leskov Island	6	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Colossendeis elephantis	Child	urn:lsid:marinespecies.org:taxname:173176	Paratype	South Atlantic Ocean	1975	080bf00b-c075-4f80-bbf2-11bbe622d355	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	171072000000.0	171072000000.0	171072000000.0	1975.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis elephantis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173176	173176	Colossendeis elephantis	['NO_DEPTH']	2474	20121	-0.44	33.62			
	HumanObservation		23480	SOMBASE Pycnogonids			-65.9332962036	-112.5					BAS					Colossendeis elephantis		urn:lsid:marinespecies.org:taxname:173176				4af8d527-4bbf-4a67-b4e6-12c832f4815d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis elephantis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173176	173176	Colossendeis elephantis	[]	4905	787764	-0.37	33.47	4795.0	4789.0	4792.0
	HumanObservation		23481	SOMBASE Pycnogonids			-56.4916000366	-28.0182991028					BAS					Colossendeis elephantis		urn:lsid:marinespecies.org:taxname:173176				b210cb9d-5461-4da3-a672-55197a898e8b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis elephantis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173176	173176	Colossendeis elephantis	[]	2468	20128	-0.44	33.62	2402.0	2384.0	2393.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234696.186419	Invertebrate Zoology: Crustacea	South Sandwich Islands	8	-58.908000946	-27.158000946	observedindividualcount=1;	1963-05-08T12:00:00Z	Child, C. Allan	1.0	USNM	Bristol Island, West Of	5	Alcohol (Ethanol)	University of Southern California	Colossendeis elephantis	Child	urn:lsid:marinespecies.org:taxname:173176	Holotype	South Atlantic Ocean	1963	bb80e639-db5f-43ef-b4fd-a3f4de6c3e61	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-209952000000.0	-209952000000.0	-209952000000.0	1963.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis elephantis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173176	173176	Colossendeis elephantis	['NO_DEPTH']	2477	27693	-0.99	33.63			
	HumanObservation		23479	SOMBASE Pycnogonids			-58.9165992737	-27.2166004181					BAS					Colossendeis elephantis		urn:lsid:marinespecies.org:taxname:173176				d71174f1-6a30-48cf-a222-3c9a0de8a9c6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis elephantis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173176	173176	Colossendeis elephantis	[]	2540	30275	-0.98	33.63	2575.0	2553.0	2564.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234697.286939	Invertebrate Zoology: Crustacea	Antarctica	14	-65.9169998169	-112.717002869	observedindividualcount=1;	1964-06-14T12:00:00Z	Child, C. Allan	1.0	USNM	Marie Byrd Land, North Of Amundsen Sea	6	Alcohol (Ethanol)	University of Southern California	Colossendeis elephantis	Child	urn:lsid:marinespecies.org:taxname:173176	Paratype	Antarctic Ocean	1964	fc3bf364-7568-4ff9-9e70-23ff61a1ebbb	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-175132800000.0	-175132800000.0	-175132800000.0	1964.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis elephantis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173176	173176	Colossendeis elephantis	['NO_DEPTH']	4901	793809	-0.39	33.47			
