basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	day	dynamicProperties	eventDate	identifiedBy	individualCount	locality	month	preparations	recordedBy	scientificNameAuthorship	sex	typeStatus	waterBody	year	date_start	date_mid	date_end	date_year
HumanObservation	23212	SOMBASE Pycnogonids	-56.9333000183	-56.4832992554	BAS	3257	2599	Nymphon premordicum	urn:lsid:marinespecies.org:taxname:173494	43ffde5d-bb7d-428f-a9a0-9731dd287a52	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2928	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon premordicum	2	1065	1274	1302	1358	379601	379609	1566	134591	173494	173494	Nymphon premordicum	[]	3333	453227	2.39	33.78																				
PreservedSpecimen	234689.186412	Invertebrate Zoology: Crustacea	-56.858001709	-56.466999054	USNM	3257	2599	Nymphon premordicum	urn:lsid:marinespecies.org:taxname:173494	81d6742d-79bf-4c60-be4a-0ecb4b698aae	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2928	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon premordicum	2	1065	1274	1302	1358	379601	379609	1566	134591	173494	173494	Nymphon premordicum	[]	3393	461419	2.64	33.8	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	26	observedindividualcount=1;	1962-12-26T12:00:00Z	Child, C. Allan	1.0	East Of Cape Horn	12	Alcohol (Ethanol)	University of Southern California	Child	female	Holotype	South Atlantic Ocean	1962	-221443200000.0	-221443200000.0	-221443200000.0	1962.0
