basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid	day	eventDate	month	typeStatus	year	date_start	date_mid	date_end	date_year
PreservedSpecimen	2008-20599	Pycnogonida	IU	NC	-22.340483	167.390274	Ascorhynchidae	BIOCAL/CP75	POINT  (167.390274 -22.340483)	Ascorhynchus	WGS84	2	MNHN	Animalia	CC_BY_4_0	Entre Grande Terre et Ile des Pins	2015-06-19T21:23Z	462426652	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20599	Ascorhynchus breviscapus	Stock, 1968	urn:lsid:marinespecies.org:taxname:240191	breviscapus	SPECIES	Pacific Ocean	0f4287ac-28b0-47d4-acd1-d52b57168ab1	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus breviscapus	2	1065	1274	1302	1358	379601	379608	379788	134571	240191	240191	Ascorhynchus breviscapus Stock, J.H., 1968	['NO_DEPTH']	868	19518	25.0	35.16																		
Occurrence	21570	Pycnogonida	NewCaledonia		-22.3099994659424	167.380004882812	Ascorhynchidae			Ascorhynchus			IRD-MNHN	Animalia		Biocal, CP75	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21570:0xAD0B900001000500	Pantopoda	Arthropoda			Ascorhynchus breviscapus		urn:lsid:marinespecies.org:taxname:240191				3c52635e-0230-48f5-831d-14ad647644b8	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus breviscapus	2	1065	1274	1302	1358	379601	379608	379788	134571	240191	240191	Ascorhynchus breviscapus	[]	860	23014	25.01	35.13	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	860.0	825.0	present	842.5	Biota	1.0									
PreservedSpecimen	2008-20600	Pycnogonida	IU	NC	-22.340483	167.390274	Ascorhynchidae	BIOCAL/CP75	POINT  (167.390274 -22.340483)	Ascorhynchus	WGS84	1	MNHN	Animalia	CC_BY_4_0	Entre Grande Terre et Ile des Pins	2015-06-19T21:23Z	462402565	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20600	Ascorhynchus breviscapus	Stock, 1968	urn:lsid:marinespecies.org:taxname:240191	breviscapus	SPECIES	Pacific Ocean	84a6036b-7a3c-4059-83c4-704fc93c0aed	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus breviscapus	2	1065	1274	1302	1358	379601	379608	379788	134571	240191	240191	Ascorhynchus breviscapus Stock, J.H., 1968	['NO_DEPTH']	868	19518	25.0	35.16																		
PreservedSpecimen	sm_id_789	Pycnogonida	WoRMS type localities		-27.65	33.38	Ascorhynchidae			Ascorhynchus			WoRMS Editorial Board	Animalia		Indian Ocean	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_789	Pantopoda	Arthropoda		http://www.marinespecies.org/aphia.php?p=specdetails&id=789	Ascorhynchus breviscapus	Stock, 1968	urn:lsid:marinespecies.org:taxname:240191	breviscapus			b8c847e1-3310-4010-9031-fb8afe5688b2	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus breviscapus	2	1065	1274	1302	1358	379601	379608	379788	134571	240191	240191	Ascorhynchus breviscapus	[]	1397	69942	24.83	35.27	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ascorhynchus breviscapus</i> Stock, 1968. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240191		https://marineinfo.org/id/dataset/5184		1361.0	present	1361.0	Biota	1.0	1	1964-08-01	8	holotype	1964	-170985600000.0	-170985600000.0	-170985600000.0	1964.0
