basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	day	minimumDepthInMeters	month	references	scientificNameAuthorship	typeStatus	year	depth	superdomain	superdomainid
PreservedSpecimen	P.64323	Pycnogonida	co113	0.8961	100000	Australia	-14.666	145.466	1989-01-31	Ammotheidae	POINT (145.46600 -14.66600)	Tanystylum	AM	Animalia	Lizard Island, Lizard Head	2017-03-02T15:41:42	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.64323	present	Arthropoda	Tanystylum haswelli	urn:lsid:marinespecies.org:taxname:239539	haswelli	species	7bb89bb9-e22c-4dab-95f8-4a8e0dc87914	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	602208000000	602208000000	602208000000	1989	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum haswelli	2	1065	1274	1302	1358	379601	379608	1562	134577	239539	239539	Tanystylum haswelli	['NO_DEPTH', 'ON_LAND']	-268.11	-809	26.52	34.91												
PreservedSpecimen	sm_id_1423	Pycnogonida	WoRMS type localities				-14.67	145.47	1989-01-31	Ammotheidae		Tanystylum	WoRMS Editorial Board	Animalia	Coral Sea	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1423	present	Arthropoda	Tanystylum haswelli	urn:lsid:marinespecies.org:taxname:239539	haswelli		8df41a5d-e6fe-4ba2-9d1a-cced15f28143	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	602208000000	602208000000	602208000000	1989	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum haswelli	2	1065	1274	1302	1358	379601	379608	1562	134577	239539	239539	Tanystylum haswelli	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-207.4	-696	26.45	34.93	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Tanystylum haswelli</i> Child, 1990. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239539	https://marineinfo.org/id/dataset/5184	31	2.0	1	http://www.marinespecies.org/aphia.php?p=specdetails&id=1423	Child, 1990	holotype	1989	2.0	Biota	1.0
