associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	fieldNumber	identifiedBy	individualCount	institutionCode	locality	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	typeStatus	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	233780.185687	Invertebrate Zoology: Crustacea	Japan	28	26.5	127.848327637	observedindividualcount=1;	1981-09-28T12:00:00Z	BOLLAND/RFB 0927	Child, C. Allan	1.0	USNM	Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village	73	9	Alcohol (Ethanol)	R. Bolland	Austrodecus tubiferum	Stock	urn:lsid:marinespecies.org:taxname:240318	female	Okinawa	North Pacific Ocean	1981	39056fa1-5386-48b4-bffc-1871d59180c8	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	73	370483200000	370483200000	370483200000	1981	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus tubiferum	2	1065	1274	1302	1358	379600	22616	134579	240318	240318	Austrodecus tubiferum	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-7	-459	25.02	34.51									
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus tubiferum</i> Stock, 1957. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240318	sm_id_837	WoRMS type localities		26	35.25	139.42		1914-04-26				WoRMS Editorial Board	Pacific Ocean	183	4			Austrodecus tubiferum	Stock, 1957	urn:lsid:marinespecies.org:taxname:240318				1914	de86bee2-943d-4859-a3aa-d5cc63419d13	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	183	-1757289600000	-1757289600000	-1757289600000	1914	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus tubiferum	2	1065	1274	1302	1358	379600	22616	134579	240318	240318	Austrodecus tubiferum	[]	269	5759	19.94	33.17	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_837	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=837	tubiferum	holotype	Biota	1.0
